idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,863a370820f64a7825c337f708116149978c097a,2c91de25a09b9c5cfe78db5abfc3656430fcfb8d,4a8823f07d48262770235ddfad9caf364c4bd4b4,a parent is the base
2,refs/heads/master,55b66909f247be4abbf367149b72b8b2aac4bcbd,15f5e8ee59cccf99af709e3f1976f904fe26d6ff,9ed218a1d15230456299f581806e4c27f0d5e2f0,a parent is the base
3,refs/heads/master,15f5e8ee59cccf99af709e3f1976f904fe26d6ff,42bb1a6212c397d85acc4f1a619a2187660e4aff,6577e5de7cfa6396ecaed20de69ec9a4c6fa3cb6,
4,refs/heads/master,42bb1a6212c397d85acc4f1a619a2187660e4aff,3c8b5471178638104a37be2ff1da693554b0b3d4,fda439f00c20f2abae9130c59330a03f87baacb4,a parent is the base
5,refs/heads/master,3c8b5471178638104a37be2ff1da693554b0b3d4,8fce0ac98aef422772ac89de7a620caac47ccc9d,acb769b9ed7dff8055a0dad9d8a7317d08c74d33,a parent is the base
6,refs/heads/master,acb769b9ed7dff8055a0dad9d8a7317d08c74d33,823564bb79e107edaafaec58e3496b07a51b21ac,95e4ce46c8a69e244f23bc4b5f136ee5d0988a96,
7,refs/heads/master,d6339ad56be55f8f13a2ce4d7938dd706044a68c,1251b2e1893517952676f231746647c357b3d95a,51a738ef60b25edf298f1b4ebe8beeea17d93a29,
8,refs/heads/master,1251b2e1893517952676f231746647c357b3d95a,547ddb268fa9578be2b764c3f47566931263bc9f,97ee160c6cfbac1e22406cccfa2d2fd13d5ca68b,a parent is the base
9,refs/heads/master,547ddb268fa9578be2b764c3f47566931263bc9f,e8aa782e0f614b38c9a294f416137918d25b6ee8,ed4f59f4524343cec76aa172ff314a30a9112ea2,a parent is the base
10,refs/heads/master,342441254b2fc37256c21297614884c542eec68d,4cf5bb0074ccf68db45c0a20ef6c08ffe92c5ce1,265eeb6bf391c6b4d0dac8f5f312bc2bcd1dc955,a parent is the base
11,refs/heads/master,4cf5bb0074ccf68db45c0a20ef6c08ffe92c5ce1,f4e89ff53ff5f0c090b015bd1dd119c9cfbb0319,d95941466ffb997c3f0d9b51757f1881925b7376,a parent is the base
12,refs/heads/master,f4e89ff53ff5f0c090b015bd1dd119c9cfbb0319,da351e975492a3b829c3012c70e1624d0a7167eb,5d26e81baa681a0ee4c26a82e3b806c3c0fbd9ee,a parent is the base
13,refs/heads/master,da351e975492a3b829c3012c70e1624d0a7167eb,d14b11deebbc0d3172e2c161ffa1494fbd6c0763,eac64bbd73756b14b73909062ac98e494bbc79d5,a parent is the base
14,refs/heads/master,d14b11deebbc0d3172e2c161ffa1494fbd6c0763,b8f8b90902d1f91ad89721f40b7dd324b39b4e6b,6af5edb60130a18304763bc1f4be61b1d1b883a0,a parent is the base
15,refs/heads/master,6af5edb60130a18304763bc1f4be61b1d1b883a0,d2bbbaad8cae0303767d7754f29a1641541c0a7a,b7b51ca195106f6a3f2d50d9f8b5d3bdc2e47527,
16,refs/heads/master,0481695265ae1f6eeb33a44226fe3d64ff006712,a41eba9507207f371adc5d5e5044399bc708f4c3,d3ce773245413439bd1ec5728c1020ddbe88a2a0,
17,refs/heads/master,e651028dfa777cf3b604b92e56d90cfa8a88baba,e137ca4565571cfa33cc136161835f5ba0d8288a,6593c20b3d93ad98d20bf82fa4c5b8cceec32db3,a parent is the base
18,refs/heads/master,e137ca4565571cfa33cc136161835f5ba0d8288a,ee514ae97b9d14a3c58b1e006afc47eae3087701,2348c5b3eae9df1b3ced9f6740828c5f316efb3a,a parent is the base
19,refs/heads/master,ee514ae97b9d14a3c58b1e006afc47eae3087701,2c239a6ada4e27c61bbbe09e89dc85fdcdc38afc,99a9627690bf9a8ed0b502d453c47f253ea45364,a parent is the base
20,refs/heads/master,2c239a6ada4e27c61bbbe09e89dc85fdcdc38afc,b864c56e9aca1e25f07d5528f682f73a518d886b,23c211091f4b8ff7032ad2b179fe65344de5cb8c,
21,refs/heads/master,b864c56e9aca1e25f07d5528f682f73a518d886b,34f7f68715a57cbacd24b93c7e1a7a7b893664bb,6662fc064bdf1c59346dad28774e2f0b887d48dc,a parent is the base
22,refs/heads/master,34f7f68715a57cbacd24b93c7e1a7a7b893664bb,6a320d506842f27cf55019df108c16f102754672,0b6ef8fa69b2e409ed083940cbe9ae55253b7ee5,
23,refs/heads/master,992165c09cc0988a5a04833d178d6826f65db9fc,95b06513299b46c1d9a8e14c985940c2d76d6e00,97cf77187dd7928b2e2101fe1f3a0cd6b6d64893,a parent is the base
24,refs/heads/master,95b06513299b46c1d9a8e14c985940c2d76d6e00,527c620e05ba488b2333fd73df0f6346c0ea57ff,cbdffb44a35a3eb574a61c69fcd577f267434374,
25,refs/heads/master,527c620e05ba488b2333fd73df0f6346c0ea57ff,4406073daa17ff59c677e80b57edb7ac1e718dfa,1c696a857043620c73b1f0c7d14cbf2ec2a4fa60,
26,refs/heads/master,4406073daa17ff59c677e80b57edb7ac1e718dfa,8a0e21a8e1338b378ace6bba45d65fd963b362e7,bb5606ba70f6b5405950e2e41c367dd4a33cccb4,
