idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,60922dec6ff6c7365bd2ce03d0a365a095a0b04c,8d6e55dcce2cc7b4bcca82d9177245a2dd0a310c,854a1f2435cdaaa01088b63c72f2f0f9b242e304,a parent is the base
2,refs/heads/master,11c8c240c37ea73067fe0f7d1cc3ccbb938c01dd,eb3449af43e54120485fc7a3e2edf7a229b9f27d,afc7ae269fae19c3b6bb4eb648401bedca010113,
3,refs/heads/master,eb3449af43e54120485fc7a3e2edf7a229b9f27d,b53fdadb655451531f45738a648bafe564cbc0af,7230f599e00824cb36f4890cb566a4c04961d2e9,a parent is the base
4,refs/heads/master,b5b142aa1a1e0cf51c3e5f7b63362a5c4005a31c,83fd179387fab30de3c74fe078d2445a5d8a53a9,9c832bd1a297066d724184fb53f6ff59383f599b,a parent is the base
5,refs/heads/master,83fd179387fab30de3c74fe078d2445a5d8a53a9,ee66a181861bc74a76d0f1aeabdbcd817f87ed08,c813842e53370d0036ff0bae58e9ba18277610d7,a parent is the base
6,refs/heads/master,5d1298335148a06d7161fcc441c8a1f816f9277f,ef3dfa2fe2b7be8a49d6f22dbc590c4ca38b2e35,8d60516c19fb02d6daf2d17bb960b356ba795100,a parent is the base
7,refs/heads/master,ef3dfa2fe2b7be8a49d6f22dbc590c4ca38b2e35,24554905c17313957427d520a3e5d7fda8969ca3,d399bb3b0632dc33a2f3cb02e62d04f678f3df44,a parent is the base
8,refs/heads/master,cb05a995e6e6993eed9313da144563ac123287d7,a25bfa70bceaad621fb1e0d56dca66afb13d2b60,383ff98f82157f9df696ba57f2ff12748e1c7157,a parent is the base
9,refs/heads/master,a25bfa70bceaad621fb1e0d56dca66afb13d2b60,a8a089f1ebc0c9f26ed99dc3105c9d851ae172d5,7d9b8c49e209d1a2d05937a5f4a4cd55cce63e0c,a parent is the base
10,refs/heads/master,55ff8020bffb70b32b4ad5b37fd5b0499532723a,89c53719e81d4aa9e81c120c66b550b9757b1cb4,31d07457ca4da2bd4ecfc9a9de3987856739ad66,a parent is the base
11,refs/heads/master,89c53719e81d4aa9e81c120c66b550b9757b1cb4,c70081f65cb37ffc59b6ca546444c4e5046fa94c,f81e65e7b0bcfa19a43817b089b8340288af8259,a parent is the base
12,refs/heads/master,c70081f65cb37ffc59b6ca546444c4e5046fa94c,69d778b7ae99b59dc9b0739f09e21917c19cb920,fac51c21e2fdc6872741401e9d30ece49cdc20ca,a parent is the base
13,refs/heads/master,69d778b7ae99b59dc9b0739f09e21917c19cb920,9114d21ca64c96518eb3fc270d74afd4c40cb495,980f95e6453ee1493189bb81767c78c1cd74e362,a parent is the base
14,refs/heads/master,9114d21ca64c96518eb3fc270d74afd4c40cb495,8359687d8fa45b05ff3d34663ec16ec122feba8f,7ebe26504754e4b8e644bc18febe77c80955e1e5,a parent is the base
15,refs/heads/master,8359687d8fa45b05ff3d34663ec16ec122feba8f,dae00dbf7d23ece8f311e9f957aee88b98700011,8ff3bda2970d9a91bbb5587622467886731279b3,a parent is the base
16,refs/heads/master,dae00dbf7d23ece8f311e9f957aee88b98700011,804e50105f79e9c74e73c8f7cfc87daa29ee7124,7ea85a7f0f2b899ab9f1f7c985cb1bac7ffaed53,a parent is the base
