idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,889e65b57d07559f507bcef0e966f6f0612ae9dd,976e3dfeee348acdffb27f3ff0f405aa4aa91891,9a1e630ba893b0fdbe95839bda9238cd89bd2183,
2,refs/heads/master,0791506159ae5332aaef0cf68b5cff06ee4f2a6a,1323842e11ef4291ce5065401ba2814c0b0ae5be,414d935fcfc7f2d5bb72c155e6af97ea85bc2128,
3,refs/heads/master,76e8532c10e14b52674e56176b187be7ef5c930e,6ff75d54016fd9840043dc6bd09c44b85a66d136,92ecbcb0d2c6ee22ee7dc9610c020150b2036b83,a parent is the base
4,refs/heads/master,331294aa28524aabb5128bbffbbdb5afc498cbfe,398505d20fc07bdf1d64ea522bceeba545f53c61,5c4f0934bf2cafd2de99f97edd9e215a4001dde7,a parent is the base
5,refs/heads/master,7a624832b85b10d7f1c5a38c682684c51cc8c947,4448aed4c8e356392906fa29e2ce84891acec4dd,43c14640d1a7196a09c8ef8b878836d5853813f8,a parent is the base
6,refs/heads/master,9733a8ec5020e217d377e2efc85451ea4b3a2429,23e40f5e3b450ad0e0c787fc6fd7d38b2f4ce368,c20802b10e46e2f7c111730cbb10c41ba67b3594,a parent is the base
7,refs/heads/master,3752c3e483639273806510cd4bb9e70d19fdf4b6,7114633e4fc1f4748d7bb8e6132eb63887fb0a53,f4a8668cf277050df9ea5e1d0fbe14376682a8a3,a parent is the base
8,refs/heads/master,b41b4ffed7d513b42e176e1dde38c47c41f1c4ca,aff30fcaef812c46da90bbec091e3d2c275b0ccb,759e2d2399728926bd96138f04f12f571b5d6936,
9,refs/heads/master,960f5dd183162903db95c8ecf400541b318570f2,a345513fe9b9318164e24c0548acea48e3506796,110a89eba61b63f7f46a3a8bf3fa8cf9eefcc7de,
10,refs/heads/master,c6285506ab2c22db7552dd3d97fcab9bffb27342,0a7963ea9ee074c43eab61d50e4f802b8ad3bf2b,d2084d5d5aeea752dafa2c131155fbd6e6148026,
11,refs/heads/master,100d2a1f10f021d23c9556249e7361cff47fdff0,bc0525ef35fa4dfc743e97e6245d76d98df1d43d,a7634b8e6d16bd6dab06d4b4434f782cd3c16b76,a parent is the base
12,refs/heads/master,bc0525ef35fa4dfc743e97e6245d76d98df1d43d,f2d1ca3b793e81ff9aa277d83598b345c04a4ab6,6a0bc93976109de65aef81daa791d57d5d7f1872,a parent is the base
13,refs/heads/master,3bc3aeeac3879910c2f14186e67511790a249f15,6471ecdcb2d64965c656dc999d409bbdfc687854,8e90757ba3b558bd32919a6c3cd681fb72744777,a parent is the base
14,refs/heads/master,8e90757ba3b558bd32919a6c3cd681fb72744777,8f7f26c3f324c23cde0952ccc73e80d21663a02a,6471ecdcb2d64965c656dc999d409bbdfc687854,
15,refs/heads/master,6471ecdcb2d64965c656dc999d409bbdfc687854,6f291a4c774e33bac1de296adb28f61156a08710,438be7df6adc1e012ce99c95a4493dec407d4696,
16,refs/heads/master,3ff358a831d6a96c4341127a689a441899e8ce68,3c6fa2898c615acee4c5aa4ad9899f0c41dcb90d,bdb411a37315f6b4c7fd9a753469a6c810658bf8,a parent is the base
17,refs/heads/master,3c6fa2898c615acee4c5aa4ad9899f0c41dcb90d,3ebba915b0af61645d4fdb6e02540956bde7e660,2ad0860b8e21cccb93784d1e00070330fd27babc,a parent is the base
18,refs/heads/master,52c0de11f83c60089d33027bdf5130f733598775,3e696d17bd2733b37f58e27e5db67c9d9d3c5112,df9e13e88f236acfb10eb86fbd57c3454aa1034f,
19,refs/heads/master,3ebba915b0af61645d4fdb6e02540956bde7e660,9b215d557fc2453ac5348639df1b1916332ca5f5,b83262d7e99d0f47ca004dbd2084bdb2787e968a,a parent is the base
20,refs/heads/master,9b215d557fc2453ac5348639df1b1916332ca5f5,e9ef1c086765d9553e0a27d9d45f490f2ee7148a,e7950dccc0c4df38e172acbd99071e50397fc492,a parent is the base
21,refs/heads/master,43f58e2e4494becd8d83ca4e10e8f260e78137f8,5edffe693bcbd6d97149036c5c19a4727ec26b2d,fa37c4ba456d0dad4af38ee48e81b0557b059d47,a parent is the base
22,refs/heads/master,4e6794edb3e578efbc8612c016cee69e304b9d40,4c79d4f2b655533aa65b733222eef89fa84312ff,859f9d37ad0dad33904ad0216c5f03ef2c298da2,
23,refs/heads/master,0e516fa5b604b720ddb49979ed4ba43c0560edd3,a99641a9195d1eb00b3aaea13945014bb2c5cc29,52a5401779231fa7ce1b319a7df7d6e5e226267c,
24,refs/remotes/origin/2.1.x,9a63d1d256d9795a224fb51cd9e7e4bae540ef96,9a1e630ba893b0fdbe95839bda9238cd89bd2183,c82db31632487d3ee6177d2682548b9224e59ec1,
