idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/fourth,5364a072e1a151dcb28a8f1eb2cb33b6a9f5d899,479ef5e1b6a2c25d5296fe5ba37507c64a87e275,2c5e9316860c4b7ab6acb9df796ac7fd583040cf,
2,refs/heads/fourth,8d27f3e2c3e2096a09009b9fbfa2436f6b8a07ea,05455b1f7f9bf001f64ec80504ffa08d9df7fa0c,eca804c75c982a91a70bb37a7030e947c3d65dc1,
3,refs/heads/fourth,05455b1f7f9bf001f64ec80504ffa08d9df7fa0c,528374aa850664fe76059cbd0fd95904e07ff15b,02410f4888524385033451f39ed91206df05cd3e,a parent is the base
4,refs/heads/fourth,ed3a09888e09cd65ab9b3297977f4281b83d9252,410664e35be709d4d0623144b2182403e48d609c,dfcf7f5bc49ff5aa74a3cf04b5fcc4328195fefa,a parent is the base
5,refs/heads/fourth,06c76f8cb75820db63d9373dd5d5797620517b3b,7623814e5867102b27612cd3dec691b8b3cbe9f9,770989176e2e4ed3f30d885473709c2aee3bfad1,
6,refs/heads/fourth,7623814e5867102b27612cd3dec691b8b3cbe9f9,dc560ce915124f78b05cfc14f1615461858d0800,274bffe733387faec4248f41b2b092cf3eade4ee,
7,refs/heads/fourth,b913f06c0a8eab22da6bc8f59f6d43c7eec2313e,21f0bebdf3d76c64101cf2e736281d8bc5097219,4230b23cd1fee85750a47df4f3d6df5f328b3798,
8,refs/heads/fourth,dc560ce915124f78b05cfc14f1615461858d0800,675438ce85866d456ca86e5189e0e942fb47d440,4230b23cd1fee85750a47df4f3d6df5f328b3798,
9,refs/heads/fourth,675438ce85866d456ca86e5189e0e942fb47d440,728096d436a2d487480dcd3a788f875a33a72e4e,21f0bebdf3d76c64101cf2e736281d8bc5097219,
10,refs/heads/fourth,728096d436a2d487480dcd3a788f875a33a72e4e,d9b92bba9cb1d747974c726ad07b2c3ddabaeb68,cd58b40d1222229c1611f64f749df5d36a9d1b94,a parent is the base
11,refs/heads/fourth,1b7339d69674b4ed41e3584b823972dd42d20279,dce65ac0703fdd7109b3bcb8b3154c6f0bea8eaa,14cdcd7a6d68f678ada07cfd7469088e0ddf9ac1,a parent is the base
12,refs/heads/fourth,dce65ac0703fdd7109b3bcb8b3154c6f0bea8eaa,6bbf0ffb3baf5d11d6ba078a308fe019a95fd048,2e3b2a0603ad63351de1aa14c10e0406b5f49393,a parent is the base
13,refs/remotes/origin/pull/14,44d788c028d1068528306e4a0641ce07eee75f6f,5f59216c44dbfc927477dd65933e47eec3ec980f,cd15b74dde1091db5916b2034a423e092cf880cb,
14,refs/remotes/origin/pull/17,0c8cd95844634eb20579e1f8dd6f019a60f4fb06,7ee003f733c006436b73e51b30596e57cd4e409d,5e9d68e59cbc7ff3c2722ed4e51905ff25b71d4f,
