idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,6c92bac30d98121bb212bcc7f2426c48ce592433,a304a3d28fbc8d7867538761cfc600dce5b924bf,852459b69145b574569390ef9e3404acd6db9ff4,
2,refs/heads/master,a304a3d28fbc8d7867538761cfc600dce5b924bf,f3bdfcc5eed628417ea72bf20d108519f24d105b,50385fc8bfc5f2bba6d543c1180c6adb8739744a,a parent is the base
3,refs/heads/master,02f103d0fd90d7efd7105c1091a6f97dbc0b0eee,26882e708705ecd89aa116df5e1d943a36e20dc2,9fd9569a0677fb48c107fb2b2768f07fa337bc23,a parent is the base
4,refs/heads/master,62dc2d80463246cfbbfedba16a17aaffcca8722f,d3af94258f434ec777f22e48014ac5d6e9289e26,814659c99b5f4774f4b76d93f7aec48d4a423c56,a parent is the base
5,refs/heads/master,d3af94258f434ec777f22e48014ac5d6e9289e26,a2045a7c421958fc99fd36857c6393344074c77c,5914b03ac74b7ea1b4620d0de6477bb43ce2542e,a parent is the base
6,refs/heads/master,94f3630b72dd14b1790081186cd8bb93053d95c7,e20cb279e8286d3867ecb2da4ffd60599e56679d,afd2d34fcb7da9317b08341fb51cf5088a62e4fc,a parent is the base
7,refs/heads/master,9102ff0b4294c9672f6a6c6eb92138054e72fbb8,045ecd6232692fd139307e73c1e94f89d14e151e,bc17addf48c5108b5ab607608155254dc9b7339a,a parent is the base
8,refs/heads/master,6661aedcb3e61a790c69d7cb47344727c2379b2c,6f2bc1797d88fe8560449fbab2e83f90c52b96d2,429f5072c37e17b04e1a8b9144c8bb7a69e6dcea,
9,refs/heads/master,6f2bc1797d88fe8560449fbab2e83f90c52b96d2,a5237a9b31853b0dc91d4882929b910ed5b8f2fb,45caf3b821a91e9eaa36e94eeb4e36c332603925,a parent is the base
10,refs/heads/master,618233a90c0417b29d4dbbd1c0081c9b075f081d,c2319f2be5abb39afe221d9b10531f4e4c8a64a6,2b931b52d5f9e32f89022d1242e3f4114440dc66,a parent is the base
11,refs/heads/master,c2319f2be5abb39afe221d9b10531f4e4c8a64a6,d67771593399905e0ed9649ce74459307625365c,b891bffeb85e0b3488efa2d9c4a4d417367271ba,a parent is the base
12,refs/heads/master,66894e178e10b93553e323fe35e6b81c1e19d32f,8dbd7d995ac67ac86c7bf5b2e56432efc2b43032,a3937b1baa3a6c670d17445c29f0db4ab05a132c,a parent is the base
13,refs/heads/master,cd0828692ce94a331e60bc1157160e9af5ad768a,2acd754a456c2fa06ae4efaecf750b4c8c8bdc4f,bc55484bf692360ee67e98404720704f9516dfc6,a parent is the base
