idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
3,refs/heads/master,dd5480db1fd9c27850fb0da3508c660a0e81cc35,4ba535e2e73db52bad92ffc409b890bc57beda2e,1f780886c2a9c467c435ac56858cf9520d5cd5bc,,True,True,Tests_passed,9210d8cf5e819f9ea82d1332a21a1b91dd85d629fef49a9df121b51b4e8cb1f0,True,242,336,13397,6,True,Tests_passed,4d9196122f458d04ba9168fb91fe2673041062cd9389a30e5a484f68fb7f8ad2,True,242,True
5,refs/heads/master,623edb4c109259c6ef4e79c4de3e04bd4b1242f2,476dbbadf8554b20286bf93d28658ff592a979ad,94974ee9a23d21ea81b55fa42195ffc352211706,,False,False,,,True,3,3,11,1,,,,False,3,False
7,refs/heads/master,3f0449aade985d2e211d5c5b24c1cd3a94aca892,0dbb09fd6410e977bdc399568eaac4907c7c06c7,38d51ba935f326a5d80cd030d20398e11cd69814,,False,True,,,True,39,61,3470,2,,,,False,39,False
9,refs/heads/master,63f5784a33534f761d7f0463c27fb967aa67f9cb,710bd903550a927fd3e81d933ca8f2641e454dd4,0965bf1b94751a5ddf085660b16b4b6d881d8571,,False,True,,,True,40,58,3439,2,,,,False,40,False
10,refs/heads/master,710bd903550a927fd3e81d933ca8f2641e454dd4,76299e728bf962e0beff314cad3451945adb189d,3c442b7d7cad79e422d730ba10a7a37449be7757,,False,True,,,True,36,51,3387,1,,,,False,36,False
11,refs/heads/master,3c442b7d7cad79e422d730ba10a7a37449be7757,5b35a05e585257f9386c980111ff309479af7dbf,10e6c135fcb11a3fcc68d0680c76c5880a64dfda,,False,True,,,True,187,185,19452,1,,,,False,187,False
13,refs/heads/master,7ed398f6cbe03fe9f3dcff2b9f6ac3be51355471,7be9a81b01d5d4282daf2485af19cac3825eb1de,c2475f9fd6039d3ee4d3f300976c535a7684361d,,True,True,Tests_failed,5e770d1188d977b8dc3ed71401684461695a155981fbf59fd4dd2ef39b0b66e1,True,140,137,13441,5,False,Tests_failed,f607af9d9399942909b03181a9c9c0b167b57ed5c9d890770112d7ebd40e1506,False,140,False
17,refs/heads/master,9c727f4c69651b9822b2324ad9eb45a49d029930,b6a57de1b379b570cf07ee1fdcd8002aa3045140,d40c940cfe734646eecc2521530c22d65e73dc05,,False,True,,,True,107,402,6576,1,,,,False,107,False
18,refs/heads/master,b065f9063a2e5207e6278077b4bc764c957e5f15,43bb4267a0ff7a61dbb84741b7bddf32183eedea,eebf00d511d8ef477396f9a7cea4f983e51c144f,,False,True,,,True,29,89,431,1,,,,False,29,False
20,refs/heads/master,897f1311dfcd96bfc4c4ad840ed58aafb580bf5b,3a3482fb235644ddf0254fa759a13d0f15a9f6ce,1e5743ada8bc9ac363d2c3f9adb1ae67088ddc97,,False,True,,,True,5,12,115,1,,,,False,5,False
22,refs/heads/master,3d3f04b0e787500a4e8871981a4fed1f04cae36a,08e14002ac73a641b74d7d0855c1077b6bc6a215,cc9a669fca9486f5293a2636915b11c24b773527,,True,True,Tests_failed,b44186bb2a21726923c6598451d50b555da2b90a8f11fbacc0c2cfea2ba1b274,True,12,32,123,2,False,Tests_failed,1ad6288410125240832dda6be0c04efb2eca6a22d2f2aa06fbc1d50d07d2fd95,False,12,False
23,refs/heads/master,cc9a669fca9486f5293a2636915b11c24b773527,ff68a9b9550e20b57a19d51431c165c7e9e8b904,1fe6811633283392568f5b8bf579030a0a8a0a87,,True,False,Tests_failed,e5ef94f31253b2eb872a8764f475327edbe173ec27f733f6a4dab20e9fb0c4e3,True,7,15,34,2,False,Tests_failed,cab59bc7d54b00ee371c6f6a300259e822a77e9d1a78d62191ebb2c825a0cabb,False,7,False
24,refs/heads/master,513457f61786c4f90d3da9ac57f60a8230820df1,92dde1552f1f3c4bd2078207952fbe1982962c68,dfe30288d91ea3feb9e0af64a1f5221973567f33,,False,True,,,True,8,9,711,1,,,,False,8,False
26,refs/heads/master,811f6ddd1ac40fe6240f15547cb56fa0821faa88,dbbd647d8828812217d23ccc7a2fde563728ee12,2e87aa9d962c106303d0f3b0e01d661207b8240e,,False,True,,,True,18,17,1766,1,,,,False,28,False
28,refs/remotes/origin/python,93324761eebbf5f8ab17350d3bc5d9e0376fafcc,70d96180b0ea419824fdb4c49759e821943c2251,03697a599c13651b22b62d57dedb2f6f8c3531cc,two initial commits,False,True,,,True,1079,165,8177,Error while retrieving base sha,,,,False,Error while retrieving base sha,False
29,refs/remotes/origin/python,a26221a8dbadce2e5294abfe5fce4ef72500bf6b,c287b0d487b4a01ca8a9196768aee6b1a90103bd,bf829bd93e4bf30188b52b40a281676765ac57ea,,False,False,,,True,2,2,3,6,,,,False,7,False
