idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
1,refs/heads/master,6d09b7ad7ee9590d2311f8435d2ace82dc66fc9c,9f0d5e64edb995e707548d2a7f0d2117e0328322,0a37e065514fb4596dc62fdcc1d2b7b35421d05b,,False,False,,,True,3,3,6,2,,,,False,3,False
2,refs/heads/master,03c5e600a230da3bb4b69d9ef168f63ca258207a,61b8bf63e4b1cb64a1be046b6e8e963c6e9743c7,a81f6241b6740b5a3340f40e3c4137c9fac5cdc9,,False,True,,,True,6,32,127,2,,,,False,6,False
3,refs/heads/master,61b8bf63e4b1cb64a1be046b6e8e963c6e9743c7,1eb1b858d07964777d2f72ed6ba8174baf8bac0b,a843f66a15388569a1d0fd0f94d7cc3fb445eed8,,False,True,,,True,6,31,125,2,,,,False,6,False
4,refs/heads/master,1eb1b858d07964777d2f72ed6ba8174baf8bac0b,9260a95d27b896baf63e6bdd216d90b01a570a3e,da024f7ed25ef13460a5f4dde4ede98c186579ee,,False,True,,,True,6,30,123,2,,,,False,6,False
5,refs/heads/master,9260a95d27b896baf63e6bdd216d90b01a570a3e,68345afc09ce0b5746c2f658190a059ff829de56,222584fd76c24e259d4529d25af33d05fb9c24a6,,False,True,,,True,6,29,121,1,,,,False,6,False
8,refs/heads/master,4774d72edce171181c1712e9e42b3f41eed8547d,7101fbccf8def2f7da3b467cfcb193663ac53dff,6e796806fd35c7d050ee156d14a463cd1e25918f,,False,False,,,True,5,8,28,1,,,,False,5,False
11,refs/heads/master,771a15cd7352b2c342b9b2e2aa6c86b5f822846a,bce03af6a0afd00a3c37a8bfad9dbe708dac430c,9569966d6f157eae267b7664b38ba2daf7d624d6,,False,True,,,True,9,16,39,1,,,,False,9,False
12,refs/heads/master,bce03af6a0afd00a3c37a8bfad9dbe708dac430c,b84db31134e7a30454be8d52b1634ca1bc3b4695,09d55bbfaf63d7455ed5f15c3144516afb1fa5d6,,False,False,,,True,5,5,9,1,,,,False,5,False
17,refs/heads/master,200e39399371b6e45fb26cf64bc7145ffb004aa5,dec7d7af6309cbba0f7bd1bcd94c100c788fbe58,2992def8e778fa2c769c72a51ffc1b41715f99e6,,False,True,,,True,26,58,1086,1,,,,False,26,False
18,refs/heads/master,dec7d7af6309cbba0f7bd1bcd94c100c788fbe58,ef73b43a0449f086c6e4ff16019180c9563cbf9c,8fb0434073906fa06d1090adcd7532084ea4a623,,False,True,,,True,25,57,1085,1,,,,False,25,False
20,refs/heads/master,6c61a228c12943323deba5d64e903bd7ea2d622b,01f9758ed00fcbe4ac627018c290f83424669c55,39d38339dfbef481f6b27d15529c322cb45aadc5,,False,True,,,True,8,24,204,1,,,,False,8,False
21,refs/heads/master,01f9758ed00fcbe4ac627018c290f83424669c55,fbd4f7b57906373cf7c487ca9a612debadcb7113,2b690bff008b195410b8ba80514d8bd1e6125008,,False,True,,,True,6,22,201,1,,,,False,6,False
25,refs/heads/master,93d8982d66c56a3d198aaf792b4c5737295aedbd,d1720810ea8a53f15e01332d4d8cf31ad46bb381,71e1ca243fa959797728bb09c0abf3c6c2d9a697,,True,True,Tests_passed,d2d8a0203ef4aaa9877fcec35430e310efb7a665f2dee1effe6a7adefdfae625,True,25,124,829,3,True,Tests_passed,9ed3135958ce290c0bbc1910c1f3756206ae48b0787154dd6998e8cfe34c084b,True,25,True
26,refs/heads/master,d1720810ea8a53f15e01332d4d8cf31ad46bb381,8586824c5fa1547bce2ac4ed0791375c6d48e945,9ccb1c4d19e20844d5b719ceff68497c5b00ad68,,False,True,,,True,5,7,15,1,,,,False,5,False
27,refs/heads/master,8586824c5fa1547bce2ac4ed0791375c6d48e945,381a65f6f1a8d9c911e4106e7437287baf958a51,2d5513195f8155480166f65c12e979620e1f6071,,False,True,,,True,4,6,13,0,,,,False,4,False
28,refs/heads/master,381a65f6f1a8d9c911e4106e7437287baf958a51,7d1ab589ef261233a4fc0493ea7ca4dceea83b6a,4e3f900269f5eb010025459eab03482a96f94e25,,False,True,,,True,14,25,54,0,,,,False,14,False
30,refs/heads/master,993ab936856160b99794328a5b05243bf03fccbd,e751112e9417df5a2e187d59e44ef088ca45e8b4,22eb21c34edc63f037d70e908f0b630301587bcb,,True,True,Tests_passed,ca24ae175bd85ae6336e6397ae7337c40bcb7e8b15071a380eb9c578254c433c,True,15,83,655,3,True,Tests_passed,496481dc54adb23b6e92ba61a6fd6e50160d1c9c8b00ad0c7cf3a6d20ceaa8fc,True,15,True
