idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing
2,refs/heads/master,8a3d7f4df80693d7f2b43942ab2a2007640d6ea9,09b4a92a47b65a10df0cc273ec6a79b38ddfa2d6,3824498688796efaa27a58166063065537107c2b,,efd79430b35c7a9994ee73ba6dc230c81987b99ae3b8f99dffc0f7effb1b9c97,Tests_passed,d68fd444e23d12793b4d82d394ab0a169c7932d4015c8e62eda59ed1cb4c28e3,Tests_passed,True,True,True,True
8,refs/heads/master,b9ab05fff8efc9f5a8e0d2d6586e0e7be4c71e3b,0aa25cd30e381c61050bf9bca1debccf502e54a3,c83412a7e5e14d9fb09c8cece3d01b7f2253a289,,,,,,,False,False,False
11,refs/heads/master,ccb1862fc5ed73bff3a61fad86b01517608c56fb,b0656198ec175f2286ddf5dfad280c675fb8599e,605e350a23a035629823117a0628a899f9b3fef3,,,,,,,False,False,False
13,refs/heads/master,33fb115db7f83ff9c89c7b2295b1d3d2dc6096d8,b8ccd8f7e9923046e2bab900585bf37d3d18608f,c18e5a62cf000902542b879948c3f7d4c14e7ddc,,b1879b9507f4c0502c45d233982552b34b199f88a6f15000d4a1a60ce87897dd,Tests_passed,8527819f8bc2771e90f7cb505b92f2a89988b8e0fd92880be9d22c7c3a076c96,Tests_passed,True,True,True,True
14,refs/heads/master,260cf129dbaeb7913268f38e91979b5b964d39f5,ccc2717532d826520d48955c86e3110a512e4f7d,b3ab8b8b47c1d32e6a8a080a90f9f93bba03c970,,,Git_checkout_failed,,Git_checkout_failed,False,True,False,False
15,refs/heads/master,b3ab8b8b47c1d32e6a8a080a90f9f93bba03c970,45b3ca258dd9e4c1e8dbcd6ed318f60c2dc57ac2,e3ccd49889eb3a396b41afb66012681c80048d49,,7d04e0127359a6508e0afec8271300b9cf77c3b923254fcbf42f73fb0592d38b,Tests_failed,b0a22d03144984f228508b15d0cca378c0f99cd7cf143d5c5a902485f81db0d8,Tests_failed,False,True,False,False
16,refs/heads/master,a7e47c9692b39881f95e6bda262b27828f639b92,1aef902e4e14ef4881fb6933ffede49a3a255627,c05e6bcc36e89a16f455cbedec87017c6bd63e89,,,,,,,False,False,False
17,refs/heads/master,4d0bdf157f2b0cf49e3be64031c2db6e13f80447,3100f74e2b464aebce4c2cea340d753f47a4ef0e,eedfeddfaf5ec7d6ac98d4ea8fcb578292821a9c,,,,,,,False,False,False
19,refs/heads/master,9911bda572cf8cdbacd8ab793239cc487afee8fa,0b0241e6d3750389ec97b5bc9387efd811f5ea5b,03c056fab2ec57f9e62bc5facd1d08c893dac6bc,,,,,,,False,False,False
20,refs/heads/master,0b0241e6d3750389ec97b5bc9387efd811f5ea5b,fb01bb0cefc36786a9c68280c5455b63489c7a62,44c5766a1c958f10661b0464d406345a5ff9dfbe,,,,,,,False,False,False
21,refs/heads/master,fb01bb0cefc36786a9c68280c5455b63489c7a62,5ea5d49c1d91aaf3565ecc622677511b2a76069b,3c02f680e799b266b15827dc238d42fb262ba015,,,,,,,False,False,False
22,refs/heads/master,b4156ab714a8eb43d5e1970a6e0c64776441f143,a71d55cc3d014df6c2ed223d57de9886b91fb0fb,d721751e92801fb0e687cee3ac87f4422b43bb71,,0822250568ea0a92383d685c20334da385b382d534e44290c02042faa5f6a27b,Tests_failed,f96dee4e7a3efcdf8b8c4ce28bba213fa2ebdf502b92b316a088fcaafb10fa7e,Tests_failed,False,True,False,False
24,refs/heads/master,8c09bf555fd976bbd0ecb93771ebdc27a3b31535,02f654883502d8795fff39ed10c171954b113cb2,4fdc4094ab07ce2c9c133d077613c2527bbe3673,,,,,,,False,False,False
26,refs/heads/master,fc8fa814fe1afd5f52d4e36c665378787b9f82ac,a0e33d0783c5a677b79d3d18a06a05b1d051e47b,aba16d1d97ae48c6fb20964c1f6e71a434acc1bf,,d3915377e98e105925d0fb6a01f4995673fd49a0a254da5ccff626f41d4c2396,Tests_failed,8eeab395e82865ab35ae9beb1b4622f707621962d0c1c37a2619274879430308,Tests_failed,False,True,False,False
27,refs/heads/master,a0e33d0783c5a677b79d3d18a06a05b1d051e47b,009dd0aa408d425e2de361c746368dfa8cfd65ae,e998fed600f1cbfb81a731dafc36095754e0c10f,,,,,,,False,False,False
28,refs/heads/master,59e6b25099b5b0d7b9d25f920d7fbab124c4cc90,5ed49c0f4b7409ddf378c82a3c50ad457f44da88,5ddaed951c3ef698dd4eba17552b5ed40b306aff,,,,,,,False,False,False
29,refs/heads/master,5ddaed951c3ef698dd4eba17552b5ed40b306aff,57d679521a503a8111c5e10ce406f023e65f3906,f0f7d1fd35ff1043f79503cba1369042613073a9,,,,,,,False,False,False
30,refs/heads/master,57d679521a503a8111c5e10ce406f023e65f3906,2aff6c0a546953ad83fd7e488fff72f906abea1d,40e168fde6ed2828ac6f2747faff4aa5d32d7e19,,,,,,,False,False,False
31,refs/heads/master,f0f7d1fd35ff1043f79503cba1369042613073a9,40e168fde6ed2828ac6f2747faff4aa5d32d7e19,2aff6c0a546953ad83fd7e488fff72f906abea1d,,,,,,,False,False,False
32,refs/heads/master,d8fd933eacd65bb5803803d240e1baaf2ad5ba1a,d51761571cff3f94ca5d0421e2c4018e57ff5b34,39d50f71cfcabb91d5fcc317fb5c3bad0e084b2e,,,,,,,False,False,False
34,refs/heads/master,dbebd5bf729084f4edddf8d2a5698f6a40deb759,73114f774ed1d4da52e007d98dadea9cb18d1c5d,55a5841671620c937a079ba909c93145f2983d68,,,,,,,False,False,False
35,refs/heads/master,73114f774ed1d4da52e007d98dadea9cb18d1c5d,baf44e2ba414f99f17a05de22fd9fd8c215ab9bd,8e753fbb71438c13808b281cd8dbc1061a84a375,,,,,,,False,False,False
37,refs/heads/master,d765bb70e74c23fe5569252715762d7bd7043097,4053f647628096a5225edd465901e493f8315fe2,bc55bff951c11bf473065f691526bec2e27cf7f6,,,,,,,False,False,False
38,refs/heads/master,4053f647628096a5225edd465901e493f8315fe2,db2a861c65e0fff978699a18e8225b4d4d6eddae,f840cf1974538ea6367105a69684ca0bb99a23cf,,,,,,,False,False,False
40,refs/heads/master,a6fc929035069b77d04225a58889ae170e58619d,5133a1151403e7216b2d49a2fb98bd9c54ca3af3,ed9f2eb35cc2f19ac2fdb5de31c067c256e3a8f5,,ccbf6d716ca38d91190b142cf24c5b7594bbe982b28b2de79bd3735f64d79301,Tests_failed,63f4df50e9a0a1694daeef5453d1a2aa3e5b9383e7beac306bbedefd79ff5d36,Tests_failed,False,True,False,False
41,refs/heads/master,54b028602b789b4d20cb633cfa4744f9617ee8c5,e07e9f4725c53deb751c919eebbfdd48733778b8,fc5f9be25c1bf741e476ddba257c47fe9017e16b,,f8ab25e0a9daca9da0d7b05bc20c55b4b233232b9c0fbcdfdc9e394e05be8212,Tests_failed,1c7e986b586e8b9a3273dd773d27623676c4b0a3e02683dc4d114c65cb84026d,Tests_failed,False,True,False,False
44,refs/heads/master,1ff8d5912b50b02b19a82767232c9a4af75ffa07,4f3153f9194c50261a5ecd06ba79b7b0df734bc8,1870fd3cdcccf7e88db6d34eef1bf1b477708814,,,,,,,False,False,False
46,refs/heads/master,00929aca37c6ac490c8cff8e137bc831b1f42c92,b808aa823a5e487d948de93bde8592bf15b5061c,83b44a63d13bffb02f84f06aea6875b9ef93a6c2,,,,,,,False,False,False
48,refs/heads/master,40e168fde6ed2828ac6f2747faff4aa5d32d7e19,2574b7c967ad28df8698de70100b178ef220b96a,6e5d50f3f5888f6a647daf72f05a567fcabc1d39,,,,,,,False,False,False
49,refs/heads/master,982d1904569c5447063aca9c4636203b2b56aff2,86e655f3651c6e69ec543a494339c35e28a9296d,1b06f10edbfdc08be86bf28eced931ed4f5d929f,,,Git_checkout_failed,,Git_checkout_failed,False,True,False,False
50,refs/heads/master,cc9193797544f32d1b22768cb3c46fe0777c35fc,67fcdc6a4552e185af0ca1291bc8839708c37eb5,23f23e4faed6bfbe8af8491611658224956a9ef4,,,,,,,False,False,False
51,refs/heads/master,cfcd7b76ec9694928c1b6cdf6b653d17ff60b66b,780e836037546d56ce28b578b82c7df11811cbaa,5f41e73b20dc777f70cbde30e3930ce41fd0f7f8,,,,,,,False,False,False
52,refs/heads/master,780e836037546d56ce28b578b82c7df11811cbaa,1b81e71c7daadddf4f278ea3bba12035c7a8c071,d3a92daf4fe6d2e916fef607f5c7010780335655,,,,,,,False,False,False
53,refs/heads/master,d3a92daf4fe6d2e916fef607f5c7010780335655,583207f74e6512236f991f24f5e3a986b05cbbee,f1cbd71d1c9b7bed407c4f4abd17f2523ff6542f,,,,,,,False,False,False
54,refs/heads/master,a97e8d0dcb6065f7187ff72716ae74c7373c822f,23d05b64fe951523b799415cc4e8a47b8832d63e,45781bc765ee95cdadd6858da3a9be17ea3b0c46,,,,,,,False,False,False
56,refs/heads/master,03c056fab2ec57f9e62bc5facd1d08c893dac6bc,4551d2a7b9cac0bbeec70ab5b9e0bf6e01d42c85,0e6f0aba4864b92bbf598919c08ba3316dace565,,,,,,,False,False,False
57,refs/heads/master,4551d2a7b9cac0bbeec70ab5b9e0bf6e01d42c85,45781bc765ee95cdadd6858da3a9be17ea3b0c46,aed4c0a9ed11e97294b3a34049865c201457ca32,,,,,,,False,False,False
58,refs/heads/master,45781bc765ee95cdadd6858da3a9be17ea3b0c46,0185bc01f0d3d068e29c8b7975ba092b8f8bf330,149d0aa27c76f29612facac0d3e1689d56db4330,,,,,,,False,False,False
59,refs/heads/master,0185bc01f0d3d068e29c8b7975ba092b8f8bf330,2fda12c64c601281a02992c50583aca3ae7e3b21,649a0c3789c3eb2fbb5290ad3f926b13121253ea,,,,,,,False,False,False
60,refs/heads/master,c43a63d84f7eadff54be14c9c4ac14fdb5631c14,b48f6b9babffcc410e1e25587e6e8e5177f0964f,49a0824b260b4322a6b3174c2ae420ce9727a8e1,,,,,,,False,False,False
61,refs/heads/master,149d0aa27c76f29612facac0d3e1689d56db4330,2023f5b970691a021798a686c737c880fa7e4a2b,b2d3aec077458c2272fc8b499a2e9e5a5364cc78,,,,,,,False,False,False
62,refs/heads/master,b2d3aec077458c2272fc8b499a2e9e5a5364cc78,15d96c440e6515c4237d7f05aa5ad255d2aeac38,a242739756ef1249292b372cf32d4dea21524ed0,,,,,,,False,False,False
63,refs/heads/master,2023f5b970691a021798a686c737c880fa7e4a2b,1814c2aafb1424468a09af0338753736bd2722f8,a242739756ef1249292b372cf32d4dea21524ed0,,,,,,,False,False,False
64,refs/heads/master,1814c2aafb1424468a09af0338753736bd2722f8,2fda12c64c601281a02992c50583aca3ae7e3b21,4ad89978a849e01c683da0ec26b5631eb87a922e,,,,,,,False,False,False
65,refs/heads/master,ff9891b4c92047ad6263d6eec0838794d7b8c217,7ee97e730b17891e7be90cf9b02fd9b244e20b8c,aded89a250e22acb305ba84f09cbfe2f165b76e4,,,,,,,False,False,False
68,refs/heads/master,fa40169496f2301ad481e3fc83b33b43cfd495d2,442bdb25320b50d3fd0303e581d575addf9b70b7,6e819c63da939fb41d4eb80dcd47a81d302d7331,,,,,,,False,False,False
69,refs/heads/master,f3473ea7854b303341a8c92007e676c8d26441c5,800a6e75a435d6ce1cdc34ee0c5697de02cdb1d8,fded81a00357ba4d96d2039e6b503a788abe8bfc,,,,,,,False,False,False
71,refs/heads/master,a18eb839a90c351a075141dc3797d548b2634ae3,a936ed1dbb4568efe8c79efcef1dd5df192711e9,a1d0473e9db594ce8be47d3c30c378f97b612871,,,,,,,False,False,False
73,refs/heads/master,9538d51e1fe0eabc467bc9dca1de23c3d015e69e,742479a1cb6203d05dc9faff8f91f7771fadaf0b,5b6d5e3db135e29fdac3ad0d132bcd00b52c5b9b,,d5b8873339f771f33935a63f8fdb4d227c42b61357a1703e825d747dee588de1,Tests_failed,8d6abb0e95882cd632a68e941fcb85a880791e1cc8b2ba2d911222a72c29713f,Tests_failed,False,True,False,False
74,refs/heads/master,0e6f0aba4864b92bbf598919c08ba3316dace565,06ec00af47b0c770abdd64022f493eab87fe0ce3,1468fd219f1df96d499c23b5833f63d1dcc3438b,,,,,,,False,False,False
77,refs/heads/master,7b9ba85270b3f45e254ecbac8952c6be99910d2c,0d99c9da2a0c925b14319f082a2a7c790a7e6d10,f527bcb11cd06ef038f8e043c2cae5d8d13615df,,,,,,,False,False,False
