idx,branch_name,merge,left,right,notes,test merge,diff contains java file,sampled for testing
2,refs/heads/master,602d0c7d9d36bb28e1d62113faa166b5eac43d7a,6f4c8ff732d1de47a27255ba9ed68950b8039ae8,2e074d30e7dd6f5ab2274eefaf16e790d9b2afe5,,False,False,False
3,refs/heads/master,6f4c8ff732d1de47a27255ba9ed68950b8039ae8,f1432010a9f12cbd57c101217b12b6e54f62a69e,2afa52561068b0d7b300ed827c071d5d940e075e,,False,False,False
4,refs/heads/master,f1432010a9f12cbd57c101217b12b6e54f62a69e,1a16144bde0387ba679de9cf7d8e64156cd33a58,eb12b3db1906a8e199a6dd02dae6b1c2589e192e,,False,False,False
5,refs/heads/master,1a16144bde0387ba679de9cf7d8e64156cd33a58,e25adcdfc19a69376ff5d9d40a021aa517e8571a,1111e1791aaa53472470e96a781839962d3f2b42,,False,False,False
7,refs/heads/master,7703377b3312bad714a47023dda48a42a40ea88c,c0ad0904e0c22f5050ea6b93d11b8d5d9bd050c7,df575898ef6ff6fef19d31a941bf6fdd14c0ecbc,,False,False,False
8,refs/heads/master,c0ad0904e0c22f5050ea6b93d11b8d5d9bd050c7,095197c7f71cabe51bd826dbf352037eb35144d8,1d65d396eb6a0970e073011770ec06bc04eddf01,,False,False,False
9,refs/heads/master,095197c7f71cabe51bd826dbf352037eb35144d8,299a7f3e231d9639bc2e8576528d4bc579eecacf,d60e8fa1ad624b1fd54bed0c83c3c0be096d2686,,False,False,False
11,refs/heads/master,df90e2817a64a70c19e153622aaafef326b2c00a,4c56d83a31ce6841b56952518d1083701d792aef,7ef684949576fcec74689f7577304abb06c1f49d,,False,False,False
12,refs/heads/master,7ff1359a1cf6f304ac55e49f07c1541f2f54b9e8,26bc4a64be591d7405ba87fcddba4d385677f373,6850cb0ae6bdb68da78f48c49d9f7d41f6f2eb8b,,False,False,False
13,refs/heads/master,73010bed3618d3f0a0bb51663574e23b4b786b01,fd7614a0f2fd6a9d37496c8638d334e80502251f,e0b2d9046a0d282413fb8fd04afacfad2329d852,,False,False,False
14,refs/heads/master,e0b2d9046a0d282413fb8fd04afacfad2329d852,01851480786c74d28bd9352acddf78496b34f961,08d43d7ecbd565ff5a0cb1e33178a8e4f792e302,,False,False,False
15,refs/heads/master,01851480786c74d28bd9352acddf78496b34f961,f27887c4ac7d41440790bb37d82b44e924b3e49e,e51d9e27231da8a9bb11ccb51ca2045a5c3876ba,,False,False,False
17,refs/heads/master,29e3d657cae6fa7bb094ba59ba25ace8f9eed6d6,847165e18adfa797db3d024f47a511b9a8769ee1,f09c3b8e684e9f29b06016db4f8e4cfbd2927060,,False,False,False
18,refs/heads/master,847165e18adfa797db3d024f47a511b9a8769ee1,5f97e659b55f07b0cbd8a83e7d2f0a05ea5b7578,9490cbbf2de2407a19c176974ba73e3edd3ee20c,,False,False,False
20,refs/heads/master,d1ec691b36a39b6b761fa42d703cc0db09a8dca7,0a63fec56c33c07848086eb0fb7069133df8f444,bad52744ec515125956737fb5ba49e64b1f10552,,False,False,False
21,refs/heads/master,e29c8c2cf3b2ae12fb083c0a1e168a39761ccfe8,810b0cb70618751ae2c404690bd91776b42e138b,eb58bf69be5e9ff6df18db74796ac63ef662a1b3,,False,False,False
23,refs/heads/master,975928389a7114410640e03ce0fe4ada8d85bb27,effc7d03a584337c2001b042bbc1bcea4ce85b3f,d6da14815ce4e40cdb6b8698a3ab2807151b100e,,False,False,False
24,refs/heads/master,d4a925aab294686f3d156e479a4ae633495eb338,31b2041ae6bdead9b9f84d27cf5b280b58eb7a60,d4a9ea704a91d8ef49d95572884b642412fc5a1c,,False,False,False
26,refs/heads/master,702208deb4e85079343cb589ccfe36a927439ee4,6810dd9f77c4063b853220f6b1de9446a4fd7133,12b11385c97a3e37e2eddfc8468e0617a3d9bd2a,,False,False,False
28,refs/heads/master,d94ad944851b187f215a365e5ac8afc01b6fbce9,cf1c21b3c57a8d96ed730fdd5c33303b068a7dba,47d489689014231290baf00b666b8c28dc76fb86,,False,False,False
