idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_lines,test merge,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
2,refs/heads/master,407742ea19966c62f0eeb9d47dce6afadf9f672b,1355727fd68e75d9e97387b2fb92355fd3cd1a92,80ee8865f90c66b4c90c833d5beab4943da35d3a,,True,True,True,24,84,True,Tests_passed,9a9b8b271a5a4d5bbcc627b7da9e738daf5a76dcbf483340eb27314d37063382,True,Tests_passed,1fd8f3ef0dd0e1591cf79eb252a18bf1e7c1cb904f9760b5e18a8e19d596b78a,True
3,refs/heads/master,04cd5e0a475bd6678c360e58439517ef35d239c4,d060722a76f8df7d69ec694ccf6f3ac424d7efa7,0280be0acdac5339ce59ffe0e1eadc3d611b9bcc,,False,True,True,85,0,False,,,,,,False
4,refs/heads/master,2d05e281c3add2ffeb00d0dd041f2d8f6a9bf8b8,7b2e545c62555b34ceeea703c4c6d8558720917c,1ff6f78f5e13027d88eff992e26380362db6294e,,True,True,True,63,225,False,Tests_failed,35e0284efeeb59cc0859d80035d3f44f8c166f14365525b15bb84816d8b6f6dc,False,Tests_failed,c56693c1d3b032c5ff94cbcd8b36e435d4d6be1f2a83fb435f16d59375f4f53c,False
5,refs/heads/master,3d20bba4703c7e8d5ee46d94296982b8e33bad89,3de16df4e98fd54428d95eb95e44f90fa368afe9,da04c9019f73a806a8a3ec63d8c8c7190ff5bbb8,,False,True,True,23,30,False,,,,,,False
6,refs/heads/master,69568cc153da9c9c299f555f096f610c68b13985,8dbdaf17dae9bdb369d5839454275308f4739aaa,da04c9019f73a806a8a3ec63d8c8c7190ff5bbb8,,True,True,True,88,462,False,Tests_failed,43046984db4e5b60d8fa1932250c45fa35f4665e8ce522edceed5e0902a4aa70,False,Tests_failed,231945b76dcf5215cbd051bc64ff5cfafb8efae214b4e9621fd100c65ef3ee99,False
7,refs/heads/master,b80aaeaf7f4841759736d7fd14b8bbf92a41f823,841b9651ccb10e0226a4b3aa49108b9951f27b57,e96673811e99cdcfa269647f0126d1e0ead5ee0c,,True,True,True,15,3,False,Tests_failed,1c4ba615ee01e53d2aca2ec9b4e7336c51a635510323803440ea00ca86915b93,False,Tests_failed,1d2c923c5244b1b2585a053f3f6bd77b19754db24f9855c8284bc08d8b0aeedf,False
8,refs/heads/master,a6bd9dd592b74e7b73a23f62cf7a36d3b199394b,4019c220ec32a8112e08c81f0e28165795ca30f8,5d2bf6b35f80a8aa80858c9d7b9c98336b49b1ff,,True,True,True,64,3,False,Tests_failed,f1dce371e68a6b80b3a2dad7f00ba76a1b8455d17944acf6ddf2aa9ca583b090,False,Tests_failed,d9368957b1a0801a9613efc27c559049dcc93db8f39e8dd9f416311c4868e909,False
9,refs/heads/master,609985cc76cb9e2a550c99672c3ed966dcb9a3bf,b3295a52a79d5944c4687b460adf69a087224d6d,47d347d88db366dfd15aab56596875cc95cded8f,,False,True,True,51,0,False,,,,,,False
10,refs/heads/master,20e2f029d7a151615513b0880356a19161c297d5,3b3c738e0fadcc7084281488e49448fa7ea11b99,f5b2b744b30ac0b3f2970d2a00badba205cbc21b,,False,True,True,7,0,False,,,,,,False
11,refs/heads/master,416613397d6d35b2ff7514c42c3fd2bf855f2117,97d850c7bf087b3086ae811b158307046422537b,9026f45e7e5dab2e6abc890094d8518e5f65bdf1,,False,True,True,5,0,False,,,,,,False
