idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,5e6a9aae5e86f6887536108168d22ffded6b4bd5,289c7ef28098aa8c6610582fbef34b0565bbd5d5,3ae364f137112e5689608737ee16f953217f85c9,,True,True,True,4,10,21,4,False,6,Tests_failed,8b1c918a2ca8c9f1876942f14cc83a1738793f7eda0dc036534b9c821a9d5bb0,False,Tests_failed,57d120c6230a8842102ef579b18dab5e492d84229ddf94ca17a4f936692a809b,False
2,refs/heads/master,1bf7bb28de82d532ad5a8a23735daab63b5f8451,2012e467f0ed5032a5416b04e36ab142a252b59c,d28d471d6a62cb09e893c1082ba49179b775fb20,,True,True,True,20,29,696,2,False,20,Tests_failed,a9b5247e1e862e239cf5d19a26621ad72590348c0a08ad42d0d6656961e407e6,False,Tests_failed,e15ca844d9fb36339184e028f3dff4c14f6e341063b1f93fa8e4c457fb6f9055,False
3,refs/heads/master,9232a07afd5049a2bdec518ca6d6daab57249ad7,0f142ee6f3c974870e1b3c2aa5986bf02901d52c,89b1abd046bd5158c4b8dd8ac4cee31a246df4ea,,True,True,True,15,59,382,3,False,15,Tests_failed,64432f4da44efd45c662ef69eb6c48bdfb9868579bfb2b412457f8de2c0af77a,False,Tests_failed,45a19efead55cebfd43debe9767204c694bdecddbe643ac20d569e42b774aba5,False
4,refs/heads/master,e2d770968be55afe9871feb7103ac857502148f1,9da91a9ed6e0b0b5ae578ae107be9dd4e8bbdb29,b9ca766fd0f70eb974e4e0d3ae7dcf43c940f3bc,,True,True,True,7,13,51,2,False,7,Tests_failed,088a5c156ae0de12974a3d5734dd43bb5607b97a31a8d67f23310da1b08c5b0b,False,Tests_failed,2209d9ff48225baca3bb0715a1ebfb9e877a43036d594cf0aea587486b59763f,False
5,refs/heads/master,27dc8598a51ca99cefad9c0d3d8552fff28ee83a,4509c02c76efbdbeb1ca00d5f582942e9986d1ac,31792acdedb221580e220278528491f6784db579,,True,True,True,26,39,217,2,False,26,Tests_failed,08e68b3db0dfddccd6f542cee5f1bbc09b9117781eef381532edea6c86b5f10f,False,Tests_failed,ca1a2707da00633334581579f7e38124cdb24a8ea51b8da100fd2b299473487e,False
6,refs/heads/master,d8e4ae1816285db0faf881593786a79a20d39243,2db2bb1802ab0b1600be08646daa75ce4a22fdf2,5ea054beea36b4a2d6e9fb58d0e2f877b9ab1608,,False,True,True,98,107,5599,2,False,98,,,,,,False
7,refs/heads/master,afbc2c73194fb333634381e3c8a1fda0a804d487,914f701f9bcf559928a200ea56fcb5e62fa7a612,1db99e3cbe2b997bf54a8fb13b5692adfdc0df84,,False,True,True,97,101,5664,2,False,97,,,,,,False
8,refs/heads/master,914f701f9bcf559928a200ea56fcb5e62fa7a612,2ab91f3fe8d81cc8672e27ce17ef8b80591915ed,b1d03d5ce82626fbc2e4b5ad13f8e92128b18038,,False,True,True,98,105,5574,2,False,98,,,,,,False
9,refs/heads/master,1eb30b7ce798f44402a473247dc9694e9823b31e,f6e5a8b9105d4f7c9e20b1947d0544c6c680c130,0116ae54455c37d47dc44dcbbcfa6d44248b1233,,False,True,True,96,142,5665,2,False,96,,,,,,False
10,refs/heads/master,fd81317cf5222ec2ddb7871cd06a3fdb7e8fbf8f,3ee160298682ddebb9e1f65578cbece762b8ab7d,4e9748b4696e1ca6c80ce6be7fe2096e9639ba04,,False,True,True,104,309,6904,2,False,104,,,,,,False
