idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,test merge,union_diff_files,left parent test result,left_tree_fingerprint,parents pass,right parent test result,right_tree_fingerprint,sampled for testing
1,refs/heads/master,7ddf4dd4bc0f31f41742a2c1af8f2cd58c9650cd,76815bf30e68715bd1b588ca9a8ea93b5c309579,1771e9c5b9f50f7a3bf7c7a20f5b03a3c2115853,,False,True,True,41,166,101620,2,False,41,,,,,,False
2,refs/heads/master,37ff132514a8a934d310e7691cdf5023e6c9c2b8,17d05cc8525088de5724bdb60bd74a9561742c13,c682c1f5eacb54f1c4ba9991f38bb97ec3c95b1f,,True,True,True,16,57,632,2,False,16,Tests_failed,71069108c133040a5f9094aae2337af0e6992a7db980e668525548db8b5761ac,False,Tests_failed,d810247a9a738c551e0dc683b2745f6a1a95cbc7eeb26e32dc1c1b07549a84d7,False
3,refs/heads/master,a94aec730e6fdf28fdaeb448c2d9f0e4e867c7ba,0e9031c4d6a5ceffda6d61b2e2c804e443e50b11,e5fe8e5e0b60c9de03be2d6119ea6b0deb7978c6,,True,True,True,10,30,291,3,False,10,Tests_failed,7c8ebb5e3e33f96f388ed423b154dc2d4c23ab9a66f90dda1cd3037be69e996a,False,Tests_failed,bdb200fb018a837f1eabb596f31469cc4c0e85a5139c6dc523fbbe01fde997fe,False
4,refs/heads/master,1e933c4bfbe0c9e59d7b8ef43031a71c9dead54b,0e177434bf1ff562775c95348920665cf49df288,fe2bc6e4c9be05c8b41c0b75a95774c9f5931af0,,True,True,True,18,107,952,4,False,18,Tests_failed,712a25bed80d13430f267f745148da8ef58dc36b0b4e9a146670549d7970f69f,False,Tests_passed,15732e026f26c3c44ea701d680013b3a85c48004b1e134efc4016815892661b7,False
5,refs/heads/master,bb59d938be4d5ab1b23a7c5e996bdc2252b67097,383c31f445e5a2f270e5ebff514e5a24263fdeda,a76cc5c9c0dbd80b3e8ec0343c022ebb0e321016,,False,True,True,20,40,438,1,False,20,,,,,,False
6,refs/heads/master,7b5e7c5ef790591a909a7270cfc78683e6eac1da,d2583fc3c0ce563f2dd2e3e7157c23ec7d5f5daa,78f8c6ab5647bd364730f43ddb33f9bfde276fd5,,False,True,True,31,74,621,1,False,31,,,,,,False
7,refs/remotes/origin/1.7.10,4f1f107620a43d9350beb910f8bd27f33105ee02,c81c650f6d4b9a0919549571a7fc39bfa64df986,957dbbfc2909b39d36dced839681d440b280c389,,False,True,True,67,300,106351,2,False,67,,,,,,False
8,refs/remotes/origin/1.7.10,957dbbfc2909b39d36dced839681d440b280c389,ba2ec0330ba452fa99fca5395f503bd6722cfb90,446137ca75c3038deafb4bf6c367c64a8f5375a8,,False,True,True,3,10,216,2,False,3,,,,,,False
9,refs/remotes/origin/2.0.x,37b8fddd27991b667ccbf181474c0b31c9c5daf6,8b2c38469928c69e1fe5a94c8f43d9c55923ec29,7da586e36fcaaee7f5840b2c887e0a76aac87aaa,,False,True,True,15,36,714,2,False,15,,,,,,False
10,refs/remotes/origin/2.0.x,35205e6f4905e4aac016d73c083030f9d02dcb5b,957dbbfc2909b39d36dced839681d440b280c389,c08a2531045cf5710da60b2ac6c28b25100a0f99,,False,True,True,3,10,216,2,False,3,,,,,,False
11,refs/remotes/origin/2.1.x,2103e803333adb3cfbc95b6c7a8aa22a79bd17ec,9a355535e677e4d99d2943970059bce8d7563e0e,6f5c7a94cb9b73910f3c64d4052f2b8644348427,,False,True,True,18,48,1839,2,False,18,,,,,,False
12,refs/remotes/origin/2.1.x,b7a5ad39eaf2f056c0c7898b3e5449ef74a96d7f,85d99aeb85b1ba4900a1d5dcf6db687f83199b45,2d47796c9e42ef20473f109280c38dac5b943c89,,False,True,True,27,76,1164,1,False,29,,,,,,False
13,refs/remotes/origin/2.1.x,522c816006d607bf2b46ce42942e275829977be8,7ed762026724bae3f147c6cc29ac030d162dbdfd,06f358263f825f5de20de975a9620265b4a0e842,,True,True,True,6,11,95,3,False,7,Tests_timedout,7f495c92817e2d3ce9574d23c577010f0d9708a94d474ce4e892d1f534d8f34f,False,Tests_timedout,55a47fe9e8c03a6d5bd259db5e81bba493bd6de18566b2efb398327127f696be,False
14,refs/remotes/origin/2.1.x,1906d67c0416dae6dc03e10fccc2dd97338ea7e3,77e2c4f615e2a6bfc62e75ca1e81ba750805e5ba,da4069c6e0e303955c9d7fe52eb5044efca7b801,,True,True,True,12,46,443,3,False,12,Tests_failed,f481f0c6fe7c255c97e648c52bb6e5d11b266c6298628e574af42f9f05a23d68,False,Tests_timedout,ddab648119e9d97cdf5c5db0481547c3754e7176563604a566cf2ad0ee846f9b,False
15,refs/remotes/origin/2.1.x,a5a41db8fe583ab8d01fda81fd55399387d677dc,27ee6881e801e5d00de960e60709dd168c2ea5f4,c22ca11e9777c8f038b1cc61f1da02ccc423629b,,False,True,True,20,128,2546,2,False,20,,,,,,False
