idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing
13,refs/heads/master,d04a9040e889bea91d34b56eb4e224f6e94b3281,9dd9fe7468ca2498ca70d4f2fb69e26969906189,787ebbc50b6bf5bd0eff149990a191cd0d356738,,False,False,,,,,,False
14,refs/heads/master,24bbee5f1d7d067864f9ac1055cb9b712351d133,a9dcc7973d13802fa7eb8f4282b5094a2b0be875,5d5a1b4bb394262dc34b5d8aacfaa88cce79eef3,,False,False,,,,,,False
17,refs/heads/master,057b12613c528cbd789093ae86203d872e38ca2c,07c4c757bb4a396564ae7ebb2a9b0904bdfb5851,26064e23697a0eb96d77439e65ba0c097dfaf2c8,,True,True,89ed3668a550698989e34a55c0b0b05f88b3bb9523a838720ec005a8c4f7ab44,Tests_passed,cbb390cd83fcb1060af352741ec6d6ede6faae13f1dca8e90a7f74845067927a,Tests_passed,True,True
18,refs/heads/master,07c4c757bb4a396564ae7ebb2a9b0904bdfb5851,37d1717f4aaa5b3c92f508bce69105efdc9e16d0,c5fa746372d74a2ee23525f3fc5314af9f9b7575,,True,True,26be160759408795368d5be85db9ce205999f6b67562732d6216db9b58ccf7dc,Tests_passed,453fee771720640f4d0b601e45e3335190a355f7fe6628939c6b2382a91cfd0f,Tests_passed,True,True
21,refs/heads/master,b2f280f07999bee8f60de191a1e12dc2870d87fe,80e2fc46d40b8c840819afcfce9b83b540e439d7,f24f79d3c15ed2f6a83ed02994d3a22eeb3ffbf6,,False,True,c04b3932497f980ef0daa527858671865a101743c0cf9e44968f2289f700c17d,Tests_passed,cfa501354294d96a447557dd81acefdfae68ffb5f7b55f9a4a8ca369d7efb908,Tests_failed,False,False
25,refs/heads/master,cdc2f2f85de1d65df31044546412b81eca57a1e4,bb354892a22c1704d6688528071931a2d0d830f7,8d197298fab8d8596cb670bf0a9a16c4970562e3,,False,True,346ddd32b9dd38c97551fbccc9556c4beda97089816906660217591a90f904ce,Tests_passed,a0b716a7a73a780405ac40316d1d0df6eb89235f09cee779010b9dce353a52be,Tests_timedout,False,False
26,refs/heads/master,bd492d15f3c5889a82a65636f9a9e346fa9b8952,17694b7a880a8edcfb013802dc2df6d1b8779ee2,3c9e26f092271cd77bc7e275234ddfae1d5dbed5,,False,False,,,,,,False
28,refs/heads/master,054eb3bb210ddc0ac44797d907ed25aa82b6fd37,eaa7eedcefafb2c20450aab612384afbf549b8af,fb9bd9188455b2b6b46b1757f2ec659b725ac224,,False,False,,,,,,False
29,refs/heads/master,eaa7eedcefafb2c20450aab612384afbf549b8af,3ea5f1c11d7de267fc49f992e664810ad6c2834f,b35c6995ec76660f9b446872f0da3fec89d6e548,,False,False,,,,,,False
30,refs/heads/master,3ea5f1c11d7de267fc49f992e664810ad6c2834f,281e7ce2ec475dd860ff61a8f9dcf8a4b3f8fde3,332973587e18dba9688645d0bdfc8397bb1ac648,,False,False,,,,,,False
33,refs/heads/master,9562ad0a6c4132bc3881d0483b71d1f25eb6ad1a,5590cffe5f32d87f00fce435b7f04bc924a7f2d4,d0e8c85118ab0fc475bef3b9da3ef14bfe7aee24,,False,True,af8939f8dfe6350e1297369b1ec55a20618912c31bd7ea1d0b1823ae7e18beae,Tests_passed,1ebfa710f611c27371ba134f565c1e28dc7637dc72696a0fb4daf52e96ac0b05,Tests_failed,False,False
35,refs/heads/master,60c3e1f8bbb3be0292e64e8c059f805299c1c17e,bf964aab86313d499313c5c4b4a0a40b27497d72,81981bd0fc59c0dd3c3b04aca5e25d41a4413646,,True,True,2c81235c351826e26060ddf4617b653c168e982711a489af661a53552b88067c,Tests_passed,a26c279473d68206643098970086189f2a093a7fc1351317d2b8963b52ab2c4c,Tests_passed,True,True
40,refs/heads/master,5d7fc14a0d5300d2d5acc99dce59c0fb4122d09d,7656b6f945ac7997e7b2e97714c54fcf6b7c75dc,efa8927dc5e199ef179a84264a58bf501003eb51,,False,False,,,,,,False
41,refs/heads/master,5b0a1d3a9998a605585a072cfc5255cd23f2925f,a319644299f83743eb8223174c09c1770064123c,fed3ac8524b6b0b42f38cfd272c56f2a9c13782a,,False,False,,,,,,False
44,refs/heads/master,f0143b99a9af76a603f89c6a041b0a65b08dd3f1,b6702d31dd2e73abb6d40d13ed8b5fe3fe3dd991,6913d04ef0034557e0381810e5cb2fcff5124e63,,False,False,,,,,,False
46,refs/heads/master,4b637ff9e6d4dc394ddc0cee3a7d9d4a7f035611,af3e35698fcbbdbae61a779e72a705a63b5a783b,42082d5c76ab64d41e64994a33790b52a2cc4186,,False,False,,,,,,False
48,refs/heads/master,81a4c561440e8911629c534cc623dc58f07b3842,09fe1ef19a124a047554f6f055d774d9a8be55c3,23faa5ee5b5e89cf5dff12fdc5e3c8e5cdaf77a1,,False,True,f902001b2c2e465070c4c219749d3aecc98cbadcfcb922c3ef7cadc47aa2837a,Tests_failed,fff33e0de12c51999f15fdfc21e1bd6d304c63e87959dbd24d2800b57b6d7414,Tests_failed,False,False
49,refs/heads/master,09fe1ef19a124a047554f6f055d774d9a8be55c3,9ba71ff36d0e47106359973619c0e0f64b866f8d,c0dbf6492e629544b835d726682d15e3625584f5,,False,False,,,,,,False
50,refs/heads/master,2fab1a759a8494fb1e224a708190c07cefbabaa5,f5418dd82b5c2a820bf448c465784dee15a2be57,10e5938dcc23052a460a4a373c44a666868a6a92,,False,False,,,,,,False
73,refs/heads/master,bd9bff335e95d84e605641d09b56beac78d29ffe,f586fee4cb00f42cd6b96f9bb340eebd4c695a72,d45bfb30f6d329f7aa804f695547c1ab483cfcdb,,False,False,,,,,,False
74,refs/heads/master,417b129a6307b7801295928aab83b9851ace869a,5f9235fb01e1e5eed5a12d5539ac150b0ad475ed,db85c017af6eb1fd501f6622ccbe899218567022,,False,False,,,,,,False
75,refs/heads/master,b20f98c97f5924907f8cf5f7142d49f7414fd64c,ab4f612fca4af19d2c7e36949e281e72e9657de5,4a511178394471f9abbd821e1f732957b965e239,,False,False,,,,,,False
78,refs/heads/master,e73fc240b64683d3d7c789de919914008405be3c,86b0e6bb725a8d4aee7a543b88b058fb51a1a152,27a944b31dbb48bde22c72063ba4c4fffc7f3df8,,False,False,,,,,,False
88,refs/heads/master,3d7ed52e87aa6b11316342986fc901dabaf7d55a,877bf58fa27f4aaca09e5caf92a56c5c30d670d9,3e9c3deb4345fc40d7f1437aeee0bd223f03e435,,False,False,,,,,,False
92,refs/heads/master,1bdd832068a86f7631b83c533788b4aaa9f54730,cbdf307c2c372a1f25fe8a6a10194525734eb8ee,c49225aa312753ccfbb6a080c315e4c49eddcd57,,False,True,0be5a90faf2c34bfc64dfaa3de34b389364cfdace1b846f37dc3851658a6c8d1,Tests_failed,8c787cdb9e8cef04481f2e40b1c0b607ec85dc2bad15aeb33881f398b3624042,Tests_failed,False,False
101,refs/heads/master,fdef2b2996fd454474c882592301589f4d07e195,04cce6de18e9d6cbc4f6c0ad26cdb32d0c44de74,a5c8a8fe43dd738b71421e54323d3628aa1e81e3,,False,False,,,,,,False
102,refs/heads/master,04cce6de18e9d6cbc4f6c0ad26cdb32d0c44de74,361173154631d3f8729195681ba16f813d761790,46415b334c090e41d4bd55924f6274f9cd4a61c8,,False,True,cbbb1ab8549119c842fcc78610bfefa444d2e0631ac92dad82049b9dd73480fd,Tests_failed,e24ced98e35a04c934b4039fe093b76d0d29b2881afcadd7aa0ed0cda666b21a,Tests_failed,False,False
103,refs/heads/master,594c81aae8e796d472588bb3b9fa347cd15aa08b,df26b006b98307ccaca919835f5064abef5f4875,d6f00d0cf271fe27eb309ac0d31e48ea595e6e37,,False,True,f9e52163d6c48de133fe11c73ffdc44ab75f7fc0e30dee02b1d7c6b4bde50a94,Tests_failed,aa553d9b305af7597c388c5899f3814d5c70d0d307f304ebd294f826936056eb,Tests_failed,False,False
104,refs/heads/master,74dcf55b2b5cf88f780759e6b772423c7790c68f,91534bda7e42b08c118dae1b4a62c88e7fb44493,4e159050a0f7649addda6a35497d04def369e64c,,False,False,,,,,,False
105,refs/heads/master,bfe836a473823175be363629a60bfaa819ca20cf,070f43a7f1b5aebeae8b2369e205229f58419399,bda2cd4d05c0f30d95bb47378fb2858bede85785,,False,False,,,,,,False
106,refs/heads/master,218a4f37c40142fc33c5ef1511a7e4c058667aea,01189c5e975b370dd627fc7c2d2d6ab35150fbd1,7dab8bef06a78bd6a3827e3bb897e1d70f92cfbe,,False,False,,,,,,False
112,refs/heads/master,f987684cec193c090a1ddfc317d42919a68539fb,cbd68931f143d55b999baf843aabcd296831d5fe,c4b156445a13b297af6a17738caacf0f031a7ca4,,False,False,,,,,,False
116,refs/heads/master,fe51f80386bd3ae7dc501a36240fb05789f5e271,3899a37258326e52a92cd4d12ce82bc88cbbbe06,92f75be4f8ffcbc7ad89cea33b26fce430226e33,,False,False,,,,,,False
119,refs/heads/master,40ff553601c948de4ee1607b8582af6a9bb6c762,f6b8b8b102fb419e7defbc32bc2e52b88dd95b7d,af52c479c3b46657165db16dc668b74264723f45,,False,False,,,,,,False
122,refs/heads/master,0b6f4e38f830af6be1d1a38491252a7e3d1bf31c,ce7d858dc39a5f9f6029de1c93784ec48e8c7670,a9db44ef4637c9638252cd32710027cff113511b,,False,False,,,,,,False
123,refs/heads/master,ce7d858dc39a5f9f6029de1c93784ec48e8c7670,2463708f2d87170540b87174fbbcdeac8a848c93,55048fc99f5e0b2879fe2659dbdd340aaaafc091,,False,False,,,,,,False
126,refs/heads/master,82c5a0ff2d412687430f87efc4916bd4b6362c39,99c530ed9a301de58d963e51c437d0ba4db4e456,4c3dd4621a70494c1e6787f12200cebad17bbb0f,,False,False,,,,,,False
127,refs/heads/master,99c530ed9a301de58d963e51c437d0ba4db4e456,43e100a7f714075b33d9ab1a88e870682bf6aa0a,34e595616e75f637c5450c49d98710cc0339ab45,,False,False,,,,,,False
128,refs/heads/master,af7e1a99e755ec1ee6557e1e04a42dda09aadb41,43e100a7f714075b33d9ab1a88e870682bf6aa0a,79f83975d560a4b10cb6990dbe9c0b60633de749,two initial commits,False,False,,,,,,False
129,refs/heads/master,43e100a7f714075b33d9ab1a88e870682bf6aa0a,e591d3212724b035ee6b3929eeb520623d680c15,498c46f31b7cc8b44ccbc75839cdbc6da361bfd3,,False,False,,,,,,False
130,refs/heads/master,e591d3212724b035ee6b3929eeb520623d680c15,a0627334fc4a423a392930e91ba778ed82d8e66c,974321531373bbfc659fa32b52141050d8551db5,,False,False,,,,,,False
131,refs/heads/master,a0627334fc4a423a392930e91ba778ed82d8e66c,de70d77240bf18e4ad7fbb43a740ef6ccf491ce2,7b46fd90c8181e0ddcf9d70b472a14c4a601410a,,False,False,,,,,,False
132,refs/heads/master,de70d77240bf18e4ad7fbb43a740ef6ccf491ce2,5e3a92cb51c90a0ac81c45987b8567c8939a5634,07d963aec418fdcca4aa443fa752dd02c2b81797,,False,False,,,,,,False
133,refs/heads/master,5e3a92cb51c90a0ac81c45987b8567c8939a5634,11672044ed41a17c4c370adcc14cc79028fa3262,4939827172cf0b949e6e0644fe813ab16454beb7,,False,False,,,,,,False
134,refs/heads/master,11672044ed41a17c4c370adcc14cc79028fa3262,32aeb57b534e7af7cebad18ffe3000e401f811bd,9802748bb727f292abb3b9e8989511ce58e868a7,,False,False,,,,,,False
135,refs/heads/master,32aeb57b534e7af7cebad18ffe3000e401f811bd,1230a4e79719c2e1ae57f79785be1746d8ea2f29,11ab98d25cdfe2e0a216053bb0ea190bca212184,,False,False,,,,,,False
136,refs/heads/master,1230a4e79719c2e1ae57f79785be1746d8ea2f29,eb95e63ea7eef027d4e702f5e9482c305537d518,94fe2930307cfb0d28ef84cc392ca0eee13959c1,,False,False,,,,,,False
137,refs/heads/master,eb95e63ea7eef027d4e702f5e9482c305537d518,9c137cc3e344e51bbd073ab2416e15c875a38d88,56b6a2732a0e243a41783b5f493f84597a4a4abe,,False,False,,,,,,False
138,refs/heads/master,9c137cc3e344e51bbd073ab2416e15c875a38d88,79a0786204378c11129aa5e5a7e18f18cce14134,a32463185a60aefe61fc84af05de30a23adf1cca,,False,False,,,,,,False
139,refs/heads/master,79a0786204378c11129aa5e5a7e18f18cce14134,dcd25844f035947457327e343e03eac784669213,cf7003059927488100b169b63baabc58c4b93c54,,False,True,aa60a27455c7a9d576f7c1517d9c67f7ee1063d3149d61b778be1de79218aa2d,Tests_failed,d806e64525bad812b91e76e5a0865b433ffb04c0b5d4e24ce830b5953ee4abaf,Tests_failed,False,False
140,refs/heads/master,94fe2930307cfb0d28ef84cc392ca0eee13959c1,5a30194ae3b64fb2abd8f8775a89e0cca6e1d01b,dcd25844f035947457327e343e03eac784669213,,False,True,5db3d9a93f99e102a69575dbc89f66e29e94535139181faafeb7d7273930c1d1,Tests_failed,aa60a27455c7a9d576f7c1517d9c67f7ee1063d3149d61b778be1de79218aa2d,Tests_failed,False,False
141,refs/heads/master,dcd25844f035947457327e343e03eac784669213,eff809c8655e4ecf87aeb7e5c29e6b1505d88672,4c089ec2ea92ccfa208ebdc12812d24638e4da1c,,False,True,67d0ec2ed9e9c5b4bdc9d6a7bf305f7a0461f61bf0572e659b21984db3e146e8,Tests_failed,b50fe1c075577f73139b3daa355b7232d1cc598da785dd50f4375fa13666550a,Tests_failed,False,False
