idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
4,refs/heads/master,3c9fcd5ee613abe05bf1c67879b4d32256569cac,9ce4499190f2cfdb3e87752e3be47ac74d8a1908,d88eb2a6c48cc55631ec4caeee2346a421efaacb,,True,True,Tests_failed,945cdbd58fb35b7e1b7b77d9e7516fafcfad8deba659839673a48d72b67531c4,True,7,31,179,2,False,Tests_failed,5e51b33cdb6ebb00755cd23023450cfcb821247fdf01a8e7822814037a5a2e39,False,7,False
5,refs/heads/master,d88eb2a6c48cc55631ec4caeee2346a421efaacb,2e03a46cf7f0ca10c8421cd46d75527b4e4f2cc7,b1b9b2e2cb74ebb5e5d634d1023eee8d9b6f6e65,,False,True,,,True,6,27,129,1,,,,False,6,False
6,refs/heads/master,2e03a46cf7f0ca10c8421cd46d75527b4e4f2cc7,58036def41aa29e2b4a2c340a818c0380890a57b,28ce9ed04deb06d25fe5f42479b42225897e0ba6,,False,True,,,True,5,22,120,1,,,,False,5,False
8,refs/heads/master,7daaa7538d25fbd87df7df65a5be2a243283dfdd,c115fa14660a6f2c424382cf2f9527753df1bd01,ebb2bf73fa8c2303979908a8d93346c50cc50e77,,False,True,,,True,3,5,11,0,,,,False,3,False
14,refs/heads/master,ddba4c792c3c7709b0a8b0a600a76f329ab381cd,943d4b3dc8f494c8091b8caef1aa0eecc2607671,cfde3814eb4bb1d9a502ea681f9f1cf2106954da,,True,True,Tests_timedout,1419c2d34a18d5aa021811b3aaccf8cb55c5f276ddee21324fcafcfa7545d444,True,72,244,1822,2,False,Tests_failed,1aa6f5d7fb7c010290aadd45077ba4470e8dae2fab0b07246fbce032d0638b54,False,73,False
15,refs/heads/master,18b42d87e39be1a3bd4f51f5828aa7db54dd6e11,479933ad3440a0f11221777fad5549a261559dae,15403eb9a744fcb66bbf78ae52224bcf7ef453d0,,True,True,Tests_timedout,aaddf93884f5a344b30a585ba37ea6441fdfd40fb8cabee7943369f77309df0b,True,45,123,610,2,False,Tests_timedout,fa8802af91c8ecc25bd98a1289d85defa0824352498e9ddd50ba74d0e05cb692,False,45,False
16,refs/heads/master,59569f562423d23ee58f113082e07563c78560a5,b2edfbdd55abb86812e93cf4ffae7bac35598219,80af9943f2505dc2954fe86f484fc5aef9b8111d,,False,True,,,True,8,15,76,1,,,,False,8,False
17,refs/heads/master,1308478e5ba13ebb1a600cb9788de17f1a1bd1de,81a40caa460b3363988c00d208fc3fdb13368c43,8f127a686cbde23ad6c445acfd58837d3b654972,,False,True,,,True,20,74,113,1,,,,False,20,False
18,refs/heads/master,0ec099ceff964dd4ce41adb326d8f97717a87cf0,ec8915e469722a082e9a103d62c75bdfcab62a53,a8eb797340644213599236eda255c5444523fc43,,True,True,Tests_timedout,b3f354f2672fc5b47526a74e06c4e171b836e1dbbbacb48bb4831de88b3ff8a3,True,21,52,334,3,False,Tests_timedout,51e4916d41550592e3580f316c4940f4cd55f7bd9240643b169c71d83b7328c7,False,21,False
19,refs/heads/master,5fee04fda0af56dd010876a0144423f503ae1679,514550239c807b0c4829c8f5976b6c720088f480,f27d8dd5fb1615d6d96a9ed2de8731908b4eaa3e,,False,True,,,True,13,21,188,1,,,,False,13,False
