idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/master,d3abedf428fd246858684660f37a9e37c3422e87,23c143fdc046a69120c68a7fcec7191890e53f52,aa1912ef00441244e0b19b213e3593d66ee24ead,
2,refs/heads/master,23c143fdc046a69120c68a7fcec7191890e53f52,e7f7bbb21a6e4413bf5a382a52f5ae6aeeb18633,9b1edfb2ff9cfda28c2ff121d4fbae5e8da2665d,
3,refs/heads/master,895886cc6d8385e57a731f6e7929a4efde157993,f15d3cf7805403226f67f52475ebbae4dbd9098f,2f660ea5c500744d2ac2976526af240772bb719e,
5,refs/heads/master,c6bd8e8bbd7505ad50dad879c2a758c44ecdd5f3,fd4ae69e9f6ab21157d3b530523e9a4fb020c533,d0004c0b1dcb206dae5462a3c2cf88f7f8f0c9af,
7,refs/heads/master,3f0ecbe656c8dad71a96a16d2bd36f6399cfa549,d23766412f2a0b89b3979d47a45d6719567d62de,e9b28e334f8688be4cbca4bdc6dccff8f0b859c4,
8,refs/heads/master,6a49397de6f6f347e0e53e6d43de1fa42f05387c,3637f6a1a02fb331a9964c6cc6e92c44633b0594,d4de6d08ff73f8e3fbe422c7ba8acb2145df3085,
10,refs/heads/master,ebe5c56cdcfb60009b982fd7fa9c71884ef8b8aa,a859570c01c0ba3bf0ae61498b1f99c001571eb2,864ca42a3fbd953418abbf194c7b63a4f27f7d3d,
11,refs/heads/master,864ca42a3fbd953418abbf194c7b63a4f27f7d3d,ea3ee9c4574ea0447acd1b3b136f46f178f7922d,29a6036398546164c0f7e8089cc5d06d8135df58,
13,refs/heads/master,6cee51877e78db5a3a14059b26e6925568d54163,a0044c69c2c9948ab1390db067d2f9b1bd0ffa7b,3f7c8757d75eb5c506cd1f2f766abb556b8dadad,
14,refs/heads/master,3f7c8757d75eb5c506cd1f2f766abb556b8dadad,840a638e93edb3c53c8358a9d245b916a688f09c,b59d9271698e3373b17b868476e807b46227a01d,
16,refs/heads/master,88c64da93d45e20209e250f5f5e229d58021fbb9,5f4bfe05da335e4dfb8cddf7d2805dfab495e337,6df2e1ff154f67569fc0a72d145018ea66e27644,
17,refs/heads/master,5cd53e150af9c13fa595139030ca2f3ec06d54ef,65ce3cd53b77a06c772782a961177dfb96201966,ea557acb3b0d5d898c11de87b160895b6d8a6521,
18,refs/heads/master,ef8c0daa8d156d8bbf489ae250636a7e6ae653de,c8be7a4247693b23479ba9c9640706e84df56d1a,8271039beedc9ece1572d576387c91156f4c75c4,
19,refs/heads/master,56e91f4430f0be51e4e8c92fe82e1b651229bf7c,5eed2a7759af9b6d72b6a7f79ca057e3144460e1,bdc911aa11a3b6067d5d0dc7a496a3513d1bb4b8,
20,refs/heads/master,54917de78bf9bd54fd2fa5ba543d992cfc219f72,a9a19c425943b714b6bbfffee80d7503408fc0cb,6f4dfab2e13e0ed3f0885ae67f57b63fedd3ec20,
21,refs/heads/master,2703ad8519b85a9a444cdf97b2bedf9dd302f3db,1ba3418985362e7eece54eb92316dd726017e2af,6af84e0cf826de68ccecd90aa5038f2d5177fa7f,
