idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
3,refs/heads/master,820b462f4957ee1e547f21de712c394c5eb159b9,ca876f1fb99b224369fb27056d462e22cec8700d,50ac6c8494ad496fc1c1b4632a32baaa692007e4,,True,True,61d86800cd87baf765d7df257a0b35eafcd858cc659cd85d2b7b35dbb19be2e9,Tests_passed,ead63826e7e026b606bf36a5eb5734dc188954f5129f5b5cf4369a0c399bc269,Tests_passed,True,True,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef,Tests_failed,d837e20cd0da05ada2782e797a8b7d82c9fb38a281c9175c491b00576a85aa35,Tests_failed,e584ed7b45c98adaf7bc15ed93a4ec9c042eb55ee26919d7b7643b654540c8ef
8,refs/heads/master,74587d98f5f9018129e9bd322bc58a30916d2d8c,9e94d9521f93879c554ccc8442c3ea82e8edffd1,a19ab7cb1d6153639b51c8b3f4c5dfffd338238b,,True,True,0c7b6c1e8ae8fdbc12b699152bc83cd578997d53b8475675acec31bb22357418,Tests_passed,68742d3a961864bcae38e498f452a0f0cb2943eb40f1959803a2006cf36b6632,Tests_passed,True,True,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1d9a7f3c26795e5a23179df89db9efe9d4434050d79dcff9407c6a2e6e0744e1,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1d9a7f3c26795e5a23179df89db9efe9d4434050d79dcff9407c6a2e6e0744e1,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_passed,1ed5f41dd96b2d75b3c87334fd86ba0a625eb8125d01c297bbdf3014bdeb0d8a,Tests_passed,1ed5f41dd96b2d75b3c87334fd86ba0a625eb8125d01c297bbdf3014bdeb0d8a,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76,Tests_failed,3e1df2e63be471086412d9a2773772912c8cbf6abbf4ca4ccd712ceb77ce4bb5,Tests_passed,1cab64d618aaf3390cac436026a25557d6e3b65b8cfd6290398afdebbf73ed76
14,refs/heads/master,e839533bb43b3c12f41a9123c07792d024fd4143,ebdf0d3e3a604133e1a54e79aecd7299e6b7c55e,b09dde0b3991f458dec1e90e74e6fce0639cb849,,True,True,14640901f09e2c3795a35995c1ae9d29ed4fbd539d97370fde97bc62c2803e87,Tests_passed,c1de20657882f11bf793b072424ff430c1c050fafe9682272419247dfaeef7a5,Tests_passed,True,True,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,1dd851e03b1ca265c69d3b12872f943ea7b947e59cb30f3a9d4a5c4e2f2fd0ad,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,1dd851e03b1ca265c69d3b12872f943ea7b947e59cb30f3a9d4a5c4e2f2fd0ad,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc,Tests_passed,e8f9f559b95e055a3f20dd39b92fe699b247039b467200b27e099e16c5f009bf,Tests_passed,ef8a5cd832306465c7c39dc0ede7dda8d817d16adba932d907149354f9d2eccc
23,refs/heads/master,59699da0309e69121be8b1ba66ccf976579988b7,92fa7cd62ecc5a08cc1cba1639b79e7b34855445,febf6ed5cfc24392627cb27f6c0962ab79089d4d,,True,True,123c4097f41275404f66dadb4a6885f538eeae8b6c4f953ee857fc432c88bdca,Tests_passed,3da987c26b402f549529fa5214e09522a46912db7902023241739d057f0073fd,Tests_passed,True,True,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Merge_failed,3921daf8cdfd542c419549b8dc98a3183d404a40721ade43b669f949a0d2a38c,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360,Tests_passed,d764b02ba5f123734bf4e7ae7b32e3bbe23d3468c24b8873206dd0dabd6f81e5,Tests_passed,43123b270c308918bfebe59509306ffe70ad257bf32118377437827de52ef360
28,refs/heads/master,3c205f907e129fba303a283ff4f8ac9c094e768a,187c229b6022923a028e6fe5a29a430e06003ff7,7b26cc6ee7515b4f2657fe9756862882ead7f26d,,True,True,be0326eeab0ec04ced1e4077ddab6020eda76d1bfb63fa9440628afbb8e08a93,Tests_passed,5798cf9f2980f10af9d514f7e69fff10454d25307df60b55573404e284ca7767,Tests_passed,True,True,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf,Tests_passed,7a2e99dad7219126d2b103a8db814739b028b98c1680638ddabb7039da9839c1,Tests_passed,77168bebebd470e04f7b6eee3eece35818d7061b6ac8a161f3d94cce3e6d79bf
33,refs/heads/master,010642c506d593c83cfb136cd9f5ddb815bf8ba7,8925274c0b5bd6936c3f6c1d3ab55608ced2cf13,0d6f4821f2b0445a20f5944be9bc40917b897edb,,True,True,378c035e9da6d7c4e15626c12c9bc1a67cf88f304aab22922197ef61b68acebc,Tests_passed,0b56ca5ca568937605c26eceb72ec6e5723ed3f54bf2390b0c22ade5b1dd1d96,Tests_passed,True,True,Merge_failed,c8d89f2aa7a03b79590b7b6a9d14db3d9335d8d7592b347814c0a89483fdbe97,Merge_failed,bd80db4c4c0612518e22cfd86b96a718cb5e2326182ab80c38795b3504d30361,Merge_failed,c8d89f2aa7a03b79590b7b6a9d14db3d9335d8d7592b347814c0a89483fdbe97,Merge_failed,0c00149a180958380a459bb5c138b16721024ae9a51018d0e7e53183399ba939,Merge_failed,6ecdbac5ea60819a5bb319dc7ba36fa2473e826bdc172a26d6413dbdb590089e,Merge_failed,6ecdbac5ea60819a5bb319dc7ba36fa2473e826bdc172a26d6413dbdb590089e,Merge_failed,f5544ff5cb0fa503e7c3938f94d703bc3bbdcd85ecf06df4950b5ef98596a7fa,Merge_failed,b10b0458673f4de9999e5254a67c18f1efbd78aa6be24eb3ae64e9d2514c25cf,Merge_failed,c8d89f2aa7a03b79590b7b6a9d14db3d9335d8d7592b347814c0a89483fdbe97,Merge_failed,62750d954fc728d675588cc2bb864fb7aefc20674a0c88952ac987e8e54afad3,Merge_failed,62750d954fc728d675588cc2bb864fb7aefc20674a0c88952ac987e8e54afad3,Merge_failed,7be515b52e5103bb4b2774e8b2392fee7808adf89bb4f657c424470822de7321,Merge_failed,a6b6ef4103346c7b9982f907180795bf7e2d3cea175d8a5a308f70701402a456,Merge_failed,13f88bb243b7680f7ea937175917e0fb36e011881a229d3dfb64993eb6ac684a
37,refs/heads/master,1a59a5804b16c714f5c9354ddd5b2c4a93987c1e,be3b10a2454f791840ecc8aba261759a5504e335,6235f3a4434545d6db1026f2b40698b5296f1944,,True,True,16f2e72d38d6e2dbaa19a376dc7d1f4f4d0dfb5444029b28a1ce00595ce54847,Tests_passed,f31e73d68ce121cdeec6e855dff3d3d8c27d515063f543b7fe779a9637beeb6b,Tests_passed,True,True,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,75d5d55cd4c04cb71144ee38e32ec5e84ee540d1facaebd944e8232a6ecb3060,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,75d5d55cd4c04cb71144ee38e32ec5e84ee540d1facaebd944e8232a6ecb3060,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,bc64946c2a40d5e5affb1797b25206b30de9555d7ab5c05d96796787a16a2136,Merge_failed,52a0009532c739717a6b03f6118f739ff2dc75c915f47421dfb66eb4c2ebceaf,Merge_failed,4d9927d09bbe454d2a1107ea9e1fa9a84d3c2ad6650cf24416aa97c1848de9ed,Merge_failed,4d9927d09bbe454d2a1107ea9e1fa9a84d3c2ad6650cf24416aa97c1848de9ed,Merge_failed,7524e6c90630e59938341770139aac136d2bb4a8da84379e58f5f7811d1a643d,Tests_passed,57c7f0cd66eb4a7610a25b5fee66a0cf6bd9342c548e93cd3fc5d1c47fc1194d,Merge_failed,b5d4e95b3862eb0d41eb388f4f1a5685b28335dd56d5abfce2853c581f505f1a
38,refs/heads/master,c0adc020b22ed728aaed1659fc8485e4c214141f,9ff30e729dffe392dca1dba70356580266e2aef6,6614aea6bae1cacfaa71712f8335c253cef7dd0c,,True,True,73a72b78607c9341e7d58be7bb352fd7c3800b44cb39acf98d5db03cf2df734d,Tests_passed,58ad03a2f305dc90a3864ef87fed27d13355ec67a94c7e30fdb2a4464d6c14aa,Tests_passed,True,True,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a,Tests_passed,969ae1891bb4200cf21ff7e44b578a66b5b051b50250c8f2c78635979d8abad3,Tests_passed,73cdfce0d051ee6c6fa350b890046f6a605085408d0a89d5154e05fb6599243a
39,refs/heads/master,762c924cf6a187f513bafe97d4702d4377bab655,81fcbeafcf281ce07fa90b0ac58876c59e569ff1,639362caa32daa89f24622194b78f6a3020982d2,,True,True,bee4d73f45085780c1cbdbc4d4146af6e1a2e5ea57124d999f3f440324dcc731,Tests_passed,fd37fd4fa94a4fc156197ae838c8fa7d926a9628fed6f62546d300d660e8e195,Tests_passed,True,True,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Tests_passed,6f9c097625429a6ef4b74716fef48ededc01d9bfe6da1c03c5900cdae4ede3d2,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Tests_passed,6f9c097625429a6ef4b74716fef48ededc01d9bfe6da1c03c5900cdae4ede3d2,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Merge_failed,b752138abaf4163bb81614b7b03299ffb4b9eb13f735c3b029d2cb25722ca646,Merge_failed,a9e3e5c0090df83a009243e222e48a37ea478533416153cc2a3a330ccbbe4118,Tests_passed,99c60f6c29114833cc8dacb0d58d50eef1ec10bb1d67efc8fa4fcddf10e79d98,Tests_passed,99c60f6c29114833cc8dacb0d58d50eef1ec10bb1d67efc8fa4fcddf10e79d98,Tests_passed,f5d2c004b1f38eb4cb21bc92a573c1cc16b9354cae00ea25a92af3ccd08eb47e,Tests_passed,7f548bbe0f40a9c51b7a6266efcee88c3e362b5fe9044fda9618218153ef893e,Merge_failed,806adc20c4779dc4765230d46bce64982d38fd44a6a1372c49b5b1ae7bdce65a
40,refs/heads/master,483ee9de15cf8bbcc18e2560496724b06be76cf2,0ce0a88be2766261c6d30665b9b9a2576b546c08,3584e1d71d260a44f9aa685503bdde2d62ad322f,,True,True,40e26605249c22baf44606775b5cab512d21cd2e2d5dcc38090482c62f4d6f64,Tests_passed,5f04cdc200f8d8b71ca7db68494fd6760d45d046fba443849104cf69a68677ac,Tests_passed,True,True,Merge_failed,5a11c16a2bcac10ff2bc1bc97051c4f7d1fb58034454b4b2350d11d151db3bed,Merge_failed,629e6e989cde024a1e01a6f2ebd04330cd403ef3769e862532972a361834f010,Merge_failed,5a11c16a2bcac10ff2bc1bc97051c4f7d1fb58034454b4b2350d11d151db3bed,Merge_failed,3bdbbdf211beae95b9eb8aae1770ff89cc83cfa6aad24e8f28b93c9dafb2d86f,Merge_failed,300492264e4caf03183741be113efaab99f22fe9bb4cd40ca3770d8945439daf,Merge_failed,300492264e4caf03183741be113efaab99f22fe9bb4cd40ca3770d8945439daf,Merge_failed,5a11c16a2bcac10ff2bc1bc97051c4f7d1fb58034454b4b2350d11d151db3bed,Merge_failed,f0d82b25c7369e1ecf860520a3ea5395d3e37cac10d1c5cc36e911db27685f84,Merge_failed,5a11c16a2bcac10ff2bc1bc97051c4f7d1fb58034454b4b2350d11d151db3bed,Merge_failed,cfcd7f0ac85de2d5ac5c612df442ab909cdf56d2d2fc9f33ce0e0afdc33c0223,Merge_failed,cfcd7f0ac85de2d5ac5c612df442ab909cdf56d2d2fc9f33ce0e0afdc33c0223,Merge_failed,9acbf21858a22f43d416d30a3e7a73cfbaa92d9e17a8bb7793bd093418b748c8,Merge_failed,88ea6ac834183152fb6c47d0afcfb9cdcf22ce31b60c2dee5fe499a4f3e787ed,Merge_failed,0ec71aec798ca78d86fc017abb7d859350a2492ce902eef0a1f25535fb2b605f
