idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
11,refs/heads/master,f75864c454f5acdc33ba375f7f2c049ec765bd37,666474daa259e84068a610e1c0654464e03dae4c,9dcf35d34f8aef3053a12499f62eb70faa77dfd5,,9ea0be03ae519ccbd1bf3b38ef34f3688ec6aeff4ccea7b9515cc95fc916f053,Tests_passed,c27aad28c36cf90f1f61d7177347c3a4d8ed514607a89939fa4ce62003f2ccdb,Tests_passed,True,True,True,True,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,5ab0b3f706eec70a8b0b9546ebb5df85451b488946c9bd8bdb3c73bbe3c5289f,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,5ab0b3f706eec70a8b0b9546ebb5df85451b488946c9bd8bdb3c73bbe3c5289f,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,226576b8f3703a5d169a9a0be64f739badd478c64e29581075065b12a746e6a0,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,b24ae00b0405771ca3b7689a378e78a1097ba6f7e77f39d06547a49bd463cd80,Merge_failed,5ab0b3f706eec70a8b0b9546ebb5df85451b488946c9bd8bdb3c73bbe3c5289f,Merge_failed,f9ca58955d117cbc8e7944cd349f8f0cb6c172e36ede8e85db27e985e581db91,Merge_failed,a7bf894cee046d9dbd509ed26b1439ecc99f4494460775e65a3e68be010a658d,Merge_failed,bfa786cc651b8b241d574ceda3618126dc8c1f15b1fa917464d8dc4033596afc
19,refs/heads/master,fa3362aa6435c3879b060d7db032c553f914b869,05ca041d775372ed4798fcc759c438adf02ad08d,e584877aba94468467c3bb179171d85bc06aaf4b,,a79abd72ed158dd2f603aea5df2d2b853f82fd6d1e16010e75c94507bfdc64c7,Tests_passed,dc3f698605c57770a47c5a6b5af5000fa3a3104d354c32d5b5bb6cea2f34e0a8,Tests_passed,True,True,True,True,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,81362a20696a6f8faa054c6dfbf897632a409d389d207a1beca027b5aca94c0d,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,81362a20696a6f8faa054c6dfbf897632a409d389d207a1beca027b5aca94c0d,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,81362a20696a6f8faa054c6dfbf897632a409d389d207a1beca027b5aca94c0d,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8,Tests_passed,fdd3d2588e057dc9216624227ab2a189343ee8da297f8db7e4d1bdae13ba8fe6,Tests_passed,337a09182155d1178896afb9d5c8221d917450b0805f8e0317757a74bbecafd8
24,refs/heads/master,39a46b5bc5f7ae3b1298aad7e0e1befa615f1404,6d74b1b9476cc790cb8d03b36778c23aa8d22683,2100085fea8f1cda915761b752b2183075b3b7f6,,8a2de182eb01a279e8710048e221e264e08398d7fd975e11347ef637ac03082f,Tests_passed,494f4b2e62b4e63ff42553a52f1484d49f8a33b975df8f457a9e4827633574f1,Tests_passed,True,True,True,True,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,37c4e6a07c73f503f49eedb8e8c225a76f46c210861f1d3a2366a2fe46822eed,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,3f173f9436c20bf98ca3d0cd741685aeaf8f34f1cae4cd86283cb6bb9427f460,Merge_failed,9a644d99109027af500899240fc803c25d297076353aeaf57c17943105083e39,Tests_passed,7b2259c648aef9ad189e6de7055697529b5ae9d26410be11d8c35547029ebdbc,Merge_failed,d897acb8eb169c31189f12063e70bcd20a2ebe9c464ef9538c33c30be0ec39c8
36,refs/heads/master,ea6cc8b6ccad00873044fc42509383238e75e6e2,64684ad74891125fddb805f806e9c7e6a542cb4d,e0ca15d40ce778ed3e84d1019e1d8f47b436543c,,2961a2830338bf900f0bdd45680cb9e351a2aa89f595c28816bdcae7bf66928c,Tests_passed,a900b52b68b0533e3319e7ccaac2cd9f0a3c219b3ca1fd0aaeb2158dcb0138c3,Tests_passed,True,True,True,True,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1,Tests_passed,e6ea579a4553c5a668b9da2b68ac4f96152f49fb1323d54910aba60564018025,Tests_passed,3a13079cfc0e35bea4994ae5651217038ad6a36265f4c3179cb0cc2145ea4af1
45,refs/heads/master,c7f5d09264ed359bc451f53dd0c58b9f7ba1bf43,c9c78de00fcbb48405bfc66b1cf21b6c562f987d,8cd6237aca06b77806e896a9ac9c5c4b893ce686,,7bfd5bd420ca1f13d713ed98fe9361f237a9ae215e35cd6699e8251bd1538e08,Tests_passed,9e5285aeede30bf04293bdb7e0641ce2fddb92a3b3f122c4b9025230d0d2cf4b,Tests_passed,True,True,True,True,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0f2453c02efe43008ff8bfb7f6d1d8f14679ebb61daf211c7f35ec75407e337d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,0422b8d87f7fabf4f1859e6b437b20743870e509deb321a67820cf358292aa6d,Merge_failed,b55c58ed17f65fc976e9ab02ec565ec669e8c2202fce758d0ef4a6ab764890aa,Tests_passed,d7abdfdcfa3cb7c045091f21e913485abcbbfbf75281eca512b0de331449650b,Merge_failed,d7c529826e2af8da37337fce45a9866e9b19c7f49a0dac4ab4ecfceebcbda8d1
56,refs/heads/master,af57bb9f016f2b44ecbb7650d26ad18591158627,887dc0240c2406c7f0f70f34851011067989e02a,4c9b37d5dc57cd421dcaee476b58a2360886d7c3,,e4b63575d285f78e3b5cc7fbdc4923dede25fe523732225c66f1ad2dbb8e6837,Tests_passed,ba35885f07f3bf5d7f98fadd2cf624fe47bfba3aa2b308a10120bf55ca920d9e,Tests_passed,True,True,True,True,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,2d173248d02c876ec1b0548d4ad9f0728ee38d11cfacc7a7523a0540eb958972,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,2d173248d02c876ec1b0548d4ad9f0728ee38d11cfacc7a7523a0540eb958972,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,afbb70cae207599c0e54b87b84b15963b4871261047cc95d120c53cdb4337f3f,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,215a76e9dd95197c6f78fbb9396d53b3ed6d720d3d4058baf0326cdf0f8affc5,Merge_failed,2d173248d02c876ec1b0548d4ad9f0728ee38d11cfacc7a7523a0540eb958972,Merge_failed,964a1a88961be83c8f50e4c89c71f37102af0df35b95d4a995dfbcea07f2384c,Tests_passed,5d53a658e5d82993c3a9c25d695193a2c1f7bd4d434ee4f94158d7175f04b9c5,Merge_failed,45e6c58e3714fcd79ecb0f67ddea1d7222bed4d3ecea2842734d93bec648dff0
60,refs/heads/master,ef0ef806c5d7fe36334697891caac5e65d414d4d,e5d802fc1d55b607e1f322ea345b9e216111a614,4353b1337bff4179d79888d9148963adcb380b8a,,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,a5eebea222095946bf8f2efbac569e6c9d3ab57de751bc90106a1749d2f87c40,Tests_passed,True,True,True,True,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f,Tests_passed,9cbddaf5c074612ac304472cbe0377eeb896a63243a82e3c9a386994f72d3165,Tests_passed,cf500f0cce79c4f198d216aa89e463ad6764191a065e84f65044a9f1f9167d9f
61,refs/heads/master,e5d802fc1d55b607e1f322ea345b9e216111a614,5afb35113801ebdc3a1cb918cdcd18ca30357340,d28b3aabcaf456d55c6b6b674a48b88419aeb184,,095a724eaebd63c7cf0a8583abab45e861e01dd5aa421d952c53fec0161fc77b,Tests_passed,65f2c73da06f4fdafb4b0a2dc45647c70e3283011b9d8ab6641c3ae005689f7d,Tests_passed,True,True,True,True,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84,Tests_passed,3fff339eab97a19cf8fe5b08d7b911e74a5d4aa9258d682553873cd7afa9d216,Tests_passed,d765f9eace88cef100c3979ad8ca9d986aac802ba7dd0f51c6adf60f82c98d84
184,refs/heads/master,2e0c21c338a9bcc50e8210b6ad4a6b0414259881,076c32909ccd94aaaa386e0710aff8ea467e3fb4,7b2bf2f81f4ca98ad2e6ffd8da3df3b047a9e77c,,02eeb9e0e89e499047ff7aa62adf0211e78780dfd9574ee62f2c7ff7fcb2364b,Tests_passed,6464ccfa8e8ebbbb5dccc64e05f62091b918bf1081d387dce4b691359683430d,Tests_passed,True,True,True,True,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07,Tests_passed,829cd7b9baa7160ae2484077917a7a4c6d38ad5409b4f3e223b81cf634820f29,Tests_passed,1225fe4bfe1765a4f65e33f70acd32e3226d49619f58f680adc8cb3bae947b07
200,refs/heads/master,eabc8cb593e0c682dac2f88a3d0c8d3acd0f17ef,663b87326123032792e57e10f0118f45a2836b9f,11795ed5c7b365d5291608353bd388a5b43e48ce,,695100ed6e8386d8ad86d624f59fa30dc5d842410ffca1aa171fdba59285e1a3,Tests_passed,57923897b3b696e818d937b398f4810d5fbf37d45cf5340b36a10c72702a5adb,Tests_passed,True,True,True,True,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,21d7c6d5612f139c01b65a9fa81fcf74fe3e95e3627fe235fc6220e67bab033f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,46827f52f16b47e756086cfdddf2b791ea2dc75f7825f16935e0b58408ef0f3f,Merge_failed,d0b7eb9732dc1f6fefa904d3779379688e767e6e5cdcc509351beef299149009,Tests_passed,3b8f5a5031195b352e0d064b1b0390035d08d1420f6d9ab7da00a27ada9d9bcd,Merge_failed,37116c13c2a396340edcc4e608ef659ec228754dbf3c62c2be833cc77fa07bc2
