idx,branch_name,merge,left,right,notes,test merge,diff contains java file,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
10,refs/heads/master,c7213a8599927a2e82c9cd0fc28d32554167125e,2a98c0f5c974fdb822dcac40cb44872b34e0d9d6,60667c03a8eab638f51dfac73aa160668a9cd7f1,,True,True,56cb99ec70b59ddad1a93f40c8d50067fb21f5e190c827c8bffb9a5e523e3d1a,Tests_passed,e4ebdc9caceab62bac5673096cd7063d4903b04e15b2ac24931fca55e472e025,Tests_passed,True,True,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,b6ada3e60bd4920686b1a3cd5dc0ee7d42972c3087b980c5d324753678dfe916,Merge_failed,5d3160144d404d4bc9d759e08bb0cf3c360ac520e647844b097756bdd9a5e977,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,794d94787ea954ec75809f25d3a79f2ce50b253239c14557af3895f3307bad9c,Merge_failed,e15af75682b852e07c245cba5b1eb69d02c29b64db0a9d3a020db75e845efd8d,Merge_failed,e30d7652ab02bf1a2a2b852b747c378318cefcd1e714e45bf9c2ffebfb668b43,Merge_failed,5d3160144d404d4bc9d759e08bb0cf3c360ac520e647844b097756bdd9a5e977
11,refs/heads/master,4f71db6de76da70d3bf01363201b369f39946f4b,e23f82ff6405944f0ff516cdf4fa5e51961224bc,4fbc3221b024b3c2c11b7e16e9c610f96f9900c2,,True,True,8dbeae3125db04385bc17eb4f00a7ba8225272e07c0eaabc17116aa2580d1e92,Tests_passed,94e2cdda7508523e7b9a8a11a242ffeba8127efa246e4b8571a9745753ac4f77,Tests_passed,True,True,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,ee108395d0ba751a4ea585bb979792c8365702bfe3ce3926df675be7f7097f5b,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,ee108395d0ba751a4ea585bb979792c8365702bfe3ce3926df675be7f7097f5b,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,ee108395d0ba751a4ea585bb979792c8365702bfe3ce3926df675be7f7097f5b,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e,Tests_passed,476f7aee1b7f4b4f55509739963c812a4c31f9a3eb014de6acb893c1b9b89110,Tests_passed,9a48a5ca2a16cecd9d0341866f2cfb382fa47320d78838d488a49e6ff7c6440e
12,refs/heads/master,3e72e74ecd667e3e23531d180f3b2860fafaab27,e58fcff3929cfb7ab84e1333b1387a6b80f10548,58fa11564f4525e6bd6bf59244eb396c73dc75da,,True,True,41fe0659db4cf1d19eab42b10db6660dccaf684a6b26edc0ed93160b97f10173,Tests_passed,c2bc92b34a31861bd02d4cbc1f85869d009a83810be9dd5a7ee811c7660b74a3,Tests_passed,True,True,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,50cde6286f14931159d533a0a9c35137c7c040ce87ec745f749c505089300721,Merge_failed,6f1922b475977f1e6f788c17af9b63a199eb7ec1132f5dfe5445b98caddf6600,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,d016a5c9925a52f2675d5af7354068ba889345400b179c0a1238777310e8e694,Merge_failed,24dd59db44c1db0eb49c7af8768843c1b0f46a9552094af092cd179086c30c7e,Merge_failed,263eef70cf32fc31973a63d25762cd73fba2212abf91243d7687f3478c133abf,Merge_failed,e077c3d00f9ec0bfde05892b403407cb5da5ffa41a0a45f3fdfaee7c4135a7ce
15,refs/heads/master,96bd9752b2a95ef6dec94c6887e11412b6505322,f43f5e8e45fa6727970ec7c06ebb4fc53fa38385,a68f12d5fb39775f598a909d290d0d991ab515f5,,True,True,1fba54a9506998c3b5bc98865bc8c705be8cce5a2700aca0193255b732c7f798,Tests_passed,28e4004c491c96374e6b937467e0dc33bec2c0ee9d2ef5d9c6ca7ebd8b03f05d,Tests_passed,True,True,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb,Tests_passed,cc10624acb5fb745ebbaaabbc8c08919f9aa5655aa105899f202071bb4d37f1b,Tests_passed,ea1f725d456cba8b95a3c8b597866cbd1b22a4baea4f6f7d9178ec6006dbacfb
16,refs/heads/master,42a68dc5b45393598f51dea55a799d6454f3343a,1889b505ad79744d75966ea6668cb962ec26cdea,a01dd0552483a5d7c2c9802328000e1087a7f480,,True,True,256e2abe6af4e76b95a1db02662b710474b5be31781c12aba5423e8b92b8e66a,Tests_passed,cdf24f48dc80b39437eac32785ce6808f8558db49557598c5094b4445a002998,Tests_passed,True,True,Merge_failed,f3b498603e6d586a8caf6d1bcebfd2603bc0989ade000f83ce78ac5b443f4382,Merge_failed,7f2f77c450a5302f382af95f8e462910ae55140307616814977ca203e2ca942d,Merge_failed,f3b498603e6d586a8caf6d1bcebfd2603bc0989ade000f83ce78ac5b443f4382,Merge_failed,7f2f77c450a5302f382af95f8e462910ae55140307616814977ca203e2ca942d,Merge_failed,2fce6993c4915904b8af534304f18cdab15fc788f9983674f5957d864edebe0a,Merge_failed,2fce6993c4915904b8af534304f18cdab15fc788f9983674f5957d864edebe0a,Merge_failed,f3b498603e6d586a8caf6d1bcebfd2603bc0989ade000f83ce78ac5b443f4382,Merge_failed,fbed01a3de1efc23f1d096e29d22ca0f8a214459ec0dbac5fde8be99f0652690,Merge_failed,4a5acefe5b21cd0ca75903386eab0174acf69a27b4194ed980838b178dc6ff8f,Merge_failed,f3b498603e6d586a8caf6d1bcebfd2603bc0989ade000f83ce78ac5b443f4382,Merge_failed,7f2f77c450a5302f382af95f8e462910ae55140307616814977ca203e2ca942d,Merge_failed,2cf80ad97f95073a355017ab67d12840f7c762c837d10b8659dfbee371898d9c,Merge_failed,0dca71ca5c1fc26e15865bd2d30f4880c8fd15d280bd51c8450140dabd2c87f1,Merge_failed,e0729597afc6122bb9f6bab712512c76dc6817fccfb6894c690010cacf88b489
17,refs/heads/master,23b86de5b49165af8f4ebb9e867e797c1e0efbd4,57416273ce57935658aced6740d208b693796409,0936d563d4850a01e26492fbf6908cab13cb6e6c,,True,True,a91e14640339f32273e8edc1a4ebe5392df5b57db6b586563b566ee8da4f03b4,Tests_passed,2a08e22fd9c0f4c2311a5e1e49ee12a4c975881f8cceaacd67be1cfd6c8f1195,Tests_passed,True,True,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,c5f726f565a21574181f90ec044e9c7d6c5a3535337a40d1e3ed7313fe9b3ce3,Tests_failed,f172721e3a438a2969b45639ead30982a1d853bc8aad5fc0a71628481d29b399,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,d973611b6b36a68147c8e8c42865efa481d820b6ef18abf8fc99b8e6c4525b63,Merge_failed,3d7549a1e205f6f98ea2749c86ade0f702d748f2ca4626a64cb91473512d24a3,Tests_failed,7fe6d140053b244d3c6ba09782f3f619d01a11a9fb7015c78ce7922c8189dfeb,Merge_failed,afd53904ecef499a9ced4db05b6b9af66472531f7fc13515f9ebc5ed8a8975e1
20,refs/heads/master,d51d5beea209a0d26b0fb4d6bd4bc5c341275a4c,bfd767bce110afc7673c25d0905301d236180251,c36c528c522dd4c4a5694d7ff3f58e0ba0dd5737,,True,True,f162b17546390303dbef8ef2be344b5ef1f60ef73074894100444e2d1a0a737c,Tests_passed,602f83624a40f2e255c38f917ce2fd14c52eb8f261597b6035b8886b5e68eea7,Tests_passed,True,True,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,0c30342f85bcd2bff9d2abb8da8aa0f71aa8e49792d3a9d3e827d12542a38472,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,0c30342f85bcd2bff9d2abb8da8aa0f71aa8e49792d3a9d3e827d12542a38472,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,28c202fb519e0b6e929d261abcc0e724fcdd93ffb3d782649e9c7b7b0fcaf729,Merge_failed,463fc9a1f3d6e8d22cbbac9e91a524b8930017c10ac4cc613588b5178bac4492,Merge_failed,44e09015fafd382270ddc52166ca47d386bf6f9a4768c9d74553ae8ddfd0a81d,Merge_failed,0c30342f85bcd2bff9d2abb8da8aa0f71aa8e49792d3a9d3e827d12542a38472,Merge_failed,0da3b8f64f40dd8328f3727cbc5c436a719047f7c8127dd4b4e4bbec72548a98,Merge_failed,f305c60937ace8cc0200e13346b7a62dff927060997d0a67008e9c89d14c5732,Merge_failed,0505ce4e80f41cfcc56efc9f4e855ccb2d7130fd7604cb57e0d23616e27a2067
23,refs/heads/master,d7240a0bdf01461670009af499c9430252299578,ff81038c4a396bd6e3b1d70be1022020507dca34,548b023b549811878be705aef2bb675d91f4ffac,,True,True,f231fc1b1a2d16625311054fafcab4378c915a56723958c2fcf44d5238a0d257,Tests_passed,08e5fb846fda59b0c902f8569be6693821e5e33bd7918ad0e00cf3f795cee36f,Tests_passed,True,True,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00,Tests_passed,46dce7f9370a9df539f7b1df3228a2f8a26852d78e7040cb6646694cb6f4dea5,Tests_passed,a73daa08b7d8f3f584051d10dc50980670042b0d26bee9f979624072114c0a00
25,refs/heads/master,dfb841cc6c8b3a89777030116810766816192dbe,f14cc658356312ecdf6111e1745d7d29957f7194,885cdf6a248fb178241fcedb9d70a88b36fb023d,,True,True,516dd9ee757d532c711cadc3f245bee0adfbadd948dfc712d12dfb3bbea12eba,Tests_passed,52e2370eade89d73a821d505c3478e25b9e671998def561a2f5776a2babc6d49,Tests_passed,True,True,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,d5abc1d18f06810d8134a2725e5bd8b23bbe5c952ee2e08edd14b81c7ab639a6,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,d5abc1d18f06810d8134a2725e5bd8b23bbe5c952ee2e08edd14b81c7ab639a6,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_passed,d5abc1d18f06810d8134a2725e5bd8b23bbe5c952ee2e08edd14b81c7ab639a6,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0,Tests_failed,feb1ab5c8c1bf2a50aca40095fbd6526fef151f9d8e535cc31945e6df0240d1a,Tests_passed,033312a2a114ae10a4c84fb9100febcc90edac61c8e8ffcf48c19e44d2b3b9a0
26,refs/heads/master,f14cc658356312ecdf6111e1745d7d29957f7194,9e4f88bb06fb937ffd51c8875bbaaf364d404ec4,b8df0eb1ac52af8caaa7d7f66d41dcf8b4177842,,True,True,f114f281f48c0e044aaa244913c577eb07adf43cec9af32afe25da9428d6a67b,Tests_passed,4a8d02e85a4996768d0dfd70046d40ad7f95401580585cbab221525697b202ad,Tests_passed,True,True,Merge_failed,930062749019fced417819bc2110b33b24c954baa7bc974fb5f83a3316c360ba,Merge_failed,c346430499f9b1cc3ee8f80fa88807bddd30f1fa0785caa6865b249d85945e6a,Merge_failed,930062749019fced417819bc2110b33b24c954baa7bc974fb5f83a3316c360ba,Merge_failed,c346430499f9b1cc3ee8f80fa88807bddd30f1fa0785caa6865b249d85945e6a,Merge_failed,1c7907b7b3c3316242afff758ef37c1a1fe2d18a1008feda8be71100987f5445,Merge_failed,1c7907b7b3c3316242afff758ef37c1a1fe2d18a1008feda8be71100987f5445,Merge_failed,930062749019fced417819bc2110b33b24c954baa7bc974fb5f83a3316c360ba,Merge_failed,64402a4fe79de2e917cd42f1a52a4ef8c7c7756bc258e5bf75efe54c962bd584,Merge_failed,517984dd4efedf9dbd72ce30ed1f627be22fb17d8d9355301a32ad11e51aa7f3,Merge_failed,930062749019fced417819bc2110b33b24c954baa7bc974fb5f83a3316c360ba,Merge_failed,c346430499f9b1cc3ee8f80fa88807bddd30f1fa0785caa6865b249d85945e6a,Merge_failed,d6f0d082add4f40b38d44b7a928085a734291cc14ffd8d13ddd136b85fc10c65,Merge_failed,67aa636600a8f92a74746a8f7d94400f65ac450a3a1c39305631604db47a9306,Merge_failed,711d17e31bd3da7672457ed7af58a010d19a927862a238068ddddcae67e76bd6
