idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
54,refs/heads/master,3bc59bcee2e94a0905d0325aa037ecf68133ca64,020046b7810822abfe7740fcd6f1a4db6802c598,83b0f75c090e1604c2fd93c00ea53907f4f5123c,,edfd3f78755ba022452807139205e372f01f451d73a0d90caa7682a7663f9cfb,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,True,True,True,True,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,a68482cd8ec066fea163510ba3759ec095fc35c92adca037cae58d28d2efea1d,Tests_passed,a68482cd8ec066fea163510ba3759ec095fc35c92adca037cae58d28d2efea1d,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c,Tests_passed,ce3d0078a812f82bead021c9a9057bf6231ce90225921ea35b5b295e7dc83e7a,Tests_passed,af1a45db2121d1d2046e6dac6e9adc3757a645c99f4bdd383bf9232a8694fb3c
65,refs/heads/master,a2e6adecedc3d257c95533b45c83ad8be2da694d,999dd98d67f1a0a364ce721b2f77dc55f75d005c,1583879d639019e6e6c34782469bdb4ed3c8eaee,,e9c9a8340bc7729542c85e8f0a379e865b0aad23b3b8295a5806a57cee5a7c3a,Tests_passed,4e50c91719837e2ea43a9c2e1e15d88b5bbf7a07bedb2c9483fb5db8196eda8a,Tests_passed,True,True,True,True,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b,Tests_passed,0677b55f7b10034f48ac23f271a8a631373a3720f6e6e63455bc230ea0653b12,Tests_passed,4a08914b51ef24c2fa4d1a0e7d15fefc7ef0b82e0135e5794eb87443a938642b
71,refs/heads/master,d7029e91216bdf42fb9638a846efbdd1550d2941,f51e5f0b18c1199f59f2dda994cf3ac8f8808306,ae6ced8aa637df02afad8605dceb8813bb57ff31,,59c9a9c6f5e09412b085f2222ea9125453fb7d85bd6d94dbf9409a7a44af3afd,Tests_passed,63bfc8fa482dabac02ad1d90ed10670dfb5a09bcc265c259f54cbb24fed6a29d,Tests_passed,True,True,True,True,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Tests_passed,93059be18aff178abbf04eafcb3e35c65297052218bc20c98cf4895d4a5faaf2,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Tests_passed,93059be18aff178abbf04eafcb3e35c65297052218bc20c98cf4895d4a5faaf2,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Merge_failed,fc5ba40d6193fc892ee9a210fffc3c38f5366478cd1837a817b85b6ee236e0c6,Merge_failed,3f5a1b308adbe3db78535c6b36b9332bf9fd09607a5d7caa8f0ed84f24e44c77,Tests_passed,b2a06cccbac63b5e455f6dbda88fd55f31bb14f766f0ac9bd2fa24f48e8e504b,Tests_passed,b2a06cccbac63b5e455f6dbda88fd55f31bb14f766f0ac9bd2fa24f48e8e504b,Merge_failed,628aaef7c8d2dc784b0c7d4496f89ea2d954f26759933b49143c980029c1a34c,Tests_passed,581fb8efac1127a76444cacfb65030f6de056b377fd0532a022c0b8f3a970946,Merge_failed,fdeb9815b0642b7a61d3e52110449b607cd2f3a56782b8600addcf7a900082f9
81,refs/remotes/origin/pull/205,c21b43e1c57d79f088da3126cf22914f36904480,7533f8bf6fb4d656afb2fafda14b1f7abef43732,868a5ca8977e0c13b792aeed7a793d55cea743ec,,41ba4acbe87b6bbcb3d095a8649010e62e8c959e9175dd16fc967f9896117b12,Tests_passed,d16373a76725cfa20771c9139d9eb231986b7eff0b800392d7765e3013c379ad,Tests_passed,True,True,True,True,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,ff0189935fbe7be5d54d2a9052fe60f94b093bda00624c33abca0637851d2099,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,ff0189935fbe7be5d54d2a9052fe60f94b093bda00624c33abca0637851d2099,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,14548e7e43e798a99839f2c2d1b54765fd0572011930ddcd91e5af3ca5ea3445,Merge_failed,59747a2bfe34c08d4a221932b1e8b8aad958ff1ea168288c2baea6dab27fb182,Merge_failed,7f836581dd33354be8d5b0fa5be65f7b47a3c6067d64c339a044e5241b75207f,Merge_failed,7f836581dd33354be8d5b0fa5be65f7b47a3c6067d64c339a044e5241b75207f,Merge_failed,92f680f269487122ff66d96f1f4f96ab3783981d61ee99c5e0711858876ab394,Tests_failed,df098d6da2aa3aa88a1eeaeccf5bbf992a5d74d13f940a1e8c963d9dc1ad2f64,Merge_failed,1a64aeeb183a2ab6b88ae59c18383c23f583a1b0ede6b389c20ce30e6d22e8c4
84,refs/remotes/origin/pull/25,b3dcbe8462805ea4fb8d7eee0a8cd312d69c50d3,1b0709c7ca1710038e720f128533c69f55f6c9a3,5cb2b580ae893478d9631ac2a284bfda0501e331,,0a626f60cdecbef17d85253eb49e6d58aa74f55767a820eb3a15cd1af9b4cc35,Tests_passed,edf237d5e98c062120c0c9df9b1ffe6620e4e9f6f257e7a24cce23ac33731eb6,Tests_passed,True,True,True,True,Merge_failed,323e559566bd4eb5bd342dc0e0bd64e18ae3440ec4d9465edb6e9d1786631954,Merge_failed,a249cc27ca66386135d7f130392a22d13d7ab900cf4e6f473cba27d73630763b,Merge_failed,323e559566bd4eb5bd342dc0e0bd64e18ae3440ec4d9465edb6e9d1786631954,Merge_failed,a249cc27ca66386135d7f130392a22d13d7ab900cf4e6f473cba27d73630763b,Merge_failed,1c9cb61083d4ae6a57c9259759cfa95f8301f9d7f0e7bd6ba867b591a9d1eefe,Merge_failed,1c9cb61083d4ae6a57c9259759cfa95f8301f9d7f0e7bd6ba867b591a9d1eefe,Merge_failed,b7eb8774784a6a49620a257250b5f6d6738d23d3063968b0bb228bb8b8f7bae1,Merge_failed,0d89730d9b8d30d98521e0ed5ca0cc36b275ad6b82992367339de2bd9e193a83,Merge_failed,323e559566bd4eb5bd342dc0e0bd64e18ae3440ec4d9465edb6e9d1786631954,Merge_failed,ba94707a8feaaa5fdbedad5551c61a835a6aa0f3ed9a03fc291e68b90ea5865e,Merge_failed,ba94707a8feaaa5fdbedad5551c61a835a6aa0f3ed9a03fc291e68b90ea5865e,Merge_failed,eab1e046b38805deddacd2fb984a9f913bc9296ccbc190ac20b7ac90f9045fe8,Merge_failed,51df3ed6a784f976c164213f6be6448fd984598cab256b7bd7c84e525c397c6b,Merge_failed,145bd18228a8ae923d9412e54fc93bad2b8efc98eb19af66336adc465c73177d
91,refs/remotes/origin/pull/289,12a482922e2d9f004c5f1c437032e12308cdb1bc,390491a3180dd28fd6210b76e3fe62c3048fff04,28236abe960d416e19f1a5f14c6a871404a3dfca,,bf68e21edb1ae66501498b883d208ed7e36ed8a570098feedfddec128c070174,Tests_passed,525f6d7fff6b16e1d1b2768c138d24fca793bdf86a80e2b62f75ffab95f7eb25,Tests_passed,True,True,True,True,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,3ba4ecd2213446cbc7813770918f0d6cd2b68380ca95f5d956a7a97c1a24c5cf,Merge_failed,f5785bd967fc8e9a75c52409865be59e1211c394196c2bd97aeaa01ac5428157,Merge_failed,45874c45ff1810d3a7d10bec53780b59fde263b54e8a3fabb7ad00432d81c27d,Merge_failed,45874c45ff1810d3a7d10bec53780b59fde263b54e8a3fabb7ad00432d81c27d,Merge_failed,1961c4e1405b05c92f90e07a8584e5bc522d0a7bf224684e4cf2f72e87560d71,Merge_failed,1c2093e9d74af63f1851cc8a842891b0dbc361fb7a97cb4c6aebcd595b134bb7,Merge_failed,ea98f0d7974ecac10507db13ba4f0f21d23bfb28aaf0a16ef32c829613bf030d
92,refs/remotes/origin/pull/289,29936663963c0be5e4d8b10c6662c30dc4ea9dcf,28236abe960d416e19f1a5f14c6a871404a3dfca,390491a3180dd28fd6210b76e3fe62c3048fff04,,525f6d7fff6b16e1d1b2768c138d24fca793bdf86a80e2b62f75ffab95f7eb25,Tests_passed,bf68e21edb1ae66501498b883d208ed7e36ed8a570098feedfddec128c070174,Tests_passed,True,True,True,True,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,e2a3624933fcfe3a0b6357d86e8ace3d591394c9cf380c64035c9043d08e1cf9,Merge_failed,99d80200d3204ab12828913815bbeef8b83d98487dfe671817160af5d25661ae,Merge_failed,da2c18780ca9b7f786c0054d2ca78d0b4252cbd3caf485f8ace6801c497e626d,Merge_failed,da2c18780ca9b7f786c0054d2ca78d0b4252cbd3caf485f8ace6801c497e626d,Merge_failed,deb030eafbda164ba296c885abd5bb145091d8ca9b12f20f7f9c5a8007aad36c,Merge_failed,1c3ab76ef523eb2e1d7da533c85053c1cbe1963b1df240460a96f27946a74714,Merge_failed,284a023f950b02628d560477f9ddbce9180d7a71f41947c1cf6b076e792bd328
99,refs/remotes/origin/pull/295,40f133420e40f5477b3f74086e70f3693a8720b1,aff56fd324810311bf89a95d3945e5dbecc6593a,58b5caaaa138adb659523d7f1b541247ce887c84,,807de93d4150494788e0178d1a9a0b2c82df2cf788563e453077858e62775f99,Tests_passed,8266a842aad922bb2dd2aa8a2c92add9a8854219cf0c18c0ab86428180a7716e,Tests_passed,True,True,True,True,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f,Tests_passed,96522cf8f624af963bdab0106dfb681b16bd534ad947d190e0075e3dbbd5fcc9,Tests_passed,40b45ebf0c50fd7579d8c9f9d93d1ddabe43b9c7d8218fc4c2f1105a353a4b4f
101,refs/remotes/origin/pull/295,bcfc36277af06a98a808a3f83bc019232db1bd49,af3260c77d2cc0fe2c8b0d8089e7b7fd68abed91,ec5cc1cd8fcab98c87e02837e9e774b1eff4328a,,a24c7f37958333a4571427a01f4dbe19b25233c70fe7e6e11a4b05e9156b4ba1,Tests_passed,7cdf69ff6ad2e7881862c68a71160d1af043bc1d368780aedba30deed0e0ca88,Tests_passed,True,True,True,True,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,fb3c949b4cd97f9a735510f05569b78eb270b22543421d46416a3b9501b333b4,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,fb3c949b4cd97f9a735510f05569b78eb270b22543421d46416a3b9501b333b4,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,9a210ee8e697131f47069e7f7fbb0c54858c7c662b8bae4a5b8196556cf34bf6,Merge_failed,f17527b47a5cd9be3c657990fea16092000f9af6ea994ea507fe53e5ec181caf,Merge_failed,03abbb369da75d9c7f5d41ed919320dfc0589b601487855e1a4b2757e4388da1,Merge_failed,03abbb369da75d9c7f5d41ed919320dfc0589b601487855e1a4b2757e4388da1,Merge_failed,3ee210c74639b519177fb85f92f65df4471ecf21158f1ab183e19a3946a48331,Merge_failed,b34b7464714f9e9c48c3fef489bd2f3ea3345bc6bcdb4052f89f620419021f54,Merge_failed,b7d68736f54805cd88ab0235d1f409ceb6ccab477254624a8bb837db81e2fd14
145,refs/remotes/origin/pull/43,be8dbec2182fd36a2afc51af33aefef33f7fddba,e3d890b10accbf5f3df1e1d81639b1a18b430392,020046b7810822abfe7740fcd6f1a4db6802c598,,328ecff04c76b13a960698c0d512fd76a67edc598755bcd929f1f077de83a2b1,Tests_passed,edfd3f78755ba022452807139205e372f01f451d73a0d90caa7682a7663f9cfb,Tests_passed,True,True,True,True,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,a92458983ffabcaf11d05332311f198f834f8208ac8223cb874415443bc74317,Tests_passed,a92458983ffabcaf11d05332311f198f834f8208ac8223cb874415443bc74317,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd,Tests_passed,0bbf59fbf9a20f866d1d9b0087d65168584c68aed179733a655c1f1b829f39c9,Tests_passed,729db2c450e67b976fa46c20d4d7a799ba556056a3252098affdc54ae7d6dafd
