,gitmerge_ort,gitmerge_ort_ignorespace,gitmerge_recursive_histogram,gitmerge_recursive_myers_ignorespace,gitmerge_recursive_minimal,gitmerge_recursive_myers,gitmerge_recursive_patience,gitmerge_resolve,git_hires_merge,spork,intellimerge,adjacent,imports,version_numbers,ivn,ivn_ignorespace,gitmerge_ort_plus,gitmerge_ort_ignorespace_plus,gitmerge_recursive_histogram_plus,gitmerge_recursive_myers_ignorespace_plus,gitmerge_recursive_minimal_plus,gitmerge_recursive_myers_plus,gitmerge_recursive_patience_plus,gitmerge_resolve_plus,git_hires_merge_plus,spork_plus,intellimerge_plus,adjacent_plus,imports_plus,version_numbers_plus,ivn_plus,ivn_ignorespace_plus
gitmerge_ort,-,1,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0,0,0,0,1
gitmerge_ort_ignorespace,17,-,17,0,17,17,17,18,14,14,12,8,17,17,14,0,14,0,14,0,14,14,14,15,13,11,12,14,14,14,14,0
gitmerge_recursive_histogram,0,1,-,1,0,0,0,1,0,3,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,2,5,0,0,0,0,1
gitmerge_recursive_myers_ignorespace,18,1,18,-,17,17,17,19,14,15,13,9,17,18,14,0,14,0,14,0,14,14,14,16,13,12,12,14,14,14,14,0
gitmerge_recursive_minimal,1,2,1,1,-,0,0,1,0,3,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,5,0,0,0,0,1
gitmerge_recursive_myers,1,2,1,1,0,-,0,1,0,3,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,5,0,0,0,0,1
gitmerge_recursive_patience,1,2,1,1,0,0,-,1,0,3,2,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,5,0,0,0,0,1
gitmerge_resolve,2,3,2,2,1,1,1,-,1,4,3,2,1,2,1,2,1,2,1,2,1,1,1,0,1,3,6,1,1,1,1,2
git_hires_merge,49,47,49,46,48,48,48,49,-,22,23,25,44,49,41,41,41,41,41,41,41,41,41,43,0,17,15,41,41,41,41,41
spork,264,248,264,247,263,263,261,268,223,-,141,209,219,264,208,187,208,187,208,186,207,207,206,211,165,0,63,208,208,208,208,187
intellimerge,841,784,841,786,842,842,840,856,708,417,-,681,751,841,712,670,712,670,712,671,712,712,712,725,587,368,5,712,712,712,712,670
adjacent,68,61,68,61,68,68,67,69,44,33,39,-,55,68,49,43,49,43,49,43,49,49,48,51,29,26,23,49,49,49,49,43
imports,23,23,23,24,23,23,23,26,19,11,15,16,-,23,0,0,0,0,0,1,0,0,0,4,0,3,14,0,0,0,0,0
version_numbers,1,2,1,2,1,1,1,2,1,4,2,1,1,-,0,1,0,1,0,1,0,0,0,1,0,3,5,0,0,0,0,1
ivn,35,32,35,33,35,35,35,38,28,16,21,22,12,34,-,1,0,1,0,2,0,0,0,4,0,4,16,0,0,0,0,1
ivn_ignorespace,60,43,60,44,60,60,60,63,52,32,37,40,37,59,25,-,25,0,25,1,25,25,25,29,19,19,27,25,25,25,25,0
gitmerge_ort_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,-,1,0,2,0,0,0,4,0,4,16,0,0,0,0,1
gitmerge_ort_ignorespace_plus,60,43,60,44,60,60,60,63,52,32,37,40,37,59,25,0,25,-,25,1,25,25,25,29,19,19,27,25,25,25,25,0
gitmerge_recursive_histogram_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,-,2,0,0,0,4,0,4,16,0,0,0,0,1
gitmerge_recursive_myers_ignorespace_plus,62,44,62,44,61,61,62,65,53,34,37,42,38,61,26,1,26,1,26,-,25,25,26,30,19,20,27,26,26,26,26,1
gitmerge_recursive_minimal_plus,36,33,36,33,35,35,36,38,28,17,21,23,13,35,1,2,1,2,1,2,-,0,1,4,0,5,16,1,1,1,1,2
gitmerge_recursive_myers_plus,36,33,36,33,35,35,36,38,28,17,21,23,13,35,1,2,1,2,1,2,0,-,1,4,0,5,16,1,1,1,1,2
gitmerge_recursive_patience_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,0,2,0,0,-,4,0,4,16,0,0,0,0,1
gitmerge_resolve_plus,36,33,36,33,35,35,36,34,29,17,20,24,14,35,2,3,2,3,2,3,1,1,2,-,1,6,15,2,2,2,2,3
git_hires_merge_plus,94,88,94,88,93,93,94,96,43,45,47,58,71,92,56,50,56,50,56,50,55,55,56,60,-,26,30,56,56,56,56,50
spork_plus,299,279,299,279,299,299,297,305,250,32,169,238,255,295,238,213,238,213,238,212,237,237,236,244,188,-,75,238,238,238,238,213
intellimerge_plus,1419,1323,1419,1322,1418,1418,1414,1447,1203,711,580,1159,1284,1417,1228,1154,1228,1154,1228,1155,1227,1227,1225,1251,1025,634,-,1228,1228,1228,1228,1154
adjacent_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,0,2,0,0,0,4,0,4,16,-,0,0,0,1
imports_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,0,2,0,0,0,4,0,4,16,0,-,0,0,1
version_numbers_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,0,2,0,0,0,4,0,4,16,0,0,-,0,1
ivn_plus,35,32,35,33,35,35,35,38,28,16,21,22,12,34,0,1,0,1,0,2,0,0,0,4,0,4,16,0,0,0,-,1
ivn_ignorespace_plus,60,43,60,44,60,60,60,63,52,32,37,40,37,59,25,0,25,0,25,1,25,25,25,29,19,19,27,25,25,25,25,-
