idx,branch_name,merge,left,right,notes,diff_contains_java_file,diff_size,left parent test coverage,left parent test result,left_tree_fingerprint,parents pass,right parent test coverage,right parent test result,right_tree_fingerprint,sampled for testing,test merge
1,refs/heads/master,50af47338d550270a09dca2ba9ec424682d1cb19,ad76bb512b510a37f6a55fdea32f8f3dd3355771,2907a0ddfb0539397340b36d70ca26e5d4c1594e,,False,180,,,,,,,,False,False
2,refs/heads/master,e965529c3b5c15d71dad3d74e67abb7e070c7235,aee5bd4977a99e8d2151ac17a74db1ded0a5f53d,665acdea6840ac499c36cdfa18d43c63ebec12dc,,False,27,,,,,,,,False,False
3,refs/heads/master,cd209063eaef052571b1cc3ac5c9d42580d096ec,deed2b8367af0e84a8acdaf8bfc880d170c0e6c8,31af17004de354975c9bd4a362486ae2503cd261,,True,23,0.6812578754177395,Tests_passed,929e57f7bbf9a2c6c54fc39f765b82121c7de4b5844158716099a01c4dd2e132,True,0.6901166018878401,Tests_passed,8f3e940ff826fbcde8e7a3f4263ba8a3d1337ca4922b2ffc63773850b7da1fe2,True,True
4,refs/heads/master,c0069c610ef4a2c17f82f7c1f48c4da557c395d6,ce038909a2766273bd60d5ef586f52c1849ede09,95d862eadf2a811bb1e55e5d49f7cd2c69a6fb15,,False,4,,,,,,,,False,False
6,refs/heads/master,77e8cd07768b890e4d7040cd2ca74da43f042199,753fe5c16ddb089b42a6ff920c06e50ead032945,d64b1aed2d96fae8049a72e34e35a1fa6e0697cd,,False,20,,,,,,,,False,False
7,refs/heads/master,d64b1aed2d96fae8049a72e34e35a1fa6e0697cd,e692d03654c59dfa9c5b307ad380933b8d0f36bb,2831ebdcf1c7507e8941e29cd3b5d8c35c2cfd9c,,True,363,0.673215212395285,Tests_passed,0ebdeabb7b536a571f13fbfdf77576a6870aaaf357816f3c33b8c99244525fc1,True,0.6346326836581709,Tests_passed,bcf0e8cbcef3593dd2392ec1dbbeedb94a4e90db5bf85d2794a9f3f933b0d324,True,True
8,refs/heads/master,ea1dd941b9689d4227b4aa88da5862a5936b9fd2,d99b5e5e2d20389d650bcecbf24416ba9375c37a,72645ccd837a5650ba056b05361b1ebf5ef8c8ab,,True,406,0.6736733032344016,Tests_passed,8ad85fe04a43e2e2caa8807bf432056d45723452e2deb898497a6d370aeaee1d,True,0.6340128916204467,Tests_passed,ef75f25fd0ed65dddae3f5a227903a31946d167361a5c5b9ecf14b33f5976b1e,True,True
10,refs/heads/master,4faeeb6c175ff46fbb6bf38bd8b91c21d205c866,d279c913888f2fdf8dbec31f77ec2d3573f01c59,941dc5e12699dc2e4e26d0135b0823ad94a5569a,,True,383,0.6609642301710731,Tests_passed,94bf2bc7e83c7d8b072390cef486b68e761fd87c8338c0cb2f8ee3ae97a3ae3c,True,0.676929941990183,Tests_passed,35f0499c462e3d496567a48c771a6c5e348d5f60108e2ee075ba30f302e4dd57,True,True
11,refs/heads/master,1b51671cf06062671af931f98a8af2a53d335a70,89b0d5981bafb6b4b4ac624473a1771405d4da20,b7622c26c63437dab6399fda38deab974d0b665c,,False,82,,,,,,,,False,False
13,refs/heads/master,fd0d383b74983bcb8095e70ac9691ca1a2ddf344,8b18a9b1a56875d7d7de9e2604d425a85d261112,731e0e8491977424a0af136ba4315793622a054e,,False,6,,,,,,,,False,False
14,refs/heads/master,ea7ae16cb9d2bce1b0da66417fe8540a0fe8a62b,69064c4cc9837ef8178452eb56aef7184a550c84,795e99337fbedc794220f0f3b32c55ee3899beb0,,True,117,0.667214216381692,Tests_passed,1eae5c7ad10107eb6f0b9eab47a20de31b9fa50ccd973c6ee58cc065301a0378,True,0.6782829793598564,Tests_passed,229f7b88d28dbe89c6e537e15b4336b4578d0013ea9af79ebe294fe0d299c0ea,True,True
15,refs/heads/master,a9592e15cbfc22a9ea0777124708855ecadd4fcc,2c11bfb43d91749a731a69c1d3223a27c682c577,0f13675abe6afed9aa574c0296a0874c977e12de,,True,58,0.6669406665670303,Tests_passed,31dbb11d70d8e48f73fca145a4e5c8c2ab4ad514d6ca237e4ed6367b786f1b01,True,0.6340329835082459,Tests_passed,5be2535a9827c234398f93e39678c1a4bb0f866dec4474adbb20ad8caf8426dd,True,True
16,refs/heads/master,affc3496a1403fccc8e51839d3c947fcd13d4bbf,63de6c5c5ea371248ac93b662b79dd1215c37c14,d0701debf938d95318cf71e39ec19e596782c6d2,,False,4,,,,,,,,False,False
18,refs/heads/master,5c072c079b2a1c1b0ddec7e776bb363984818a85,34ac23d63b496d37eab966502153789153b3e492,35c36e2673c2150c7c2b213b9123df38f5437f21,,False,33,,,,,,,,False,False
20,refs/heads/master,457d9fe5e1c7d9b286bf4883602aee9994c964ec,9ad22dec744665b17a5080b806656a9f781cf2fa,6e1af5eec433c69bfee4a29045a7bb10c20e0c98,,False,4,,,,,,,,False,False
23,refs/heads/master,b24c8b0cc00952c5c47aceeabbacf6567aeee9ee,d4044b5f18472e7d9662c04aef8e0482f95001c5,f8be039d5ec8fc10ed383b557df8643701db009b,,False,29,,,,,,,,False,False
25,refs/heads/master,27279f6c2165d59e36df033165fcbd4993575928,a54241245b2eb0ee3f24b41c118e42627d4fedee,0da51970896fa0d5bce89ed38feb0d80c283c196,,False,19,,,,,,,,False,False
