idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
1,refs/heads/master,5f8fc5398d14aafd3e213e0f2d17bb3b3773416b,9871d2b4a2a00fbc7cf6b7e161efd8177e473091,2a3d7f7a36d76fbf5222c26b3d71fcca85d82fc1,,6c89b8a53136e8b270ce90ea19256d76ab6d882a58d6bb17c51cafbffaa8437e,Tests_passed,0.0,40770a054245f09ad5b3293c369d02009228b0fe3d5797eba4a8e8e124f381e3,Tests_passed,0.0,True,True,True,True
3,refs/heads/master,2a1f80072f6ff5b765cfbce2bca87b14cd1892a0,55af45a456bfb7f14aa21a7fa3bfafaf91e3b08b,0c3fc6ae9459c79264abf96fe14135530820ebe3,,90aba8517bbf4c9fb2bf95eb32df039ebc6360c54147ed282573be3ac3e4f601,Tests_timedout,0.0,8436d558af5868ef245d051431880302167085d7b07982601b37bffc3b0afdf5,Tests_timedout,0.0,False,True,False,False
4,refs/heads/master,516ecc001430522f84aa689a8bc5a14065a7e8a5,d04df04f5cc700564894dddf3b079e24c4d629c5,00ddeb38f9449152b35e4b6533c0eafdddd12d58,,c7f011656f84c281f5fec301f0d03904c48632cbd491d1ed3a2769b18652794f,Tests_passed,0.0,128687443a65db0f949b80f8976551c40806bc56ce0b3b73bd3bdde3c075d2ad,Tests_passed,0.0,True,True,True,True
6,refs/heads/master,b66548467b304fa8a6e7b939b7c44cd265c0e1e8,8e875f80fefd14897240c10f329d6323e069974e,75395a716f9a6128d69879bee6d09abb3e397082,,9239c86344ccd63c35764c5a8756ab04ae6490c46700657297d576c7bdccc983,Tests_passed,0.0,5394368a3322d9e81d66e78df11439668edf9a0f9e6464c60388ff3a4b05c305,Tests_passed,0.0,True,True,True,True
9,refs/heads/master,0251560e3e8649babdf639f0d3f0790dc1cb8976,ca463244dd49983a2ada6ecb4884a8204b036c86,5c485db46342ed970a2f56c50c2219f65be84665,,b13519f0baf304424c8cc56664592cce9ad926c042a83a8e384bb073b7b2126f,Tests_passed,0.0,e572eca8d72d50ee0b001b10aec0b24b000f4b891cadd8c4ad00609a0269ab5f,Tests_passed,0.0,True,True,True,True
12,refs/heads/master,eda36b044d9c1785aa5f49b4b1da709b32147c3a,0840d594ac50ffbc7cd2f4b8faaad4098d03595a,900314b6fb2bf35bf5543daa9fd8b56c82b78bf0,,4da3d25a5ef3d1d45de23ec22a90c5870ed946515237135f107a4e7c844ed85b,Tests_passed,0.0,ba1ed6f3fc48f9f7db9098af039d6eddddd02a9a8623ab8c8c4fdf14e920ae09,Tests_passed,0.0,True,True,True,True
13,refs/heads/master,97c75f348077b623764f23df3af948089663e73e,8566e02dd9c12a4cda4e08085cad3b64110350e7,f4825db09c2860e6a352a0095e690d31e4d5f42a,,c8f7c963bf91ee173ffaa4e2f4792f851f8d658f4673c44aaf8acd68837adb1f,Tests_passed,0.0,88a8ddcbf4117ea7c2e01267a0076bb1cc626633f9f8539c44994dba37040f73,Tests_passed,0.0,True,True,True,True
17,refs/remotes/origin/pull/109,c562d80f2043d28939f0fd217c30b483bfab04bf,758ffc3d1ffc9ae37ff178cdd6c436b60bb0d86c,2a3d7f7a36d76fbf5222c26b3d71fcca85d82fc1,,,,,,,,,False,False,False
18,refs/remotes/origin/pull/13,f747b209db1cca23c5be2220f0d677f26b98696f,1d8be9146e5178b5b6a345c2ef3beabd53df2254,fbc8db7ca0a2a8e5277ff7fdfbb674c1e6cc2a6b,,b50f35f29eee61f6174d91da6af138077fc3fe433c768173f6814084e137f519,Tests_passed,0.0,5a20f297b1f7db7962c2e61a0655b04f18e1a79105af06c2dac95fc3e0347770,Tests_passed,0.0,True,True,True,True
19,refs/remotes/origin/pull/31,e71576186d7f206ba7957efbde9e87ced4313f10,55cbefb6a924cc05999914a03e0ead401ecde308,3d06ba348d4cb9473c6ed9397919b4fa861ad5ba,,3eaaf4bbda457e33a6b52a720295f5e69c0c77897ec98e276e11839f9a52754d,Tests_passed,0.0,59ff2cd3c3031ee3dc3a99e7e89211c5b05666d87f012212fcf42f69907defae,Tests_passed,0.0,True,True,True,True
