idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
23,refs/heads/master,cd0c99655c3c4380d87945e46ec6829ecf1f38a2,cbbc2cf5aeece72e112ffefe97be20f682b947b6,7a7265b0d776d9cca9d5a05dd5afee71ba0e2b2b,,fee86d8b23ce8174b89306cbcb6b63c3c66975fa4d1164db0fef2ee7c9c307fb,Tests_failed,0.0,5e304f143452ed97fcda6a174f445c6b5b00ec98e43de5950c29718b7e823cf4,Tests_failed,0.0,False,True,False,False
29,refs/heads/master,f3456007c6178600e1135bb4b99da610bad3ebeb,5e7fa144bf9d613ca566fe9381ee37d630bf25b1,b50b33e891502a1244c0442604dd1e46318a74f8,,6faa80f59570b60e6fea7e8a60cf6a6b8e8353ab03932105fcd72922e4f9adeb,Tests_passed,0.0,7d4f0b7cff3569d95d6f4da10cb06d423410727554498c40949106a51df8d083,Tests_passed,0.0,True,True,True,False
38,refs/heads/master,554763dd1337abbae159e53e6d8f652aa6db162a,2ff548d80bc9518020622767aacd68fd78595ac9,07df7d47ebb08f8bb6bbb939f7fe22083a11c87e,,046fe3f1be94e97855a69b25db2e951906e2e2cfa32befe0c50cf76e4a1ffe31,Tests_passed,0.0,174def4d5cc8d75fbb91a758fe160aaba3a8ee7e014936d9ee6e699fcca5622f,Tests_passed,0.0,True,True,True,False
49,refs/heads/master,9102dce6545a10b9633ecd754117c66de4c62412,cdc29d0dde089eccfb06efb00aea5a11e164bf02,661aa25c3dfa628212caf045c8da52e6940810e6,,52f4503b4c882082b26703f2774bc137ec3255e8062d1dccc615ce6d8aa95d80,Tests_passed,0.0,cc66fa699f1b88564143f6adfe36dfb1856eb8515e5e51af5ef874b9e6dc2d4c,Tests_passed,0.0,True,True,True,True
70,refs/heads/master,7733dba0020354877597fd9e8b8a0482de707cb2,0b9aaad1c2b7f038f59ea760e22c92618aeeab1e,3da86543362c3dc9ed4862895e35649e015410c9,,3151c20cf695ecf65e1ec2463b79171316bd1186722b7ce39a42cd2794080fc1,Tests_passed,0.0,3fc582ab0d9b4cd83a4cec2860792148e6bb28c1a6007b1b7844986871b588b1,Tests_passed,0.0,True,True,True,False
112,refs/heads/master,e2679b2aa7344c7300164ad7c9dd281258664b48,19b409eeaf69a0e4485f5ccc37dc7639ad86a9a3,b0e3be8fb371a21a0f2adcc6c5021fe1756b1c05,,373b9c91205f0fa78d81cdb80d02172f8dcf34b639eba85bb66b92b347e0c7f3,Tests_failed,0.0,1162bd6c467c1e4141e4b2b6313250aac7c36fcf29dd5230044cb7fc60d4a13a,Tests_failed,0.0,False,True,False,False
114,refs/heads/master,e00d102c471a4150da186b30d36c468d2bd72b60,8408b97771f519253c2ecc9f26349d2a958564b3,e104803781270b91c964a2cc17dbaeb1e11e35ea,,303d1ff9a7aa2322b787cd2857769b550800fd4076d3ec2ccf0777038f3f12fe,Tests_passed,0.0,08c6109b0f2a509e68299ca15d2d567e00a98e236bd3cfd78033c6e534e53c7c,Tests_passed,0.0,True,True,True,True
125,refs/heads/master,44d64a8793677c3d339ab1f0e292b64d217c445a,10f11ad91e92307b13481f7fb474663745f67707,e7f68287c114e4b429feaf77b3bc396c147bf607,,540c5c936f8ca7c5293a14ab1cf433eeea3c142eaadae758de8337acc667bd63,Tests_passed,0.0,7b5b55a7b561a353113a46085e518d699d679d7236b6770cc6489c8a61ed88d5,Tests_passed,0.0,True,True,True,False
131,refs/heads/master,a2be66d4921f2e8d8b272259f8372a6d9a56663c,2c1b71429a52ce1a6c222bcb43f319570aa73cbe,724753f8908b87846a368b8d1566df3efed65eee,,d6b59beadbb4682352b81ead6de6d6ebbdfe3a37a7db63bab64b6bd75e225f36,Tests_failed,0.0,484217a7f5d774d045b7cda27996d8afc5a829b3e7160d540205a63127cfc74c,Tests_failed,0.0,False,True,False,False
133,refs/heads/master,5ade64b3e1f36003ab269512055c22f029386701,e65a079f0e7dd249eff3d67c629162091e2bdc79,4982784d7cb60b02391ee6b74054f5ba20f6119c,,22cb92df589f02f714cd30cfbaf2b05b2b81a09fea0fdfe95dd376d2e2606f31,Tests_passed,0.0,5e2543f8176b0d2bcd2f8e2dcae24b46ca28fd87a174085787b39af335812478,Tests_passed,0.0,True,True,True,True
