idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
5,refs/heads/master,f272db80190c359e59fd9fb0603408344c618716,b8eb3c38945b3b5eaf5324d81b9ad80244939a42,783fe83fb3b6b59d96f76acf35dc05a14ed27f56,,d0dea8ab5b368821b7374a7be023526b2474ff2c1ac957830040d88cdcc95a02,Tests_passed,0.0,9644428516d8b147e37899848e60e19c2d9e95f5168ac1a932b84b2ed15c1cee,Tests_passed,0.0,True,True,True,True
6,refs/heads/master,aceed9c800f1a9e554f5cb8d583ec5a570eba088,831b51e546cc850ed9b5208bf3aafeeacdde0b60,db66b9a79f4902f94122a350eeaf5f52c8069a63,,2d46fe46e3e6f15c95eb775249b8e82ea22970ce3a434c09815ecb9c23c32027,Tests_passed,0.0,7bf10cb4d9847e99f5b02b13f7242d945416c560aae5378841911fe5620ff810,Tests_passed,0.0,True,True,True,True
7,refs/heads/master,fde258bb57451f9a73ab64d54da240d211f25e28,9acc590b2aa5ec836d2d6ed5bb4b423711a32962,b147b1ec4507939cb4e612b7ea973c26052295e4,,05dd89cd942a818a7639d05c836514808e93d507e8515be54c3e6fa2cc3b80d7,Tests_passed,0.0,e29b4b6f160a83943b53de341a7a60513c892956220e751f97273d99001d4626,Tests_failed,0.0,False,True,False,False
8,refs/heads/master,0fc4768719d1e433cb934e7ec07a76e301ddaa05,058ff547d19b0461c55a8a4cbb193e0234a3bd8a,4721e7b153c012f282b28728121a90f7aac9a341,,5bc54d06b5415be601a5a2d889b2f01f628b0eea6611440250e6b9d4750c49e6,Tests_passed,0.0,607691dcc4fc8e8c6c8ffdc73977be4d1f36fe6b6b9bf15dcf8a36fa75b95cc5,Tests_passed,0.0,True,True,True,True
9,refs/heads/master,da833cc010381843d8c8d51244a44a29d43ee76e,106d7cef5afada9f522d6e5d8cae846e7493b572,6f83204be2f1cb23c531ea240f97c256dade994c,,bf9a45035c7be034e73abea5ba1b7ec4fa217b4592f806233f7a7863e190c7ad,Tests_passed,0.0,2e5ea8f5200c8488bcb022c9dea0481310780457415b3f87388f2fa72174326c,Tests_timedout,0.0,False,True,False,False
10,refs/heads/master,d23f8016dbe3c833dd668fb4549a48afebc77845,de57e4a22fe85c79fce6cc9d3dd8d6e824ce601f,9081d89afd4f599ecbdab8a585978b03ab93d385,,611b147f25eeda3957973e498978f4bf372f695f51c71f28e96de48c819c18fe,Tests_passed,0.0,fb22a45ee05296531bb9be3038b223161ff23db3b4ee098ac5df77bd31f64703,Tests_passed,0.0,True,True,True,True
11,refs/heads/master,e3b50693240e8b8e95f15d5ffbf315ad84ba95a4,58e9108dc147255852e0bab2052ee8a81a02883f,145b003d32e87100fc053ccfc9c8d7504bf6ffb2,,fd31266698f2534033e142e0d0150f7864db5ccb1085c8f064a9e68596a51e61,Tests_timedout,0.0,bd1501d30bc5bb196d0479aaa42b7c13a399c389cfcfe23dbe8881916c1eb2a0,Tests_timedout,0.0,False,True,False,False
12,refs/heads/master,ce550e89a2758c4a69da77242ff4bb4a2fa1756f,8018355cdb5a497e626244a2067965e593c507df,2b9e35fd630861068858488f7631ab51b1b5cf1c,,ca1049a8d3702ed399a51679741b22d17319358fc9312aed9034dd7f3cdc37ce,Tests_failed,0.0,7d47b51dce4c65d42fcf84a03c2bacc4385bf26f5f1f892c3dd66645d835e756,Tests_failed,0.0,False,True,False,False
13,refs/heads/master,3c74ecbc7fa4b4d22ab1d56cb210c709d555efb8,83840e3c59692e6b7693c4192a40a8e609332521,fb9e6aa6e659e762a667928ec2f8443a3d7409b1,,ac8cac32ead12439670de09f0492ac0855aaf25a8839c7ebd31348e276d64c0d,Tests_failed,0.0,0d6a47d78550c30c00edf6fb9fde68e1c980a05a332e26cf8d18b7688a5029d9,Tests_timedout,0.0,False,True,False,False
14,refs/heads/master,d46fc71013a50d784f146250b649a1a9f38a19d7,a737bafac41341887515c15c32bafad35269b8cc,1e8f48dfe20127ca9c061db2e1ee68c61e74235d,,be883f3fe0c68e63dd9066d148d95078e90f5be67822fc5b5eab60f71e5fd559,Tests_timedout,0.0,11a24577f95915a420ea81b9fd56636e89e55b0e1fe541349a091ae725810bf7,Tests_timedout,0.0,False,True,False,False
