idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,left parent test coverage,right_tree_fingerprint,right parent test result,right parent test coverage,parents pass,diff contains java file,test merge,sampled for testing
11,refs/heads/master,5df481361d66f38f91b00ea27c1303eda8841049,9733482a312cf1168c22163d580efe80fd680d8b,7474d72b1391319b75655bdc67aa4719175d414f,,a7f699fa3279c974697b8e73e190a9c7c6505ba63022df6863858136cfdb85db,Tests_timedout,0.0,6c1e3e549ab0aae0d7d800cd5a87f9994893b48ff464e2e74f68065b042a24e9,Tests_failed,0.0,False,True,False,False
17,refs/heads/master,984f265bb1fa52a50704a3a8b2be7a9e8d1232af,7d22663756d4dbb7a629cb4129c2faf60ef587ed,d1c692e72e5ed15c4c8c380559f9e3c2df162d1d,,3dfc511cccdeacde27e8ea153182f6456c407f75d0788813f40340e5d4fd8cc1,Tests_failed,0.0,cfebc72cd7b0ef3a69d64e71cbdb5b4b887d0d9b4eb8111f25b1cc24e68a78a7,Tests_failed,0.0,False,True,False,False
20,refs/heads/master,571e4d761ad317119f524697a718d7283477a776,b13c3273f0d90ace753ffe3ca03660240a1e4b0a,6468eed0f4ea4bb09801940ef000689d8aa23dcf,,9241fecdd5f034c60748d78da53b442f9a20a1646a2ca3dc7e90812b2ce97957,Tests_failed,0.0,e46645340657bc9bc6bb30828f8a87a9e1f59dc81fb297b170a76794b081fbf6,Tests_failed,0.0,False,True,False,False
27,refs/heads/master,0f19d53dccb50f253750e4ec6124ae4cb3828aa5,6f959e3f1f0b7d1af772bd62cf1f8365b4ac4398,1554fe01e72cfec7339ac72d4c2685dc1bc4a3da,,7bd524552539d8e7e26c51581948a19d8c4d1ddaf2e1ed11fe6e61b1b3e3abb3,Tests_failed,0.0,52dd4499787b4253af3c7c1fc61fd62bf05304ce44f95fd229ed41a672d88350,Tests_failed,0.0,False,True,False,False
39,refs/heads/master,55278bb653844b2be5899782935e5d32ee9743d0,4d1eeec30c6204ce5c048391d9a33cc7b774dad6,e8274b582354c23125935634d080d8d4104f2ffb,,6b04aeef0bcd6e4f10a9a8784fa02032514f63094bfba2010be5db476f89927b,Tests_passed,0.0,45070d33771099823714dd22c26514a4c4a029c9527fd14b4d5ce760e87dcd0c,Tests_passed,0.0,True,True,True,True
57,refs/heads/master,0e4a46f646703819ac041b3b1cf76e66e3f49761,34ff8d8583357ba71384e52df7421ed5023292ab,644616e400f8ee75ba1d00bf6e8f05c3e3f55535,,a33cafa8f5fe3c201327cd66b28535ad8bd9710253b1c18ea2e74995e7a5bc26,Tests_failed,0.0,f10739930ca7f307fa0bc2d39b21cef76320a9775227a94f3930cb0ea3cdc109,Tests_failed,0.0,False,True,False,False
67,refs/heads/master,798e0eea49769e2f5c5dd29628b3c99df7711d96,bb5780b7b048c00798c59e63fef98d29dfd3af34,865acfb2e82eb22bf0e96d1d86df348205089571,,c6b60cab6b2dc01dba5ac2949e97643fa709c956273e7877c9bedec702cd3d78,Tests_failed,0.0,b67b553ebb39d3c91214974943689c7604c27e507d78856469c693bfc1273532,Tests_failed,0.0,False,True,False,False
79,refs/heads/master,b481261a35b1f41502a64b3224f6f9e46e467da4,921d2d31d6192bf3dee5e977bf7c8435db15bfac,f49e59b55927d87ad3faa2470fd42262be6a9bd7,,53a4674012f9027656ce1d86a859f87d7e694fe403a430b7ba99c2b0a245e3d4,Tests_timedout,0.0,1310a905b1e0ef69ca23ad330eb32f9edf75fe06114defd2a926ee5733c73878,Tests_timedout,0.0,False,True,False,False
88,refs/heads/master,1121be06286afae0ad58fbcc42b0a952dea7c33e,1856a5f1a1f698b3f76dd46791e0681ec434e294,2e318dfe583e07213372b76500924264bfd0f9af,,3c11c43c287df1d8d3bf4eb0a530a6fbd7d8ae395f40c985d9c8070347fcb6c2,Tests_failed,0.0,134a64166a7e753aba0f4132b21ef7ee656339a201fa265da4cf7911995a3e3f,Tests_failed,0.0,False,True,False,False
90,refs/heads/master,796ce39e212399d6eab05d82368a53c336d778e0,3ed69a851ea699d6be130bf82c102e475cd4212c,71180549baa84c590c02f062e0c01a5358f4b2cc,,0a75dd3d5739fbc88e22d3aab043e269ad1283373d63d537507561961bbe32e9,Tests_failed,0.0,4e439c827975d78e6279dee006659ae65ac5f20eeac37ee2ca28ace9cce33653,Tests_failed,0.0,False,True,False,False
