idx,branch_name,merge,left,right,notes,sampled for testing,left_tree_fingerprint,right_tree_fingerprint,diff_size,diff_contains_java_file,left parent test result,left parent test coverage,right parent test result,right parent test coverage,parents pass,test merge,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
42,refs/heads/main,2d072bae3add0fbdb74766bf9fad9fc54267a844,9e6f2bab20257b6823a5b753739f047d79e9dcbd,9c30b0e20389dfce7baf897685677a7ed42e42f3,,True,bfec074c2d216efbf65ab865cf9b4d3f4b357325341106b209795f35cda7957b,e12c5b5882ec83f73a8595b9342b0e06932e287f562d3880f58d7e055c1ebc6a,24.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30,Tests_passed,7dbd1ab9fd8012189721f3042a996b3fb14f01af88ebc82e6578ba7efca3dc30
48,refs/heads/main,21ed8b4cd6f054ea22e4404cf591603aa701f721,0636635cbffa08157bdbd558b1212e4d806474eb,4512f31c698d41cdd97144187fb3ed3b94102768,,True,86b7b8f0958c78136814fc9ad9a1cf31e62ee16cd4f7ba1557296225d8139549,a4f5c04593b72ebaeccdb8c063070314311533b48b8216ba18475d67e9d16c8f,18.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0,Tests_passed,aba0843326d888b07e69bfb672d6f4f5faecae9d6fc255761d576f194d1c7eb0
55,refs/heads/main,b2c00a3b02eec48ed621fa7cfec54ac6da4aa48d,c24af304077e4a6d1925db7cd35d0cd1ed488d6a,1f859ec769ed3a220bf8adf2423ba29b44db94e2,,True,32becaef8ff405f53640852e622e9b8a1aaa2c5ca20d6bca392625b426789c28,3645149db492ddfed6f09ca3c490503ea38bd303a91357d6dcf8eab1d8078465,178.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342,Tests_passed,43a03c5735945c6823e2c436e5c1de76a2b22f37208347065813541743c42342
72,refs/heads/main,0f66f4fac441f7d7d7bc4afc907454f3fe4c0faa,6f6af8050799bec5321d2c06cd3230daadbb6535,ab40462cc76f6708e3ce2e981f5c6b485347702b,,True,3f3457bcc0b2ffcc00d7d5fe3d5fd598f2bd194910a0b193fea5e83065d6cda3,60e9b7a1d75b370c960da0212cff6085fbf71917d6144c487e5c8aaa17319dbc,22.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a,Tests_passed,6ee9d8e9cd16f52622faa14b4eaf28421d44568fd0a17eb26a16cf0ef4c01f5a
143,refs/remotes/origin/date,daf9921e84ef6dd8548216670ebc29e8cfa09770,449f9789c3a088c4cddf878a09070d85bd100cf8,ee8d6be59ff6f2466d65be746b96ccf07ddb9ddf,,True,4a0ccb02e6dad955816aedb01a7ef296704959ee6bb66f7f8beea1cb2993995d,b62e9732f70769e1c79709bd40ffe18f7083b5a2582ae9ac50d261d13a04e273,99.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6,Tests_passed,27bba1c6f2bcee9b18ec2d9fe2d6b5681060fa3a91f2040b5955c0c52f497de5,Tests_passed,ac6a1cf65a5fff878553e849880fddc8f2ec878a0d4dcdfe47bda0497e9283f6
147,refs/remotes/origin/pull/1029,952412f1c6da320e1ccfdce1e79b7798cb46ba64,7d15f6bae6f3fac49f645cb1d60a3205eea978e2,ee691fba43663d1715752a7642f4b4ece1738567,,True,d1851b6d1af49402f23f298474ff3937f2808b554e7013e74a2dbcee8717c3c0,e70c33cd42e446551a362d1390c22a951dcaa7a5785eead4e9ab515d7e9a48ee,360.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d,Tests_passed,48ac1ccc461c06ba1174bbdff046dba57cdff0306b8733b76bef4945dae81f06,Tests_passed,523de6002c55dda245bddaa8e4d415afb0e23eeaf9fe5179a31ccb76cb93912d
148,refs/remotes/origin/pull/1029,3b9724dc8d50cc726b2a1d44808c487020c92ffe,1d399edc4722eeefc017b1abf228e5a0846b7681,8101ab74e99f52c5a8feb788914e3a4efe0f17d7,,True,705414f39758d0b51358eceac69bb5b6afd1aa5054cadf1c5023e5972a0c1ff7,b5ead4802e0ddfaea3c0e857f0a1e08fe23b24e52a99c7a97f87590cbdf1b9a4,23.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,705414f39758d0b51358eceac69bb5b6afd1aa5054cadf1c5023e5972a0c1ff7,Merge_failed,,Tests_passed,705414f39758d0b51358eceac69bb5b6afd1aa5054cadf1c5023e5972a0c1ff7,Tests_passed,705414f39758d0b51358eceac69bb5b6afd1aa5054cadf1c5023e5972a0c1ff7,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_passed,4d89bfb3cde8d32380e2bf079a89729302509fe1b5285b077177690b9e281b57,Tests_failed,585f36a648033d09b20ee7d20c1b37ffe9d036ae7e6983eead6e711da4cfa49f
155,refs/remotes/origin/pull/1307,f819516ce1bd9bc02aba4b0e23b4bcd294e53c44,7cc83a06f8aba6bb4cae14e5e1af6f841be08d24,0cf6c4dd1fe434cc50b70b8ee007bf09688a522f,,True,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,651dc99c064d682254cf99a15e33f5492e064939b266dd25b234f75e1e124ce9,392.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Merge_failed,,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_failed,363c3978fbf73630d2b4cbbad6ea209d04bdd43bba7b5a19f02f5c9894497b76
156,refs/remotes/origin/pull/1307,1c82d738a703b86c09e226ab4d1cb6eabb82ba5d,7cc83a06f8aba6bb4cae14e5e1af6f841be08d24,0cf6c4dd1fe434cc50b70b8ee007bf09688a522f,,True,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,651dc99c064d682254cf99a15e33f5492e064939b266dd25b234f75e1e124ce9,392.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_passed,bccf5623a4ba449e88b7e5a588d4cd8d13a204affc1a609d14d687e3fe05bc20,Tests_failed,363c3978fbf73630d2b4cbbad6ea209d04bdd43bba7b5a19f02f5c9894497b76
182,refs/remotes/origin/pull/1787,3d2b33a188a814462fde833c95db316914f774ce,767c10e8302a5a01fbff0f8af7a36c6147b785cd,e614e71ee43ca7bc1cb466bd1eaf4d85499900d9,,True,ecc13f67c24e485cad374e427bd46238fcb72ae910bbf58a9483d988ed3ca8e6,3f6185c4c45f218d0f1f6241326cbb1f05e20b7c43b3cd69f086237d2f7adf68,2090.0,True,Tests_passed,0.0,Tests_passed,0.0,True,True,Merge_failed,,Tests_passed,ecc13f67c24e485cad374e427bd46238fcb72ae910bbf58a9483d988ed3ca8e6,Merge_failed,,Tests_passed,ecc13f67c24e485cad374e427bd46238fcb72ae910bbf58a9483d988ed3ca8e6,Tests_passed,ecc13f67c24e485cad374e427bd46238fcb72ae910bbf58a9483d988ed3ca8e6,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Merge_failed,,Tests_passed,17c08dae5ad8ad7fbe79303ad27c94733232f28ba514daf064ebe24c95f8201d,Tests_failed,0697f33c266dd2be14664c35cfaf3d077f8d831c1680539f2088cf251d0163a3
