idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
6,refs/heads/master,055fde77205a0bebfd8d24a4e7788889017f0406,9e705ec8a6d9c2b9e941073bcb5df6045a63e29e,83f1db6a0df05b1d4c304cec2bf8de0f2595acca,,e06ccf19c7f22abe38459ebc4667ac1d8d99cf6e5f9a3762d679093048a395e9,Tests_passed,1a1d8e291cf6b0975e843ffb6c35a901c2086c36d3b67b78123ad1296c975860,Tests_passed,True,True,True,True,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Tests_passed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b,Merge_failed,b9365b2f243824f393f79ef93c81e30133c434a02c78dfb2e5ea8f5a8ee1199b
10,refs/heads/master,06ba6e473ca9c3433ead8951cda425ecd279e59e,02f7f4aca77b28fd540fcdc2ec31cf19786f4352,655910ea0e7f3e5bab994981576fde6711ea9073,,084d210fb31d580f7b458720ec79fbbd6cb9872afdd3b990239cecd0cd964aed,Tests_passed,478e9b310b6d68202fd5cdaa3ce86042b338dfdf33af774163a97177f23c7182,Tests_passed,True,True,True,True,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Tests_passed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d,Merge_failed,59f9ec893793cff778847324bfe1120534f60539ad5bf86a54aaefa4bee1934d
19,refs/heads/master,43c0fa74aef572bd6b11d82cb0811632f272be62,f5c17f71308faae92b1752cada2345af3aaf3735,8e1956b71e20527cc73fa7e20eb910c7b4c5dc18,,a9d5215e8f4f3466a1900881a311de13063cfbe85d0dc30aa51221b03f96fdb3,Tests_passed,5142a6d353a0cb6267f0bdd57b1fb1cb5cb6271180946ebf601c3ffe72df5dbd,Tests_passed,True,True,True,True,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f,Tests_passed,10caad2e4ac7800df1a67a3d9c9c5702858a3b6dcd99361bd3cf269e19a0007f
22,refs/heads/master,13f431a7c842a14455b3ec7d42c6462bcb3ba7ad,658e359af211efbba6909e0980aaeec78f769958,9a49feeb1f980fe49cddc7184683f94721d5f15d,,710d99af58db15e89847333e19b9317c88e44a762f3f97d690451b722ba08b64,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,True,True,True,True,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2,Tests_passed,27962111d9100d95e60733ad12e122b739a8f483db68a040d741750728b2c9d2
23,refs/heads/master,103c69e450902c5b3c6a1fa05fa73ce4fc713715,642dbd37a8709f58ff9e0ee870fb1f04b24754ad,fbebaa8052746dd16ef521a84acecfe1b0eba67d,,58ecad3e137ea736d47468865becaf9bf44c48a7149ac7de1aa9ca91a2e12338,Tests_passed,5783b4af2a136203a7ba541efc1f0b8ca2be87e818fc695ff2b50b6943ebb696,Tests_passed,True,True,True,True,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8,Tests_passed,773b8abc0a415785425fe5d8c4d46b07c5f6548a232d67c1ea9cccac9b82cfb8
24,refs/heads/master,bb31da459829ad35a58ca9cc24312fd2e2e10555,1975024f7564013af89e0c4092f979f54c01127f,6cf51cd08f3b4b70e3d33f0dc6243a1430f3d42c,,6b26f7815d7b19e093fd1fb9d8af23be40571b0fc9d54c50ded31811c998f4a3,Tests_passed,a6a85798756a7b11966a9408b484b38a688989c60e632cbb074a76f391b09d6d,Tests_passed,True,True,True,True,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249,Tests_passed,0fe2a9d9bb503dd94efdf3a4aa4fbb1d8c0c6fb3eacfad5bdbbd9c44198d4249
35,refs/heads/master,28512987858c24b05aa738072fe1d53a48bf1486,780110dc7875d9a32c1975a53254bf67e4e84944,8b942f917cea316b3cf8b247695b96147cc62651,,036bd128d0b5a735f799f8801bc1d3dd9495c92c96bc0bd80201e4b49594e384,Tests_passed,c0ff7a2a4dfe6b942d1278a14cbcbb9dba515d2cb5a0b69713e7b09a36c824b3,Tests_passed,True,True,True,True,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b,Tests_passed,8bc7bfd93be663cc48329e52d65451e582e8a8d892a39886eb04d922b0998f3b
37,refs/heads/master,06ca8b701bd9a729410b715a4b9da7d4e08f6935,f324c24029d6c7623c869e07ff841d69e251a1c9,bd844ecbd50ad374a0983c35ce41b0d9da118a8e,,8f51eb013bc40065cf55caa3c232d7173d4808d330acfacb2ba2b3a265ab6fe3,Tests_passed,f3cb0878c138aa8500acff576d83fea4cf12db86ded788569f969e4520e2274f,Tests_passed,True,True,True,True,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104,Tests_passed,fff6e4eefa7035a0371d1563307e32af856531b75611e084eecf461daa41f104
40,refs/heads/master,ec81202b92efaf3f252edabf239563cd7818958d,8d159f700c6db3a9830f6fc2c9139843328473b8,8945e758534543c663145ec62ca29181a1f49e74,,2c6c2e2b62d9640a7d072b204d81c46d8b5f585f55bd7b34c0c28cdd464297a6,Tests_passed,acf4571e5d831d23285b2f99296c16b8747cae2d8d0416f4b21432db5e48c2a6,Tests_passed,True,True,True,True,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6,Tests_passed,c1a3d107cd593c689f96761e1b90cd39eeafd93244e15e84eb7dbcf40fb098c6
43,refs/heads/master,271daa9061533e9787958642f6ea7ac12d501dfb,a422d5f4d87c649632034520ceded08823fd716b,83d08ed850276ab2944b5b38d224f36158cb656c,,6f6243554713f29d63fbe66a186f0c980e10b9e22761e23fb0edb6f47c13061e,Tests_passed,6d29175d0091364b94ea7fd174c322071229345a21fdbece228fbbc9bb15725b,Tests_passed,True,True,True,True,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30,Tests_passed,fe5f797785cf4461bc69e43b8a976dbb2a1f0862232c4f7892565780ba2c2f30
