idx,branch_name,merge,left,right,notes,left_tree_fingerprint,left parent test result,right_tree_fingerprint,right parent test result,parents pass,diff contains java file,test merge,sampled for testing,gitmerge_ort,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_merge_fingerprint,spork,spork_merge_fingerprint,intellimerge,intellimerge_merge_fingerprint
2,refs/heads/master,94570ccbf2279a3f67c95664248221d0de291b7b,81e42e7f762bd8e05b436dbde3d013fb31632f26,0d9cc56f01f0c312ed8042cbe276df3b4ff39392,,214a6227c22670474aed98ec2e356fde1189e1cba73f2e91f9006bfea7a96a3c,Tests_passed,2402a308b60cb70200901fecbfa778527932ad10e586ae97a99d2449b03ac767,Tests_passed,True,True,True,True,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35,Tests_passed,fee9e1356da5f6db5b5e3b5869a9e8ceacd7b001449af452e37a550ba6156e35
9,refs/heads/master,1bb783822860c78e9daf8c7155f3ad2d1814a51d,0a9b9cb33a0aa3062c258c695af4eed6fea72f22,8f638757d22b46bdbbb9f93adcc4475b68f7cf33,,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,1644d6012d5da7860dd14b1f17eed5e4c5198cfff88d0961dadf69f62f08a250,Tests_passed,True,True,True,True,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9,Tests_timedout,7cb3c75a6690b5b5a84f35b1f6747ce78026fa1fb8e210cc0ee25fbecf8b3fe9
10,refs/heads/master,0a9b9cb33a0aa3062c258c695af4eed6fea72f22,581e6ed87b1e4ac3d9fa0abdab85275d60983626,52d75dc2744669e76f568759df6ba34f6d308aaa,,9fba07228642c1f29485e0377fdd58cca1d0235478f9b03269c1e334f70ca0f5,Tests_passed,c77f0f9a1031e8048d216b551738c8bbb26d59df9265761e6929b4d8edae8e31,Tests_passed,True,True,True,True,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb,Tests_passed,dcf2a5bf8be5325dade535810ef47c8f07d379cc7b035cb0a1c38cbe92b179eb
16,refs/heads/master,f15a14ed99f072c3de68437c231348d71f60b23f,93c93f387c6fdc03ecbd14b7e00f3e1903d435f6,73363520a8a7bc74619474b0f2b25b270cb4f9a8,,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,f8eeadc91632a3f7d7fb2e705891910e5e9b1f6d7a36be2a2fc6cde7e422e279,Tests_passed,True,True,True,True,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35,Tests_passed,bb5b8733d5954ee84cddc4a2b8678fa470658300240fa8e6d8de1d9cdc5bde35
17,refs/heads/master,93c93f387c6fdc03ecbd14b7e00f3e1903d435f6,60df0802b5c8b1e4ac6569ac23200e734c9a60c4,2a5ac5bae5da83c3e6b2fdf1ee70f8f517b58122,,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,ac673ee00deb49674e16af53598dbf9fea9654111866e7134e05c438db87d53e,Tests_passed,True,True,True,True,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829,Tests_passed,59585c32835f7b146158726a4aea2fcaea3d3716b80c0a2537e8e78335fe10a6,Tests_passed,6b2d2458e4123fb0fa4ca1062945b08e1410ac85c716c95805c15804a14b3829
18,refs/heads/master,60df0802b5c8b1e4ac6569ac23200e734c9a60c4,dd95d38b7a25ff819701ee61321f7d23e3e8229a,70cf02273f93aded10a1aa5def60491de6eea5f6,,0f15eec956fcade4710cb2081a1521cd23cd6ecd3569e8af9ed9d3fec38a217e,Tests_passed,f1e8597ca2e475d439aef6cdd8d5697224360134ce25f768fde26f0369b6d188,Tests_passed,True,True,True,True,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2,Tests_passed,91c7cebeddb20d8000c9599da935bcf55e13bb600f19a0b7871e8e6d48051414,Tests_passed,6d4763f0904fd1dd55b956ba820be1f5ce7bcbff0742c41f6ca620d9db2ac0f2
20,refs/heads/master,9c99ac931af4f406f8733cdebbc7932c0d28c54c,f717d716adbf032ba04df98f12103b045019ac29,df343858e21b3ff4bbd0855f858f0005f55b9a1e,,0ca2637dee6e51cf844bf5313513177896c08f18e26b1a5f091bdc136795289f,Tests_passed,cd64809f31b8a9393612e90a3284142c976e6d6026c381d6f211b589c6fa9eee,Tests_passed,True,True,True,True,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539,Tests_passed,2e2fd2c810b1da22e9f41d899106b6488011e8c98173a0c41eb00cbdeb7c3362,Tests_passed,47180f09995ab172edbbf059194a0c3463bca338943cbfc7a6fb11194d9e7539
22,refs/heads/master,4f481b836048a4e23196049bbed5945962e0db21,093153bf5247d0e347061999f3db198f9feed7b3,238af918ff7b38721bef079c2873d598d19a60ac,,ecdfe15aa66963e9233805ca15a25d5cbe92bda08b4009cfe6c2212b5b65429b,Tests_passed,7d0f45233dcd9880dc754ce3c1b4e66bfaf4f9090fea0d9073d2aeb92e4576d2,Tests_passed,True,True,True,True,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4,Tests_passed,2496c3cda984620da594374e33a06875e48dfca928b49c5b7d8d910cd81443c4
27,refs/heads/master,79ffadef8f9200893a5df55480b8cc920e77a394,599720d31a88934d417abbbdc845b34c7a7e7583,ff74bc287bc2addfa3d41ed1c563025aa22eb8b6,,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,74892d2868808128b532467be08520034948896375f6422d8e7a13d02338ae34,Tests_passed,True,True,True,True,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9,Tests_passed,f6ccc78e0da0f85a5fb0feeb6ed94f5da145f7625d30eceb39383711122a33f9
28,refs/heads/master,599720d31a88934d417abbbdc845b34c7a7e7583,1b377cbd4bfe63a3628d177ae74adc422185eaeb,9d58d7613f108217aacc404c9dc60ccd197c233c,,e00d79fc9317bdb1affedc661a33f8b984a3a5f778b2652b5f9deee6cac51a94,Tests_passed,2ad41e1496f8698f9327d031f25c4ddbe7a6a76d1caf7435d726e5cf3374f98e,Tests_passed,True,True,True,True,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8,Tests_passed,7f0145e9e38dc739f61b807fdbc1a18339626b106a030f25a2e255d8d8313fe8
