idx,branch_name,merge,left,right,notes,two merge tools differ,left_tree_fingerprint,right_tree_fingerprint,gitmerge_ort,gitmerge_ort_run_time,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_run_time,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_run_time,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_run_time,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_run_time,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_run_time,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_run_time,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_run_time,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_run_time,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_run_time,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_run_time,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_run_time,git_hires_merge_merge_fingerprint,spork,spork_run_time,spork_merge_fingerprint,intellimerge,intellimerge_run_time,intellimerge_merge_fingerprint
1,refs/heads/master,1697d6c546d47caf2e50176dcf1cd1ae872f6b69,46240b5a46795fbf287a0c79500b7ba0afe49b3c,6f8b53d64d6e13732daabc59c4a0c9bba517fc6c,a parent is the base,True,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.028046369552612305,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.026702165603637695,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.028272390365600586,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.029143333435058594,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.026287078857421875,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.02891063690185547,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.02789139747619629,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.028881549835205078,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.02908468246459961,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.027231693267822266,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.029355764389038086,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.022642135620117188,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.04523968696594238,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc,Merge_success,0.4474794864654541,6f5c1b6f17574bf54a6719afe607b4b42e99ed197a431f0a0805998e3573b0fc
2,refs/heads/master,46240b5a46795fbf287a0c79500b7ba0afe49b3c,668b1b80b5b682ec75210cc97bff2f33c2fc0df5,0a3d549f9a02e594f78b65e886f0f42486cbeb10,a parent is the base,True,81f1baf623e7368b317936d04fc52ce6e8af01422b1181fbb0901d5c7599b309,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.025202274322509766,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.026767492294311523,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.027639150619506836,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.027566909790039062,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.026227951049804688,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.028233051300048828,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.025732994079589844,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.027203083038330078,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.027393817901611328,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.027197837829589844,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.029377460479736328,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.0243682861328125,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.0453495979309082,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0,Merge_success,0.45877528190612793,73151d2fd372458ecaa19f285cdd5e784f090c7a86da69928ae823b14de23db0
3,refs/heads/master,543fbe155b86226212bd4b9acd8eed8930e0cfc8,babd767e0edfd2f09eb7912366d8e593c60914ea,ea41a47f55ee137c16eb583801dd829453e64fca,a parent is the base,True,5149f055ccbd4ec98ef7428a7e6edf1b045993e90713ed06564b6a150a206e6c,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.027557849884033203,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.026816368103027344,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.026631832122802734,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.025148868560791016,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.028501033782958984,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.026250362396240234,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.0263674259185791,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.025496959686279297,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.026606082916259766,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.025350570678710938,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.02768421173095703,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.02142643928527832,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.042856454849243164,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2,Merge_success,0.45086193084716797,f7556c8794949ea358d8324478db833fa69b71117f7fcc697671872133ffdba2
5,refs/heads/master,3b301d89b7aee1b460e8f3d6b2109997fedda217,4bb8ff20b456843ccb8e1c0f62fc615465be6c01,8ac0213e642994de793d1f6a389779771b41b762,a parent is the base,True,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02513432502746582,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.026424646377563477,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02721691131591797,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.027249574661254883,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02611398696899414,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02852034568786621,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.026596546173095703,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02439594268798828,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.025123119354248047,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.02684330940246582,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.025511741638183594,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.022663116455078125,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.04355478286743164,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b,Merge_success,0.43261146545410156,6d5059fc56bd362f6983f23598f3cbd94dc9191fbd72f32993e121fb1e08d87b
6,refs/heads/master,4bb8ff20b456843ccb8e1c0f62fc615465be6c01,c00a6bae606a3dec3d4605971bc32a082460b599,9ddc28be8674ff99830cf9e574ee655a213aefe1,a parent is the base,True,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.025402069091796875,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.02568364143371582,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.026467561721801758,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.02587604522705078,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.026081323623657227,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.025022506713867188,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.02538895606994629,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.024318218231201172,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.027252912521362305,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.02689361572265625,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.025149106979370117,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.021599769592285156,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.042366981506347656,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53,Merge_success,0.42789745330810547,64475423b12b1875db538a1904a3620d4f56ce1465c40c53827491d3f8849b53
7,refs/heads/master,c00a6bae606a3dec3d4605971bc32a082460b599,109d212f252eb9914f74ef5d8531184fc1c134f8,2d80346f1c872222721beb3f478909ae4b31ec59,a parent is the base,True,8580af92bee5d48cb80e6b71ec79517aa4d109ffb0d0ce26c1b0e75f8dda3b39,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.02535700798034668,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.025127172470092773,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.026219844818115234,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.02662944793701172,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.024683475494384766,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.02546405792236328,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.026226043701171875,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.025967836380004883,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.024492263793945312,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.025876283645629883,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.02585124969482422,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.0205843448638916,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.04437756538391113,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72,Merge_success,0.4232289791107178,7abd854ccc2aa4bee3600dea925889e3e89ba51cecccc3f0951d05a74bb70f72
9,refs/heads/master,01cb5f5eeb678f2debb1e83d375a0ae0eb86176c,41315c2c4df1aef2e2c1a5f83622e61a5f63b077,6166b41201b66b34480f71581670b8eb40556a63,a parent is the base,True,ca7a7c1699552bd4722ca39cfd9f14281cc55b2479a88075be43b55e985ad424,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.02576303482055664,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.028799057006835938,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.027200937271118164,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.02669835090637207,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.02700662612915039,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.027657508850097656,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.027101755142211914,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.027930259704589844,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.025031089782714844,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.02758193016052246,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.02795124053955078,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.021910429000854492,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.04798531532287598,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce,Merge_success,0.445845365524292,308fefc964a87bcb485d635e83b23377daebe9757b967c0dcf3f41b9f7cad1ce
10,refs/heads/master,59209e27f13edfd5c8134b92980a99c19e5eb0aa,a5b6ec753614c8f1fde99a373dc7ee4fce260f46,bc99272791ddbc18dca91cad2d1db4b900a27aac,a parent is the base,True,318c0e8b31f1ae39f93284d8b45e9d140b65b40ad6888f32f7a00aa777e39c9e,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.027537822723388672,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.02957630157470703,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.0269010066986084,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.028816938400268555,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.026634693145751953,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.026596546173095703,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.027449369430541992,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.026881694793701172,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.027979373931884766,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.026262760162353516,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.027629852294921875,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.02232956886291504,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.044345855712890625,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379,Merge_success,0.44673991203308105,a0b069f2d500296f95e0a2b3bc54d5245b5c343d2814c38634c22a9a4718a379
12,refs/heads/master,942855f7cf87620d470d1d148b4e301c8e67302b,6df4ec88db74971981f0ffd710695165d22682ee,3d99eb07b3cec4f8848c29e4dff355fcc4834136,a parent is the base,True,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.027112960815429688,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.02663445472717285,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.028922080993652344,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.026879072189331055,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.027970552444458008,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.026207447052001953,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.027934789657592773,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.02527451515197754,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.026236772537231445,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.02542257308959961,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.02635359764099121,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.021355390548706055,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.048282623291015625,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f,Merge_success,0.4180624485015869,bf9882134187c0a006861fa841a9ee42c0a857edc97ce9f6cbcd000231178a5f
13,refs/heads/master,6df4ec88db74971981f0ffd710695165d22682ee,785b12a1bfc5aba1c23ec17c604b0d44ae89fed9,76aa80a38210c23ef45cf5522bef03ae01be3f41,a parent is the base,True,4455fee66e18628db01a50a6b086e775d5798e71c726257353b9f4457fc19a5b,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.02712869644165039,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.027024030685424805,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.027720928192138672,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.026890277862548828,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.028086423873901367,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.026053428649902344,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.0274198055267334,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.02515888214111328,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.026233673095703125,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.026900529861450195,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.03095412254333496,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.02273416519165039,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.04592251777648926,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477,Merge_success,0.44831156730651855,cee720fd473561ab55fc7a2dec41f7a7d3c9475a5d64f2f217cf008936b2e477
