idx,branch_name,merge,left,right,notes,two merge tools differ,left_tree_fingerprint,right_tree_fingerprint,gitmerge_ort,gitmerge_ort_run_time,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_run_time,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_run_time,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_run_time,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_run_time,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_run_time,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_run_time,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_run_time,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_run_time,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_run_time,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_run_time,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_run_time,git_hires_merge_merge_fingerprint,spork,spork_run_time,spork_merge_fingerprint,intellimerge,intellimerge_run_time,intellimerge_merge_fingerprint
1,refs/heads/master,81e23402409aac48bb427976bdcc9c4a41aaeb3b,57973f34d9b167ccdfb1bcd2a65fbccc5838c2d5,598e472ea030514bfbcbfb5a59855bef7c963f26,a parent is the base,True,81767e3803c3a6e1ae651531b04d64acacc9338b5fb71d82f44abc36cd372109,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.028076648712158203,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.029924869537353516,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.0290524959564209,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.030275583267211914,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.02900409698486328,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.029044628143310547,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.030039310455322266,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.02901768684387207,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.02599811553955078,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.028010129928588867,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.028883934020996094,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.026777982711791992,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.046285390853881836,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654,Merge_success,0.4768035411834717,723b05bd54f9632cf9acf6201960879bf4378f90a04dd8a07a57bd3719d8a654
2,refs/heads/master,7fc8494c6c0d96fa16a2e1db09096afc89e65953,de5a9a89a059475b53ff335e7c0598dfc0d7dfc6,3d68111ec42f3a4390921b917085ac9b33a629a6,a parent is the base,True,852b805776b7d3f42e2b946f691c0b217efe61ee0fc50aa8aede22d2fa2b9f02,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.028934717178344727,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.027853727340698242,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.02840280532836914,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.027458667755126953,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.02759075164794922,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.02845597267150879,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.028686046600341797,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.02763223648071289,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.026877403259277344,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.0270540714263916,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.027887821197509766,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.023473262786865234,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.04566001892089844,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a,Merge_success,0.5387434959411621,678c688bac08058562df7761e51dbe3c4c632d357d6cdbe35a1f19ec52d5963a
3,refs/heads/master,39b051ed76274075232294b7522bf8d1257df859,0815a2a6a3f5e92a6d643aa593e9dbd842909516,e413c43e1a0e9bf4f7c56b6231e836fa38d31e08,a parent is the base,True,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.032979726791381836,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.04023909568786621,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.036904335021972656,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.03596901893615723,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.035977840423583984,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.0363316535949707,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.04039764404296875,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.034470319747924805,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.03538775444030762,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.03516411781311035,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.03714585304260254,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.03359341621398926,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.05360126495361328,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f,Merge_success,0.6356818675994873,2aee4681cd14cbadceea903c8994d6e10450303b4cf669b0a3db7d6f13fc8e4f
4,refs/heads/master,0815a2a6a3f5e92a6d643aa593e9dbd842909516,28334f0f065e9fd47ada3c5d678802d1a890959c,b1bcdb829e7ff584eed2657d1399eadd497875b2,a parent is the base,True,b86febb97043659083bd4df8a2b3ce5e757d7e8caea00ce6dd307f0f7e42af8f,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.028926610946655273,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.029744386672973633,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.029586076736450195,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.029180526733398438,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.0315401554107666,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.02929854393005371,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.031150102615356445,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.02852463722229004,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.02878570556640625,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.030155658721923828,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.029287099838256836,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.022872447967529297,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.045683860778808594,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2,Merge_success,0.547694206237793,f80274050784ece19f056e71810571c33baa0150c7006339df858adf8c892cc2
7,refs/heads/master,db6a1440fd957308aaaae80a7067196c21d882b8,356aae3e8ff41a30c2106c5772e482cf10a7c64f,72a0aa490661a40b38feea6fd7db7c9fa98c4789,a parent is the base,True,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.028797626495361328,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.02882695198059082,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.02852177619934082,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.027059078216552734,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.027611732482910156,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.028819799423217773,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.028595447540283203,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.027373552322387695,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.029086828231811523,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.027967453002929688,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.02755284309387207,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.02406144142150879,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.043241024017333984,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b,Merge_success,0.4803650379180908,77b0ae09f89febb2ad43ea72ec56035a0e904296f24636951f4b09b6312c744b
8,refs/heads/master,356aae3e8ff41a30c2106c5772e482cf10a7c64f,4c1686f6c94dad570e8e640672e30990d8915677,216785bf7c2d8c55abfa58335335dee731e84463,a parent is the base,True,e43f4265f669826be0f62f55e59f585c7f85a70d7d438f35910f4c96d7c8f5fb,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.02907705307006836,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.0296175479888916,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.02919793128967285,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.029987096786499023,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.030983924865722656,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.03211045265197754,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.03237462043762207,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.029474735260009766,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.030416011810302734,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.02818131446838379,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.03000354766845703,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.0243682861328125,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.047965049743652344,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f,Merge_success,0.49671077728271484,cd885ccefdfaaf6a9897754324e58ce879c8e08fb6b4c314a4c7105a1c45f51f
9,refs/heads/master,b59656b250ef6d3e86da0dcd911e07ee8d88484b,ea9341ff0ca32b9f3092c483c9ed8cb75f6bbe54,da0ee591578e5212777c88a822aa6bc10b0e5489,a parent is the base,True,4a82024778289983828bac7a30768f4d8f570db19b8f49ea3f140d1655b432fc,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.04015493392944336,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03718304634094238,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.035520076751708984,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03394508361816406,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.0353703498840332,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03483772277832031,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.034140825271606445,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.033451080322265625,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03385591506958008,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.0356755256652832,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03766369819641113,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.03151869773864746,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.05460500717163086,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a,Merge_success,0.5567758083343506,cbf743d0b4bc928dd16c5dff7ac879855a72c103e11f7a40e2f448d07edc039a
10,refs/heads/master,3360e963b4f70c7bf3225b3aa3ffff9333a9c4f1,90569b0004e830756d8f921419a511986b33a79c,b081e0b2d2ad20510309fd4d7b6614d169156de3,a parent is the base,True,74cfd79a5075796e36a5448fb5d96e14af00b0a4bb877815b3f8b010762775b5,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.028327465057373047,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.028316259384155273,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.026366233825683594,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.0269012451171875,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.02803492546081543,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.03242921829223633,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.027761220932006836,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.02653813362121582,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.026320695877075195,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.02786397933959961,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.027051448822021484,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.022722959518432617,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.0459132194519043,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2,Merge_success,0.470566987991333,f1423ce77b3d582c25112e62ccae93cfdb7ecc6fb5174b8e3aa536af69bba3e2
11,refs/heads/master,a0d7ba49d0287d203a5b0c992724e91983717977,2a0f73cefcdc37d8c88a5d7798b6712b432708e2,556f5de04d8bffe61e499e056d7e7eb0575444cc,a parent is the base,True,789dd66b4e6f1dc5fbd1d1674c06d2a9d7d36e792b03d1304eeabdc7c447fd4f,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.033205270767211914,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.030812740325927734,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.03225374221801758,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.031432390213012695,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.03345847129821777,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.029451370239257812,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.028652429580688477,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.030389070510864258,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.034507036209106445,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.030765533447265625,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.03169727325439453,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.02588367462158203,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.05029749870300293,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d,Merge_success,0.5570058822631836,01de029caa8557983e099befd07a0cdde52fe5fbb16d8f28a371caa42284488d
12,refs/heads/master,3284748abe8ce38d8180a1fda0b165dc2db1c66c,3deadedd65355a8d3427d692ed408e968bdb2bab,bbdff967568a8d924496c9652168758cb587384d,a parent is the base,True,c20d8967f965a6bca13c76816223a99d252a1ac76f9fb0255b6559ae8466a10c,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.030290603637695312,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.029378890991210938,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02805304527282715,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.029252290725708008,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02951502799987793,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02797842025756836,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02794933319091797,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.027650833129882812,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02860879898071289,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02807307243347168,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.029052019119262695,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.02351212501525879,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.04580187797546387,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c,Merge_success,0.46967411041259766,49b144c8403734b2cb79dbf2cfe3649c1014b0a43d9c64b66263dc857f45738c
