idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/main,c6040446dbe886384ec54f90ad5d24ee4d9acfb6,07e6ab324f6a320215e3a64181a5642b6b673c9c,9a13c50e914868d8e652d97ec2c1e2671709d8c5,a parent is the base
2,refs/heads/main,0ad6ffdd3cdc0bd0a8f48cef7ea30150309ed76a,5d6435cf40b88430693319a4b30275a72b165484,0f3b3f9ee62204213f57772cd518b33b9caeffe6,a parent is the base
6,refs/heads/main,1aa6d9ca93661a56d7f6172582e6bea484435eee,88e0ccf20e48dacc7528b7e684a255483f55d8ed,ce018fe6a0fc440f19158ee4bf161be999ff4deb,a parent is the base
7,refs/heads/main,96703690e60041fd115f627eeecb90d195c33d40,0fae29294608dc71a73b230d06642f0a7c5537c5,b761928654ced04ba2891ac61ed2727ff5c7bbba,a parent is the base
8,refs/heads/main,0fae29294608dc71a73b230d06642f0a7c5537c5,e824a22ae61ec739eec52ede71e553901321baef,63e27c2700fd23bb4e38cfc492d55389699957ac,a parent is the base
9,refs/heads/main,4307a9033328966728cf276a2b478d9f10ca2b91,2fb475ae95989e7abc418dffbdd9104c818302bb,7267264503b8926699bb00c855b35bd31f95c5e8,a parent is the base
10,refs/heads/main,2fb475ae95989e7abc418dffbdd9104c818302bb,5d02ecdf94615fe02f3bad02cafdbba40467e152,b780b71e5e4a59614c5d5b962101eda7cd0d3c4c,a parent is the base
11,refs/heads/main,5d02ecdf94615fe02f3bad02cafdbba40467e152,95a8b313e5b410155f24849600327679387acb6f,f8c1a95b63754d82924aedb191dc015225167dfa,a parent is the base
12,refs/heads/main,95a8b313e5b410155f24849600327679387acb6f,3293478dd704da64eac60d2b4e13c188a63a5fca,1bc6bdbbce91dfce1dc69feec0959ddbdf495da1,a parent is the base
13,refs/heads/main,c367100e6b34908a8cf9b644013133e94abdc4d8,7c4f902dbd20e398f734501426cdd2ec22df6d2c,e8b105fa90a032cda9794511e0c1db1b932987e6,a parent is the base
14,refs/heads/main,7c4f902dbd20e398f734501426cdd2ec22df6d2c,dbd1310eb33576611c7e368c4755a638e9d0d700,4d59a54ad06fda54295474ae9d3427b1e12a00b5,a parent is the base
15,refs/heads/main,dbd1310eb33576611c7e368c4755a638e9d0d700,ed87abaaaa793e36cb95c39dbb178f9f0cf59311,52415c5561f28e5d3ae34fbe17d269b5bc5dd807,a parent is the base
18,refs/heads/main,898ebab6d82b22e445311913985f2d13c5494cd8,d7023ae81b33fb292ecacb7a4be3af3e6032d18a,a62f0aa6f372bda4f4c0b7195d3652f7acb72891,a parent is the base
19,refs/heads/main,c81fab62e65932a83303ca5ee6a6f38c85e3a527,14091f142da81a8ee8a32f4fcf97b444166f3931,fcfce6f2ea3ef0f1a8921d8d4a67312d8771a25f,a parent is the base
20,refs/heads/main,14091f142da81a8ee8a32f4fcf97b444166f3931,23b903e2f282463057862d9288b1d0b6467db5a5,67412b082f750d1f7c89edaf374ac63e8df24566,a parent is the base
21,refs/heads/main,4e14655f45c0d51c8e3a85f6e8a08ca4c5940927,458840a0d71ecf4de03b92a477bb6350f40a514e,8e8a2952008b11f2b95c507f867ee90572ac3a34,a parent is the base
22,refs/heads/main,1f3d39f4b1395a06d518cd39da00089378d372f4,555893d28726c168ffd066cd6ca5432138ddf888,fb9765304c0c11c1aeaad17ca53fcf812a7329fa,a parent is the base
24,refs/heads/main,d5a8e3f7b406770933de29888ba863748b677393,46a215bd2c25dfbaacf3985341cfeabe184547eb,fcb7870a389a86ff09f2e5603d41b63a638384e4,a parent is the base
25,refs/heads/main,c18c915dd27018ad2cbfd62ee170d1cb4fae7a16,2f25863578460879294f67a634f7c94eaddd3eee,29ef00f24ec4efed977890243ff504f026a38104,a parent is the base
26,refs/heads/main,67ab24570ea520ad57feb6041726c5ca20e78eee,3a0eb3bea16ce5c263cd74ae9e5bbd027cbaf3a9,0247cfef9eed6009384d0eab649181591b0109b9,a parent is the base
27,refs/heads/main,3a0eb3bea16ce5c263cd74ae9e5bbd027cbaf3a9,c1694ec6e255bb7451c493936f4efe1e604c6ac7,ce0265c7e795b222a0013f6ddc9abf04f9f01a1e,a parent is the base
28,refs/heads/main,c1694ec6e255bb7451c493936f4efe1e604c6ac7,9d23bf934e9aab1ecb8271825988eeba58e8902b,a5a56e59c7e77aaaf918cff47e5348e9e52db27d,a parent is the base
29,refs/heads/main,9d23bf934e9aab1ecb8271825988eeba58e8902b,6dc762f47f502bd96020fc50e2fb69470c98095f,9221a8781238e141721134d7c9f5003aad5bbc08,a parent is the base
30,refs/heads/main,f8282eff7e877a98d3a6330e1be4cd649c8a8351,6ca8108f1e74f1fea91be3bb82979e0bcf10d671,dd106434cec5916765202d5d33204e9279778ff9,a parent is the base
33,refs/heads/main,22b1fa2b0e07fd1faf2665116e58704c6e1597fd,ec6ec09ceec846c9334d4d32a1e19b9857c5ec16,63d2f2dd69500416aeaa4e05d1b5927445e9cbd1,a parent is the base
