idx,branch_name,merge_commit,parent_1,parent_2,notes
1,refs/heads/trunk,9cabb9883311df912fdf4b2f7cb4c9a9032567bd,a4b8fe4ee14eb95125dc8afceb8baa4047782c97,2bcacdaf3b7600a1380831eaf008eb71bcd83361,a parent is the base
2,refs/heads/trunk,a4b8fe4ee14eb95125dc8afceb8baa4047782c97,f534359f84cc85bdc1f61342ffec68b597e6ca34,39664f0ea713a5fe799ccbfd24cb79e640f51ba4,a parent is the base
3,refs/heads/trunk,f534359f84cc85bdc1f61342ffec68b597e6ca34,034a7172106edcfb4ce0aa972c0d6885aa0a371c,9f93b31b27ba80ee2f77cf534c19acca530537c3,a parent is the base
4,refs/heads/trunk,034a7172106edcfb4ce0aa972c0d6885aa0a371c,65b68a12665122cef78c4db9a12633dbb4f5b81f,48d44bcc890c3ad7dbdd5da5b7459a56153a24a0,a parent is the base
5,refs/heads/trunk,65b68a12665122cef78c4db9a12633dbb4f5b81f,0aee0480defdf21bf98fbc565a91e2a1e0e01276,18655b85b4c27d378cede907a78e2026e7523102,a parent is the base
6,refs/heads/trunk,0aee0480defdf21bf98fbc565a91e2a1e0e01276,d823caa896857e5998cfd13eee44358cc37a5a3f,1ca0d0708f8dd6e953a72f0002c876efca1753ab,a parent is the base
7,refs/heads/trunk,d823caa896857e5998cfd13eee44358cc37a5a3f,dbed43418dadab1af994b4c983a52bd9c195c307,572b623ef1c82917124ecd5e3f932e1d53c6fbb7,a parent is the base
8,refs/heads/trunk,dbed43418dadab1af994b4c983a52bd9c195c307,fdbfe7c70b19ae08ef132fc5108fda366947d4eb,1de463720f0c67de61cc77fea65d62b3ddc90596,a parent is the base
9,refs/heads/trunk,fdbfe7c70b19ae08ef132fc5108fda366947d4eb,1e4af8e6866ae19350275a7098f95e426cf77b66,a993f070a56c7f2b3c11a951e1940b0204bafd90,a parent is the base
12,refs/heads/trunk,c83cbb7cafc22dd7df269c2474ce6faf9b8f2a56,f54baad7a6058e9718e2daa999fdc4207fe06cfa,59ef9ea6f194fc3114777c1daf383effe41bafc0,a parent is the base
15,refs/heads/trunk,477cf5385908d8fc51b8b0d5353f32530bb30c71,83ef027bd2f7134dbf09c2f6b67d98fbd32647fc,ffd8a07852f61bc11582e1a3af71f36ec5aaf726,a parent is the base
16,refs/heads/trunk,83ef027bd2f7134dbf09c2f6b67d98fbd32647fc,8d4eb076a78f7429db97a5182e3b5c8dcbb05563,ed81775c2aa294a44d85a0a146bcf3177ab167a6,a parent is the base
17,refs/heads/trunk,8d4eb076a78f7429db97a5182e3b5c8dcbb05563,0f3c65539d9d9b841e35c243d1af13d7b9557f4d,e92d38c3df7857c785ca90f1bc0b3223ea276b97,a parent is the base
18,refs/heads/trunk,33005e9b8bdbff53fa57f7588635ee0bad58d8f0,9ac946e8a5638968552c33617fe8dc22183fffcd,8d68b7793ce2e0367ba2dd8f5e8e3ec1e62443ca,a parent is the base
19,refs/heads/trunk,7c66c0085e91c82802ff137d9a665fdb86b5a1f0,97278ded04dae227e201bdf62384a5c003fe462d,dad49d723f7ce864b10d11bb6c76af06a55a324e,a parent is the base
20,refs/heads/trunk,7fd9a273f7ce3e2b850bfdbd971e79550d24b67f,f95d898f9b50a6f1b54ca8d00482d4a20a966fcc,0678a5a1e4aff43924c6ac6a850e3a480f35e86d,a parent is the base
