idx,branch_name,merge,left,right,notes,two merge tools differ,left_tree_fingerprint,right_tree_fingerprint,gitmerge_ort,gitmerge_ort_run_time,gitmerge_ort_merge_fingerprint,gitmerge_ort_adjacent,gitmerge_ort_adjacent_run_time,gitmerge_ort_adjacent_merge_fingerprint,gitmerge_ort_ignorespace,gitmerge_ort_ignorespace_run_time,gitmerge_ort_ignorespace_merge_fingerprint,gitmerge_ort_imports,gitmerge_ort_imports_run_time,gitmerge_ort_imports_merge_fingerprint,gitmerge_ort_imports_ignorespace,gitmerge_ort_imports_ignorespace_run_time,gitmerge_ort_imports_ignorespace_merge_fingerprint,gitmerge_resolve,gitmerge_resolve_run_time,gitmerge_resolve_merge_fingerprint,gitmerge_recursive_histogram,gitmerge_recursive_histogram_run_time,gitmerge_recursive_histogram_merge_fingerprint,gitmerge_recursive_ignorespace,gitmerge_recursive_ignorespace_run_time,gitmerge_recursive_ignorespace_merge_fingerprint,gitmerge_recursive_minimal,gitmerge_recursive_minimal_run_time,gitmerge_recursive_minimal_merge_fingerprint,gitmerge_recursive_myers,gitmerge_recursive_myers_run_time,gitmerge_recursive_myers_merge_fingerprint,gitmerge_recursive_patience,gitmerge_recursive_patience_run_time,gitmerge_recursive_patience_merge_fingerprint,git_hires_merge,git_hires_merge_run_time,git_hires_merge_merge_fingerprint,spork,spork_run_time,spork_merge_fingerprint,intellimerge,intellimerge_run_time,intellimerge_merge_fingerprint,parents pass,left test result,right test result
2,refs/heads/main,2704da56fbfe27d01bf13397a16afb63d6933a0b,ef1d85de3d2524753fe97d4b2c87d68dd804abfb,1732a7d79623ca2cc353f60e1ae3bd925b25e7df,a parent is the base,True,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0270264148712158,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0274088382720947,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0274324417114257,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0274956226348876,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0264112949371337,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0266387462615966,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0281288623809814,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0266611576080322,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0272431373596191,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0263030529022216,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0269386768341064,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0237908363342285,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.051166296005249,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.4750397205352783,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,True,Tests_passed,Tests_passed
3,refs/heads/main,ef1d85de3d2524753fe97d4b2c87d68dd804abfb,b89d40350980138a267359e8e8f9bf3eb6399889,7cd44b2aced54f4fe58c5c8d4d93c11d442a2703,a parent is the base,True,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0275461673736572,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.027409553527832,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0259091854095459,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0278260707855224,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0271918773651123,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0263974666595459,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0254998207092285,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0265159606933593,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0260007381439209,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0285303592681884,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0268130302429199,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.021435260772705,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.0419974327087402,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,Tests_passed,0.4210066795349121,77814e6b325eac805aa3de9e97c4ec5b48bb21aa59019c2d315f44a87559ad31,True,Tests_passed,Tests_passed
4,refs/heads/main,b89d40350980138a267359e8e8f9bf3eb6399889,80661d77f1854d0cf452b4376dc2b7a1db2fae75,7afc3960333d5801ddc8dd44ca30b365f7f9ae73,a parent is the base,True,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0256519317626953,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0246613025665283,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0261299610137939,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0245654582977294,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0255570411682128,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0239450931549072,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0282881259918212,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0234122276306152,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0278394222259521,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0257060527801513,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.024796724319458,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.022324800491333,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.0434837341308593,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,Tests_passed,0.4436979293823242,179e0689509f498b91a84c6e370ae6d0bd3add572125e810c00d3cd3f0de5059,True,Tests_passed,Tests_passed
5,refs/heads/main,80661d77f1854d0cf452b4376dc2b7a1db2fae75,fd4d1d421f22b88a8868291a8fc6f690e362391a,cb834c2d3c83a071e6321a70524c221777b4325f,a parent is the base,True,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0275816917419433,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0282092094421386,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0264892578125,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0267927646636962,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0278339385986328,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0284709930419921,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0266261100769042,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.02506685256958,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0260226726531982,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0272767543792724,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0281333923339843,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0210914611816406,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.0442094802856445,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,Tests_passed,0.4202353954315185,79044a7b953e7872636ba5c4519c868783857412ef9302c95f20276a9b1fd000,True,Tests_passed,Tests_passed
6,refs/heads/main,fd4d1d421f22b88a8868291a8fc6f690e362391a,18b91f6d40be7562e056e98ca76e7218ba91433c,a8860ec20594658a8911d725e791e4cc55f102b9,a parent is the base,True,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0284426212310791,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0260481834411621,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0258982181549072,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0273761749267578,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0276124477386474,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0265026092529296,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0252039432525634,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.027571678161621,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0269076824188232,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0261869430541992,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0259864330291748,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.02388596534729,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.0428826808929443,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,Tests_passed,0.425724983215332,8cb21e2b761cfa5aec0dd1e5bc245cd21e65ec6619750fceff119082e2c40fc9,True,Tests_passed,Tests_passed
7,refs/heads/main,18b91f6d40be7562e056e98ca76e7218ba91433c,0eb84081aa5f781f8a644b94cd6b7f3499f4dfc2,97b89e630f7e44efc52eff3e6f079d04ab344eca,a parent is the base,True,80aa159ba8ebc287d84d50a8cf9a9d9155938c8c7d1e1642cfa666daf45bfe28,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0253674983978271,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0269422531127929,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0277583599090576,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0277249813079834,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.028062105178833,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0255253314971923,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0266542434692382,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0284452438354492,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.030653953552246,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0274865627288818,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.027195930480957,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0209512710571289,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.0448086261749267,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,Tests_passed,0.4312963485717773,f5d6fd430200126bcff461c9383a520d82d3aaa2527ea8d1961f1dd453baecef,True,Tests_passed,Tests_passed
9,refs/heads/main,98417ee5a03b87b2d5fdf7158ec85cd9423d6a67,ee22c0bc33a992885f1c7493bb9bd7dbc48fbce7,a3c193eb68e2088be0e51c129e591f7d8e753d98,a parent is the base,True,a2a53d472eacbef11d7250f948584de840ead298db6fcf041202c703e4b97459,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0275137424468994,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0282196998596191,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0272867679595947,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0260391235351562,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0249099731445312,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0275847911834716,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0287649631500244,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0253994464874267,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0273211002349853,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.025796890258789,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0279188156127929,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0230035781860351,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.0452721118927001,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,Tests_passed,0.4405314922332763,0739a30b5c5ac58f1526b33a3ce1775f3a41b300ddab3e3015cbf659da880136,True,Tests_passed,Tests_passed
12,refs/heads/main,39d65540da126ff02ffc311f5a83c32f4d62b645,401a60691e899d3e567d620dc1d0e9c9953cd926,927837394099baae6ff99be088c54f548914cca5,a parent is the base,True,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.025043249130249,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0262494087219238,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0269901752471923,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0263094902038574,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0265028476715087,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0244402885437011,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0251719951629638,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0271546840667724,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0286042690277099,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0246272087097167,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0261690616607666,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0215089321136474,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.0434622764587402,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,Tests_passed,0.4344830513000488,0ebb3fc084273dba7295258966ef6a1e4c7bb1b38945c6971ddc19f5fa543413,True,Tests_passed,Tests_passed
13,refs/heads/main,401a60691e899d3e567d620dc1d0e9c9953cd926,38bcc7549a82daa7d9cefadf0588b84951acf22f,9d5912fcb8b4b743d9bfa872e8e58c68c1965b8d,a parent is the base,True,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0257766246795654,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0284423828125,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0279889106750488,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0269391536712646,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0277974605560302,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0290162563323974,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0259368419647216,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0247693061828613,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0304679870605468,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0290658473968505,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0249810218811035,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0221729278564453,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.0468602180480957,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,Tests_passed,0.4280264377593994,d47a76ef8195ebaaa1534106d70a528619cf8e4d198ed9a594c72b0b761b0292,True,Tests_passed,Tests_passed
14,refs/heads/main,38bcc7549a82daa7d9cefadf0588b84951acf22f,3595197978554f1e1bef2bdd5445e08d76e4e61d,2c88fa0f013670f15423e53ab8629535f1a01ae7,a parent is the base,True,40c81eb3ef30ba51bace3d38006117c928458aba2f628f7f637dd7f703bb6e49,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0272374153137207,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0274333953857421,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0281565189361572,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0246603488922119,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.026745319366455,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.026362657546997,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.026860237121582,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0251989364624023,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0270633697509765,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0263116359710693,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0250062942504882,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0195944309234619,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.0450460910797119,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,Tests_passed,0.4202606678009033,4b34e71e7690855967336b3a799221a513a1b8d8ff86ba998c3f6f707e7629f0,True,Tests_passed,Tests_passed
